"expression","reading","meaning_en","meaning_vi"
"熊猫","xióng māo","panda","gấu trúc"
"需要","xū yào","to need","cần"
"选择","xuǎn zé","to select","để chọn"
"眼镜","yǎn jìng","spectacles","kính đeo mắt"
"要求","yāo qiú","to request","yêu cầu"
"爷爷","yé ye","(informal) father's father","(thông tục) bố của bố"
"一定","yī dìng","surely","chắc chắn"
"一共","yī gòng","altogether","toàn bộ"
"一会儿","yī huì r","a while","một lúc"
"一样","yī yàng","same","như nhau"
"以后","yǐ hòu","after","sau đó"
"以前","yǐ qián","before","trước"
"以为","yǐ wéi","to believe","tin tưởng"
"一般","yī bān","same","như nhau"
"一边","yī biān","one side","một bên"
"一直","yī zhí","straight (in a straight line)","thẳng (theo một đường thẳng)"
"音乐","yīn yuè","music","âm nhạc"
"银行","yín háng","bank","ngân hàng"
"应该","yīng gāi","ought to","nên"
"影响","yǐng xiǎng","an influence","một ảnh hưởng"
"用","yòng","to use","sử dụng"
"游戏","yóu xì","game","trò chơi"
"有名","yǒu míng","famous","nổi tiếng"
"又","yòu","(once) again","(một lần) một lần nữa"
"遇到","yù dào","to meet","gặp gỡ"
"愿意","yuàn yì","to wish","ước"
"越","yuè","to exceed","vượt quá"
"月亮","yuè liang","moon","mặt trăng"
"云","yún","cloud","đám mây"
"站","zhàn","station","ga tàu"
"着急","zháo jí","to worry","lo lắng"
"照顾","zhào gu","to take care of","để chăm sóc"
"照片","zhào piàn","photograph","bức ảnh"
"照相机","zhào xiàng jī","camera","máy ảnh"
"只","zhī","classifier for birds and certain animals","phân loại cho các loài chim và động vật nhất định"
"只","zhǐ","but","Nhưng"
"终于","zhōng yú","at last","cuối cùng"
"中间","zhōng jiān","between","giữa"
"种","zhǒng","abbr. for 物種|物种","abbr. cho 物種|物种"
"重要","zhòng yào","important","quan trọng"
"周末","zhōu mò","weekend","ngày cuối tuần"
"主要","zhǔ yào","main","chủ yếu"
"祝","zhù","to wish","ước"
"注意","zhù yì","to take note of","để ý đến"
"字典","zì diǎn","dictionary","từ điển"
"自己","zì jǐ","oneself","chính mình"
"总是","zǒng shì","always","luôn luôn"
"最近","zuì jìn","recent","gần đây"
"作业","zuò yè","school assignment","bài tập ở trường"
"作用","zuò yòng","to act on","để hành động"
