expression,reading,meaning_en,meaning_vi
长途,cháng tú,long distance,khoảng cách xa
常识,cháng shí,common sense,lẽ thường
抄,chāo,to make a copy,để tạo một bản sao
朝,cháo,imperial or royal court,triều đình hoặc hoàng gia
朝代,cháo dài,dynasty,triều đại
炒,chǎo,to sauté,xào
吵架,chǎo jià,to quarrel,cãi nhau
车库,chē kù,garage,ga-ra
车厢,chē xiāng,carriage,xe
彻底,chè dǐ,thorough,kỹ lưỡng
沉默,chén mò,taciturn,lầm lì
趁,chèn,to avail oneself of,để tận dụng chính mình
称,chēng,to weigh,cân
称呼,chēng hu,to call,gọi
称赞,chēng zàn,to praise,khen ngợi
乘,chéng,to ride,đi xe
承担,chéng dān,to undertake,đảm nhận
承认,chéng rèn,to admit,thừa nhận
承受,chéng shòu,to bear,chịu đựng
成分,chéng fèn,composition,thành phần
成果,chéng guǒ,result,kết quả
成就,chéng jiù,accomplishment,thành tựu
成立,chéng lì,to establish,để thành lập
成语,chéng yǔ,Chinese set expression,biểu thức tập hợp tiếng Trung
成长,chéng zhǎng,to mature,trưởng thành
程度,chéng dù,degree (level or extent),mức độ (mức độ hoặc mức độ)
程序,chéng xù,procedures,thủ tục
诚恳,chéng kěn,sincere,chân thành
吃亏,chī kuī,to suffer losses,chịu tổn thất
持续,chí xù,to continue,tiếp tục
池子,chí zi,pond,ao
尺子,chǐ zi,rule,luật lệ
翅膀,chì bǎng,wing,cánh
冲,chōng,thoroughfare,đường lớn
充电器,chōng diàn qì,battery charger,sạc pin
充分,chōng fèn,ample,dồi dào
充满,chōng mǎn,full of,đầy đủ
重复,chóng fù,to repeat,lặp lại
宠物,chǒng wù,house pet,vật nuôi trong nhà
抽屉,chōu ti,drawer,ngăn kéo
抽象,chōu xiàng,abstract,trừu tượng
丑,chǒu,shameful,đáng xấu hổ
臭,chòu,stench,mùi hôi thối
出版,chū bǎn,to publish,xuất bản
出口,chū kǒu,an exit,một lối thoát
出色,chū sè,remarkable,đáng chú ý
出席,chū xí,to attend,tham dự
初级,chū jí,junior,nhỏ
除,chú,to get rid of,để thoát khỏi
除非,chú fēi,only if (...,chỉ khi (...
除夕,chú xī,(New Year's) Eve,(Năm mới) Đêm giao thừa
处理,chǔ lǐ,to handle,để xử lý
传播,chuán bō,to disseminate,phổ biến
传递,chuán dì,to transmit,để truyền tải
传染,chuán rǎn,to infect,lây nhiễm
传说,chuán shuō,legend,huyền thoại
传统,chuán tǒng,tradition,truyền thống
窗帘,chuāng lián,window curtains,rèm cửa sổ
闯,chuǎng,to rush,vội vàng
创造,chuàng zào,to create,để tạo ra
吹,chuī,to blow,thổi
磁带,cí dài,magnetic tape,băng từ
辞职,cí zhí,to resign,từ chức
此外,cǐ wài,besides,bên cạnh đó
刺激,cì jī,to provoke,khiêu khích
次要,cì yào,secondary,sơ trung
匆忙,cōng máng,hasty,vội vàng
从此,cóng cǐ,from now on,kể từ bây giờ
从而,cóng ér,thus,do đó
从前,cóng qián,previously,trước đây
从事,cóng shì,to go for,để đi cho
醋,cù,vinegar,giấm
促进,cù jìn,to promote (an idea or cause),để thúc đẩy (một ý tưởng hoặc nguyên nhân)
促使,cù shǐ,to induce,để gây ra
催,cuī,to urge,thúc giục
存,cún,to exist,tồn tại
存在,cún zài,to exist,tồn tại
错误,cuò wù,error,lỗi
措施,cuò shī,measure,đo lường
答应,dā ying,to promise,hứa
达到,dá dào,to reach,để đạt được
打工,dǎ gōng,to work a temporary or casual job,làm một công việc tạm thời hoặc bình thường
打交道,dǎ jiāo dào,to come into contact with,tiếp xúc với
打喷嚏,dǎ pēn tì,to sneeze,hắt hơi
打听,dǎ ting,to ask about,hỏi về
打招呼,dǎ zhāo hu,to greet sb by word or action,chào hỏi ai đó bằng lời nói hoặc hành động
大方,dà fang,generous,hào phóng
大象,dà xiàng,elephant,con voi
大型,dà xíng,large,lớn
呆,dāi,foolish,ngu si
贷款,dài kuǎn,a loan,một khoản vay
待遇,dài yù,treatment,sự đối đãi
担任,dān rèn,to hold a governmental office or post,giữ một chức vụ hoặc chức vụ của chính phủ
单纯,dān chún,simple,đơn giản
单调,dān diào,monotonous,đơn điệu
单独,dān dú,alone,một mình
单位,dān wèi,a unit,một đơn vị
单元,dān yuán,unit,đơn vị
耽误,dān wu,to delay,trì hoãn
胆小鬼,dǎn xiǎo guǐ,coward,hèn nhát
淡,dàn,insipid,nhạt nhẽo
当代,dāng dài,the present age,tuổi hiện tại
挡,dǎng,to resist,chống lại
岛,dǎo,island,hòn đảo
倒霉,dǎo méi,to have bad luck,gặp xui xẻo
导演,dǎo yǎn,to direct,chỉ đạo
导致,dǎo zhì,to lead to,dẫn đến
倒,dào,to place upside down,đặt lộn ngược
到达,dào dá,to reach,để đạt được
道德,dào dé,virtue,đức hạnh
道理,dào li,reason,lý do
登机牌,dēng jī pái,boarding pass,thẻ lên máy bay
登记,dēng jì,to register (one's name),để đăng ký (tên của một người)
等待,děng dài,to wait,chờ đợi
等候,děng hòu,to wait,chờ đợi
等于,děng yú,to equal,bằng nhau
滴,dī,a drop,một giọt
的确,dí què,really,Thực ra
敌人,dí rén,enemy,kẻ thù
递,dì,to hand over,bàn giao
地道,dì dao,authentic,thật
地理,dì lǐ,geography,địa lý
地区,dì qū,local,địa phương
地毯,dì tǎn,carpet,thảm
地位,dì wèi,position,chức vụ
地震,dì zhèn,earthquake,trận động đất
点头,diǎn tóu,to nod,gật đầu
点心,diǎn xin,light refreshments,giải khát nhẹ
电池,diàn chí,battery,ắc quy
电台,diàn tái,transmitter-receiver,máy phát-thu
钓,diào,to fish with a hook and bait,câu cá bằng lưỡi câu và mồi
丁,dīng,fourth of 10 heavenly stems 十天干,thứ tư trong 10 thiên can
顶,dǐng,apex,đỉnh cao
冻,dòng,to freeze,đóng băng
洞,dòng,cave,hang
动画片,dòng huà piàn,animated film,phim hoạt hình
逗,dòu,to stay,ở lại
豆腐,dòu fu,tofu,đậu phụ
独立,dú lì,independent,độc lập
独特,dú tè,unique,độc nhất
度过,dù guò,to pass,vượt qua
短信,duǎn xìn,text message,tin nhắn văn bản
堆,duī,to pile up,chất đống lên
对比,duì bǐ,to contrast,để tương phản
对待,duì dài,to treat,để điều trị
对方,duì fāng,counterpart,đối tác
对手,duì shǒu,opponent,đối thủ
对象,duì xiàng,target,mục tiêu
对于,duì yú,regarding,về
吨,dūn,ton,tấn
蹲,dūn,to crouch,cúi xuống
多亏,duō kuī,thanks to,nhờ vào
多余,duō yú,superfluous,thừa thãi
躲藏,duǒ cáng,to hide oneself,để ẩn mình
恶劣,è liè,vile,hèn hạ
发表,fā biǎo,to issue,phát hành
发愁,fā chóu,to worry,lo lắng
发达,fā dá,developed (country etc),"phát triển (quốc gia, v.v.)"
发抖,fā dǒu,to tremble,run rẩy
发挥,fā huī,to display,để hiển thị
发明,fā míng,to invent,để phát minh
发票,fā piào,invoice,hóa đơn
发言,fā yán,to make a speech,để phát biểu
罚款,fá kuǎn,(impose a) fine,(áp đặt a) phạt tiền
法院,fǎ yuàn,court of law,tòa án pháp luật
翻,fān,to turn over,lật lại
繁荣,fán róng,prosperous,thịnh vượng
凡是,fán shì,each and every,mỗi và mọi
反而,fǎn ér,instead,thay vì
反复,fǎn fù,repeatedly,nhiều lần
反应,fǎn yìng,to react,phản ứng
反正,fǎn zhèng,anyway,Dẫu sao thì
方,fāng,square,quảng trường
方案,fāng àn,plan,kế hoạch
方式,fāng shì,way (of life),con đường (của cuộc sống)
妨碍,fáng ài,to hinder,cản trở
房东,fáng dōng,landlord,chủ nhà
仿佛,fǎng fú,to seem,dường như
放松,fàng sōng,to loosen,nới lỏng
非,fēi,to not be,không được
肥皂,féi zào,soap,xà phòng
肺,fèi,lung,phổi
废话,fèi huà,nonsense,điều vô nghĩa
费用,fèi yòng,cost,trị giá
分别,fēn bié,to part or leave each other,chia tay hay rời xa nhau
分布,fēn bù,distributed,phân phối
分配,fēn pèi,to distribute,phân phối
分析,fēn xī,to analyze,để phân tích
纷纷,fēn fēn,one after another,hết cái này đến cái khác
奋斗,fèn dòu,to strive,phấn đấu
愤怒,fèn nù,angry,tức giận
风格,fēng gé,style,phong cách
风俗,fēng sú,social custom,phong tục xã hội
风险,fēng xiǎn,risk,rủi ro
疯狂,fēng kuáng,madness,sự điên rồ
讽刺,fěng cì,to satirize,châm biếm
否定,fǒu dìng,to negate,phủ nhận
否认,fǒu rèn,to declare to be untrue,tuyên bố là không đúng sự thật
扶,fú,to support with the hand,để hỗ trợ bằng tay
幅,fú,width,chiều rộng
服从,fú cóng,to obey (an order),tuân theo (một mệnh lệnh)
服装,fú zhuāng,dress,đầm
辅导,fǔ dǎo,to coach,huấn luyện
复制,fù zhì,to duplicate,nhân đôi
付款,fù kuǎn,to pay a sum of money,để trả một khoản tiền
妇女,fù nǚ,woman,đàn bà
改革,gǎi gé,reform,cải cách
改进,gǎi jìn,to improve,để cải thiện
改善,gǎi shàn,to make better,để làm tốt hơn
改正,gǎi zhèng,to correct,để sửa
盖,gài,lid,nắp
概括,gài kuò,to summarize,để tóm tắt
概念,gài niàn,concept,ý tưởng
干脆,gān cuì,straightforward,thẳng thắn
感激,gǎn jī,to be grateful,biết ơn
感受,gǎn shòu,to sense,để cảm nhận
感想,gǎn xiǎng,impressions,số lần hiển thị
赶紧,gǎn jǐn,hurriedly,vội vã
赶快,gǎn kuài,at once,cùng một lúc
干活儿,gàn huó r,to work,đi làm
钢铁,gāng tiě,steel,thép
高档,gāo dàng,superior quality,chất lượng vượt trội
高速,gāo sù,high speed,tốc độ cao
搞,gǎo,to do,làm
告别,gào bié,to leave,rời đi
胳膊,gē bo,arm,cánh tay
鸽子,gē zi,pigeon,chim bồ câu
隔壁,gé bì,next door,bên cạnh
格外,gé wài,especially,đặc biệt
革命,gé mìng,revolution,cuộc cách mạng
个别,gè bié,individual,cá nhân
个人,gè rén,individual,cá nhân
个性,gè xìng,individuality,cá tính
各自,gè zì,each,mỗi
根,gēn,root,gốc
根本,gēn běn,fundamental,cơ bản
更加,gèng jiā,more (than sth else),nhiều hơn (hơn cái gì khác)
公布,gōng bù,to announce,thông báo
公开,gōng kāi,public,công cộng
公平,gōng píng,fair,hội chợ
公寓,gōng yù,apartment building,chung cư
公元,gōng yuán,CE (Common Era),CE (Thời đại chung)
公主,gōng zhǔ,princess,công chúa
工厂,gōng chǎng,factory,nhà máy
工程师,gōng chéng shī,engineer,kỹ sư
工人,gōng rén,worker,công nhân
工业,gōng yè,industry,ngành công nghiệp
功夫,gōng fu,skill,kỹ năng
功能,gōng néng,function,chức năng
贡献,gòng xiàn,to contribute,đóng góp
沟通,gōu tōng,to join,tham gia
构成,gòu chéng,to constitute,cấu thành
姑姑,gū gu,paternal aunt,dì nội
姑娘,gū niang,girl,con gái
古代,gǔ dài,ancient times,thời cổ đại
古典,gǔ diǎn,classical,cổ điển
古老,gǔ lǎo,ancient,cổ đại
股票,gǔ piào,share,chia sẻ
鼓舞,gǔ wǔ,heartening (news),đáng mừng (tin tức)
骨头,gǔ tou,bone,xương
固定,gù dìng,fixed,đã sửa
固体,gù tǐ,solid,chất rắn
雇佣,gù yōng,to employ,tuyển dụng
挂号,guà hào,to register (a letter etc),để đăng ký (một lá thư vv)
乖,guāi,(of a child) obedient,(của một đứa trẻ) vâng lời
拐弯,guǎi wān,to go round a curve,đi vòng quanh một khúc cua
怪不得,guài bu de,no wonder!,không có gì lạ!
关闭,guān bì,to close,đóng cửa
关怀,guān huái,care,quan tâm
官,guān,official,chính thức
观察,guān chá,to observe,quan sát
观点,guān diǎn,point of view,quan điểm
观念,guān niàn,notion,quan niệm
管子,guǎn zi,tube,ống
罐头,guàn tou,tin,thiếc
冠军,guàn jūn,champion,nhà vô địch
光滑,guāng hua,glossy,bóng loáng
光临,guāng lín,(honorific) Welcome!,(kính trọng) Xin chào!
光明,guāng míng,light,ánh sáng
光盘,guāng pán,compact disc,đĩa compact
光荣,guāng róng,honor and glory,danh dự và vinh quang
广场,guǎng chǎng,public square,quảng trường công cộng
广大,guǎng dà,(of an area) vast or extensive,(của một khu vực) rộng lớn hoặc rộng lớn
广泛,guǎng fàn,extensive,rộng rãi
规矩,guī ju,lit. compass and set square,thắp sáng. la bàn và đặt hình vuông
规律,guī lǜ,rule (e.g. of science),quy tắc (ví dụ của khoa học)
规模,guī mó,scale,tỉ lệ
规则,guī zé,rule,luật lệ
柜台,guì tái,sales counter,quầy bán hàng
滚,gǔn,to boil,đun sôi
锅,guō,pot,cái nồi
国籍,guó jí,nationality,quốc tịch
国庆节,Guó qìng jié,PRC National Day (October 1st),Ngày Quốc khánh Trung Quốc (ngày 1 tháng 10)
果实,guǒ shí,fruit,hoa quả
过分,guò fèn,excessive,quá mức
过敏,guò mǐn,to be allergic,bị dị ứng
过期,guò qī,to be overdue,bị quá hạn
哈,hā,laughter,tiếng cười
海关,hǎi guān,customs (i.e. border crossing inspection),hải quan (tức là kiểm tra qua biên giới)
海鲜,hǎi xiān,seafood,hải sản
喊,hǎn,to yell,hét lên
行业,háng yè,industry,ngành công nghiệp
豪华,háo huá,luxurious,sang trọng
好奇,hào qí,inquisitive,tò mò
和平,hé píng,peace,hòa bình
何必,hé bì,there is no need,không cần thiết
何况,hé kuàng,let alone,huống hồ là
合法,hé fǎ,lawful,hợp pháp
合理,hé lǐ,rational,hợp lý
合同,hé tong,(business) contract,(kinh doanh) hợp đồng
合影,hé yǐng,joint photo,ảnh chung
合作,hé zuò,to cooperate,hợp tác
核心,hé xīn,core,cốt lõi
恨,hèn,to hate,ghét
横,héng,horizontal,nằm ngang
后果,hòu guǒ,consequences,hậu quả
忽视,hū shì,to neglect,bỏ bê
呼吸,hū xī,to breathe,thở
壶,hú,pot,cái nồi
蝴蝶,hú dié,butterfly,bươm bướm
胡说,hú shuō,to talk nonsense,nói chuyện vớ vẩn
胡同,hú tòng,variant of 胡同[hú tòng],biến thể của 胡同[hú tòng]
胡须,hú xū,beard,râu
糊涂,hú tu,muddled,lộn xộn
花生,huā shēng,peanut,đậu phộng
滑冰,huá bīng,to skate,trượt ván
划船,huá chuán,to row a boat,chèo thuyền
华裔,Huá yì,ethnic Chinese,dân tộc Trung Quốc
化学,huà xué,chemistry,hoá học
话题,huà tí,subject (of a talk or conversation),chủ đề (của một cuộc nói chuyện hoặc cuộc trò chuyện)
怀念,huái niàn,to cherish the memory of,trân trọng kỷ niệm của
缓解,huǎn jiě,to blunt,cùn
幻想,huàn xiǎng,delusion,ảo tưởng
慌张,huāng zhāng,confused,bối rối
黄瓜,huáng guā,cucumber,quả dưa chuột
黄金,huáng jīn,gold,vàng
皇帝,huáng dì,emperor,hoàng đế
皇后,huáng hòu,empress,hoàng hậu
灰,huī,ash,tro
灰尘,huī chén,dust,bụi
灰心,huī xīn,to lose heart,mất lòng
挥,huī,to wave,vẫy tay
恢复,huī fù,to reinstate,phục hồi
汇率,huì lǜ,exchange rate,tỷ giá hối đoái
婚礼,hūn lǐ,wedding ceremony,lễ cưới
婚姻,hūn yīn,matrimony,hôn nhân
活跃,huó yuè,active,tích cực
火柴,huǒ chái,match (for lighting fire),diêm (để thắp lửa)
伙伴,huǒ bàn,partner,cộng sự
基本,jī běn,basic,nền tảng
机器,jī qì,machine,máy móc
激烈,jī liè,intense,mãnh liệt
肌肉,jī ròu,muscle,cơ bắp
及格,jí gé,to pass a test,để vượt qua một bài kiểm tra
急忙,jí máng,hastily,vội vàng
集体,jí tǐ,collective,tập thể
集中,jí zhōng,to concentrate,tập trung
记录,jì lù,to record,ghi lại
记忆,jì yì,to remember,để nhớ
计算,jì suàn,to count,đếm
寂寞,jì mò,lonely,cô đơn
系领带,jì lǐng dài,to tie one's necktie,thắt cà vạt
纪录,jì lù,record,ghi
纪律,jì lǜ,discipline,kỷ luật
纪念,jì niàn,to commemorate,để kỷ niệm
家庭,jiā tíng,family,gia đình
家务,jiā wù,household duties,nhiệm vụ gia đình
家乡,jiā xiāng,hometown,quê hương
嘉宾,jiā bīn,esteemed guest,quý khách
夹子,jiā zi,clip,cái kẹp
甲,jiǎ,first of the ten heavenly stems 十天干[shí tiān gān],thứ nhất trong thập thiên can 十天干[shí tiān gan]
假如,jiǎ rú,if,nếu như
假装,jiǎ zhuāng,to feign,giả vờ
嫁,jià,(of a woman) to marry,(của một người phụ nữ) kết hôn
价值,jià zhí,value,giá trị
驾驶,jià shǐ,to pilot (ship,lái (tàu
煎,jiān,to pan fry,để chiên
肩膀,jiān bǎng,shoulder,vai
坚决,jiān jué,firm,vững chãi
坚强,jiān qiáng,staunch,kiên quyết
尖锐,jiān ruì,sharp,sắc
艰巨,jiān jù,arduous,gian truân
艰苦,jiān kǔ,difficult,khó
捡,jiǎn,to pick up,để nhặt
剪刀,jiǎn dāo,scissors,kéo
简历,jiǎn lì,Curriculum Vitae (CV),Sơ yếu lý lịch (CV)
简直,jiǎn zhí,simply,đơn giản
健身房,jiàn shēn fáng,gym,phòng tập thể dục
建立,jiàn lì,to establish,để thành lập
建设,jiàn shè,to build,xây dựng
建议,jiàn yì,to propose,đề xuất
建筑,jiàn zhù,to construct,để xây dựng
键盘,jiàn pán,keyboard,bàn phím
讲究,jiǎng jiu,to pay particular attention to,đặc biệt chú ý đến
讲座,jiǎng zuò,a course of lectures,một khóa học
降落,jiàng luò,to descend,đi xuống
酱油,jiàng yóu,soy sauce,nước tương
浇,jiāo,to pour liquid,đổ chất lỏng
交换,jiāo huàn,to exchange,trao đổi
交际,jiāo jì,communication,giao tiếp
郊区,jiāo qū,suburban district,huyện ngoại thành
胶水,jiāo shuǐ,glue,keo dán
角度,jiǎo dù,angle,góc
狡猾,jiǎo huá,crafty,xảo quyệt
教材,jiào cái,teaching material,tài liệu giảng dạy
教练,jiào liàn,instructor,người hướng dẫn
教训,jiào xun,lesson,bài học
接触,jiē chù,to touch,chạm vào
接待,jiē dài,to receive (a visitor),tiếp nhận (một vị khách)
接近,jiē jìn,to approach,tiếp cận
接着,jiē zhe,to catch and hold on,để bắt và giữ
阶段,jiē duàn,stage,sân khấu
结实,jiē shi,rugged,gồ ghề
节,jié,festival,lễ hội
节省,jié shěng,saving,tiết kiệm
结构,jié gòu,structure,kết cấu
结合,jié hé,to combine,kết hợp
结论,jié lùn,conclusion,Phần kết luận
结账,jié zhàng,to pay the bill,để thanh toán hóa đơn
解放,jiě fàng,to liberate,để giải phóng
解说员,jiě shuō yuán,commentator,người bình luận
届,jiè,to arrive at (place or time),đến (địa điểm hoặc thời gian)
借口,jiè kǒu,to use as an excuse,sử dụng như một cái cớ
戒烟,jiè yān,to give up smoking,bỏ thuốc lá
戒指,jiè zhi,(finger) ring,(ngón tay) nhẫn
金属,jīn shǔ,metal,kim loại
紧,jǐn,tight,chặt
紧急,jǐn jí,urgent,cấp bách
尽量,jǐn liàng,as much as possible,càng nhiều càng tốt
谨慎,jǐn shèn,cautious,thận trọng
进步,jìn bù,progress,tiến triển
进口,jìn kǒu,to import,nhập khẩu
近代,jìn dài,modern times,thời hiện đại
尽力,jìn lì,to strive one's hardest,phấn đấu hết mình
精力,jīng lì,energy,năng lượng
经典,jīng diǎn,the classics,kinh điển
经营,jīng yíng,to engage in (business etc),"tham gia vào (kinh doanh, v.v.)"
景色,jǐng sè,scenery,phong cảnh
敬爱,jìng ài,respect and love,tôn trọng và yêu thương
酒吧,jiǔ bā,bar,thanh
救,jiù,to save,để tiết kiệm
救护车,jiù hù chē,ambulance,xe cứu thương
舅舅,jiù jiu,mother's brother,anh trai của mẹ
居然,jū rán,unexpectedly,bất ngờ
桔子,jú zi,tangerine,quýt
举,jǔ,to lift,nâng
具备,jù bèi,to possess,sở hữu
具体,jù tǐ,concrete,bê tông
巨大,jù dà,huge,to lớn
聚会,jù huì,party,buổi tiệc
俱乐部,jù lè bù,club (i.e. a group or organization) (loanword),câu lạc bộ (tức là một nhóm hoặc tổ chức) (từ mượn)
据说,jù shuō,it is said that,người ta nói rằng
捐,juān,to contribute,đóng góp
卷,juǎn,to roll (up),cuộn (lên)
决赛,jué sài,finals (of a competition),trận chung kết (của một cuộc thi)
决心,jué xīn,determination,sự quyết tâm
绝对,jué duì,absolute,tuyệt đối
角色,jué sè,role,vai trò
军事,jūn shì,military affairs,quân sự
均匀,jūn yún,even,thậm chí
卡车,kǎ chē,truck,xe tải
开发,kāi fā,to exploit (a resource),khai thác (tài nguyên)
开放,kāi fàng,to bloom,nở hoa
开幕式,kāi mù shì,opening ceremony,lễ khai mạc
开心,kāi xīn,to feel happy,cảm thấy hạnh phúc
砍,kǎn,to chop,chặt
看不起,kàn bu qǐ,to look down upon,nhìn xuống
看来,kàn lai,apparently,rõ ràng
抗议,kàng yì,to protest,để phản đối
烤鸭,kǎo yā,roast duck,vịt quay
颗,kē,classifier for small spheres,phân loại cho các quả cầu nhỏ
可见,kě jiàn,it can clearly be seen (that this is the case),nó có thể được nhìn thấy rõ ràng (rằng đây là trường hợp)
可靠,kě kào,reliable,đáng tin cậy
可怕,kě pà,awful,tồi tệ
刻苦,kè kǔ,hardworking,chăm chỉ
课程,kè chéng,course,khóa học
克,kè,variant of 克[kè],biến thể của 克[kè]
克服,kè fú,(try to) overcome (hardships etc),"(cố gắng) vượt qua (khó khăn, v.v.)"
客观,kè guān,objective,khách quan
客厅,kè tīng,drawing room (room for arriving guests),phòng khách (phòng dành cho khách đến)
空间,kōng jiān,space,không gian
恐怖,kǒng bù,terrible,kinh khủng
空闲,kòng xián,idle,nhàn rỗi
控制,kòng zhì,control,điều khiển
口味,kǒu wèi,a person's preferences,sở thích của một người
夸,kuā,to boast,khoe khoang
会计,kuài jì,accountant,kế toán viên
矿泉水,kuàng quán shuǐ,mineral spring water,nước suối khoáng
辣椒,là jiāo,hot pepper,ớt cay
蜡烛,là zhú,candle,nến
来自,lái zì,to come from (a place),đến từ (một nơi)
拦,lán,to cut off,cắt đứt
烂,làn,soft,mềm mại
狼,láng,wolf,chó sói
劳动,láo dòng,work,công việc
劳驾,láo jià,excuse me,xin lỗi
老百姓,lǎo bǎi xìng,ordinary people,người bình thường
老板,lǎo bǎn,boss,ông chủ
老实,lǎo shí,honest,trung thực
老鼠,lǎo shǔ,rat,con chuột
姥姥,lǎo lao,(informal) mother's mother,(thân mật) mẹ của mẹ
乐观,lè guān,optimistic,lạc quan
雷,léi,thunder,sấm sét
类,lèi,kind,loại
梨,lí,pear,quả lê
离婚,lí hūn,to divorce,ly hôn
厘米,lí mǐ,centimeter,centimét
礼拜天,lǐ bài tiān,Sunday,Chủ nhật
理论,lǐ lùn,theory,lý thuyết
理由,lǐ yóu,reason,lý do
粒,lì,grain,ngũ cốc
立方,lì fāng,cube,khối lập phương
立即,lì jí,immediately,ngay lập tức
立刻,lì kè,forthwith,ngay
力量,lì liang,power,quyền lực
利润,lì rùn,profits,lợi nhuận
利息,lì xī,interest (on a loan),lãi suất (của khoản vay)
利益,lì yì,benefit,lợi ích
利用,lì yòng,exploit,khai thác
连忙,lián máng,promptly,kịp thời
连续剧,lián xù jù,serialized drama,kịch nhiều tập
联合,lián hé,to combine,kết hợp
恋爱,liàn ài,(romantic) love,(lãng mạn) tình yêu
良好,liáng hǎo,good,Tốt
粮食,liáng shi,foodstuff,thực phẩm
了不起,liǎo bu qǐ,amazing,tuyệt vời
临时,lín shí,at the instant sth happens,ngay lúc điều gì đó xảy ra
铃,líng,(small) bell,(nhỏ) chuông
零件,líng jiàn,part,phần
零钱,líng qián,change (of money),sự thay đổi (của tiền)
零食,líng shí,between-meal nibbles,nhấm nháp giữa bữa ăn
灵活,líng huó,flexible,linh hoạt
领导,lǐng dǎo,lead,chỉ huy
领域,lǐng yù,domain,lãnh địa
流传,liú chuán,to spread,lan rộng
