"expression","reading","meaning","tags","guid","meaning_vi"
"～社","～しゃ","counter for company","JLPT JLPT_2","sQmjhXA-Mr","quầy cho công ty"
"～手","～しゅ","~ player, person who does ~","JLPT JLPT_2","IkixzX56yl","~ người chơi, người chơi ~"
"～酒","～しゅ","kind of alcohol","JLPT JLPT_2","k?BC&(RjAH","loại rượu"
"～集","～しゅう","collection of ~","JLPT JLPT_2","LdT;R@utl1","bộ sưu tập ~"
"～所","～しょ","place","JLPT JLPT_2","qVV9fum9%7","địa điểm"
"～所","～じょ","place","JLPT JLPT_2","cE:Y(}3[Wc","địa điểm"
"～女","～じょ","count for sisters","JLPT JLPT_2","D4j(w~c1gi","đếm cho chị em"
"～省","～しょう","kind of ministry","JLPT JLPT_2","v9~DY$oS}A","loại mục vụ"
"～商","～しょう","merchant, business","JLPT JLPT_2","DK0!oyaXJR","thương gia, doanh nghiệp"
"～勝","～しょう","count for victory","JLPT JLPT_2","E_qw?Tzvk_","tính cho chiến thắng"
"～条","～じょう","counter for article","JLPT_1 JLPT JLPT_2","q^S9+[e=*b","quầy cho bài viết"
"～場","～じょう","kind of field, ground","JLPT JLPT_2","eh5O)[W8C@","loại ruộng, mặt đất"
"～畳","～じょう","count for tatami, mat","JLPT JLPT_2","gXTr~P6_;?","đếm chiếu, chiếu"
"～色","～しょく","kind of color","JLPT JLPT_2","w$+z1REIYB","loại màu sắc"
"～過ぎる","～すぎる","too much ~","JLPT JLPT_2","P,ja3J!YLK","quá nhiều ~"
"～済","～ずみ","finished","JLPT JLPT_2","ncGw.Yh;>r","hoàn thành"
"～席","～せき","counter for seats","JLPT JLPT_2","sr9PdG~4;[","quầy tính chỗ ngồi"
"～船","～せん","counter for ships","JLPT JLPT_2","JSy<S}QGsV","quầy cho tàu"
"～戦","～せん","counter for games, matches","JLPT JLPT_2","M$gHOq[jYN","quầy trò chơi, trận đấu"
"～前","～ぜん","before ~","JLPT JLPT_2","DTK5j`gi24","trước ~"
"～沿い","～そい","along","JLPT JLPT_2","sbv*I,a%(h","dọc theo"
"～艘","～そう","counter for ships","JLPT JLPT_2","AT^w8|Z/Tg","quầy cho tàu"
"～足","～そく","counter for shoes","JLPT JLPT_2","q&YH/C!y&b","quầy để giày"
"～だらけ","～だらけ","be full of ~, be filled with ~","JLPT JLPT_2","C*zDXpDGOo","đầy ~, tràn đầy ~"
"～団","～だん","group, corps, party","JLPT JLPT_2","JAUz(u,OT1","nhóm, quân đoàn, đảng"
"～着","～ちゃく","counter for clothes; finishing place","JLPT JLPT_2","LNy/i0~?h*","quầy quần áo; nơi hoàn thiện"
"～庁","～ちょう","office, agency","JLPT JLPT_2","Nh*HbZ~CkX","văn phòng, cơ quan"
"～兆","～ちょう","trillion","JLPT JLPT_2","jHeL$YV:ox","nghìn tỷ"
"～長","～ちょう","leader, head","JLPT JLPT_2","i0hy<f%]dq","người lãnh đạo, người đứng đầu"
"～帳","～ちょう","~ book, notebook","JLPT JLPT_2","e.I(|go>z(","~ cuốn sách, cuốn sổ tay"
"～丁目","～ちょうめ","~ district (of a town; city, block)","JLPT JLPT_2","z[Zeu>wor`","~ quận (của một thị trấn; thành phố, khối)"
"～通","～つう","counter for letters","JLPT JLPT_2","gcs`gQZBri","truy cập cho các chữ cái"
"～遣い","～づかい","use of ~","JLPT JLPT_2","C?GOcbN8fi","sử dụng ~"
"～付","～つき","with ~","JLPT JLPT_2","L%2+~L_:IY","với ~"
"～続く","～つづく","follow, continue, go on","JLPT JLPT_2","u%o(or2@%{","theo sau, tiếp tục, tiếp tục"
"～辛い","～づらい","hard to do ~","JLPT JLPT_2","u@W}x:nhL8","khó làm ~"
"～滴","～てき","drop","JLPT JLPT_2","J%ti108Zf0","làm rơi"
"～点","～てん","counter for scores","JLPT JLPT_2","Q=wx{JnD0/","máy đếm điểm"
"～頭","～とう","counter for animals","JLPT JLPT_2","Q04jNq<%}1","quầy cho động vật"
"～等","～とう","level, place","JLPT JLPT_2","t~N);db(/R","mức độ, địa điểm"
"～島","～とう","kind of islands","JLPT JLPT_2","xDO?MQ[t-7","loại đảo"
"～道","～どう","kind of path, road","JLPT JLPT_2","NK#jvaQLbz","loại đường đi, con đường"
"～通り","～とおり","in accordance with ~; following ~; ~ street, ~ avenue","JLPT JLPT_2","i!k>vq-guB","theo ~; theo dõi ~; ~ đường phố, ~ đại lộ"
"～ところ","～ところ","about to do ~","JLPT JLPT_2","B;8DjvC&9}","sắp làm ~"
"～内","～ない","inside ~","JLPT JLPT_2","K?<zC9:h:N","bên trong ~"
"～年生","～ねんせい","counter for school year","JLPT JLPT_2","seB~`F&UPJ","quầy tính tiền năm học"
"～泊","～はく","counter for staying (e.g., 2 nights)","JLPT JLPT_2","PblG<4:M5~","quầy lưu trú (ví dụ: 2 đêm)"
"～発","～はつ","counter for bullets","JLPT JLPT_2","e#d]&/=XN}","máy đếm đạn"
"～番目","～ばんめ","~th","JLPT JLPT_2","i*esVeP_ak","~th"
"～費","～ひ","cost of ~","JLPT JLPT_2","u[jm+{6L3X","chi phí ~"
"～病","～びょう","kind of disease","JLPT JLPT_2","A*!}.Pwu5m","loại bệnh"
"～部","～ぶ","~ part","JLPT JLPT_2","fPDrnMwV)X","~ một phần"
"～風","～ふう","~ style","JLPT JLPT_2","l^t;?>.nOp","~ phong cách"
"～振り","～ぶり","after an interval of ~","JLPT JLPT_2",";^fUn`g0d","sau một khoảng thời gian ~"
"～遍","～へん","time","JLPT JLPT_2","K&5Px_U7gs","thời gian"
"～弁","～べん","speech, dialect","JLPT JLPT_2","jOUF!M-NS3","lời nói, phương ngữ"
"～歩","～ほ","step, pace","JLPT JLPT_2","Bd!L5Wz^Su","bước, nhịp độ"
"～ぽい","～ぽい","~ish","JLPT JLPT_2","f_=g;f`{~[","~ish"
"～ほう (ひかく)","～ほう (ひかく)","(in comparison)","JLPT JLPT_2","bVM<L+hK+`","(trong so sánh)"
"～みたい","～みたい","looks like ~","JLPT JLPT_2","N{CD^3;+~1","có vẻ như ~"
"～向け","～むけ","for ~","JLPT JLPT_2","Gc8ij%t,3=","cho ~"
"～名","～めい","counter for people","JLPT JLPT_2","u?LD1<v]&U","quầy cho người"
"～もち","～もち","person who has ~","JLPT JLPT_2","kcFc6H|EaR","người có ~"
"～問","～もん","counter for questions","JLPT JLPT_2","r$GN8{}74-","quầy câu hỏi"
"～夜","～や","counter for nights","JLPT JLPT_2","Cczj9?Yw&<","quầy tính tiền đêm"
"～等","～ら","plural persons","JLPT JLPT_2","yo94:>GuX6","người số nhiều"
"～流","～りゅう","fashion, manner, way","JLPT JLPT_2","zpH1qv^$%p","thời trang, cách thức, cách thức"
"～料","～りょう","fare, charge","JLPT JLPT_2","IX116ZKh4C","giá vé, phí"
"～領","～りょう","territory","JLPT JLPT_2","MXZX<Kqb>","lãnh thổ"
"～力","～りょく","power of ~","JLPT JLPT_2","G<sBHiz^]!","sức mạnh của ~"
"～論","～ろん","theory","JLPT JLPT_2","ec<,e&v$V7","lý thuyết"
"～羽","～わ","counter for rabbits; birds","JLPT JLPT_2","FQL)TF/a}O","quầy cho thỏ; chim"
"相変わらず","あいかわらず","as usual, as always, as before, as ever, still","JLPT JLPT_2","B>ep8MopYw","như thường lệ, như mọi khi, như trước đây, như mọi khi, vẫn"
"アイデア; アイディア","アイデア; アイディア","idea","JLPT JLPT_2","NkL-h!TKp$","ý tưởng"
"あいまい","あいまい","vague, ambiguous","JLPT JLPT_2","y8aZ,my]%p","mơ hồ, mơ hồ"
"扇ぐ","あおぐ","to fan, to flap","JLPT JLPT_2","Gk2+[0&j}c","quạt, vỗ"
"青白い","あおじろい","pale","JLPT JLPT_2","B[(dutQ)|%","tái nhợt"
"呆れる","あきれる","to be shocked, to be appalled","JLPT JLPT_2","o8s#rYeo4>","bị sốc, kinh hoàng"
"アクセント","アクセント","accent","JLPT JLPT_2","w=+|,GhTIn","giọng"
"あくび","あくび","yawn","JLPT JLPT_2","v|~6.5@[n^","ngáp"
"飽くまで","あくまで","to the end, to the last, stubbornly","JLPT JLPT_2","vD,5@+@_q]","đến cùng, đến cuối cùng, ngoan cố"
"明くる～","あくる～","next, following","JLPT JLPT_2","c0UJ5Dk9?v","tiếp theo, theo sau"
"明け方","あけがた","dawn","JLPT JLPT_2","pi=5b}Xk:R","bình minh"
"憧れる","あこがれる","to long for, to yearn after","JLPT JLPT_2","c:=`W|}Gw`","mong mỏi, khao khát"
"朝寝坊","あさねぼう","oversleeping, late riser","JLPT JLPT_2","kR|>&(p6rG","ngủ quên, dậy muộn"
"足跡","あしあと","footprint","JLPT JLPT_2","lj:ebvgd-q","dấu chân"
"足元","あしもと","at one's feet","JLPT JLPT_2","Ha)Qe[babj","dưới chân một người"
"味わう","あじわう","to taste, to savor","JLPT JLPT_2","uxSo4jtf~d","nếm thử, thưởng thức"
"預かる","あずかる","to keep in custody, to receive on deposit, to take charge of","JLPT JLPT_2","LJpv~D13xj","tạm giữ, nhận tiền đặt cọc, chịu trách nhiệm về"
"温まる","あたたまる","to warm oneself","JLPT JLPT_2","B5XhWyF.q9","để sưởi ấm bản thân"
"当たり前","あたりまえ","natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm","JLPT JLPT_2","b#?!|FvT)4","tự nhiên, hợp lý, hiển nhiên, thông thường, thông thường, thông thường, thông thường, tiêu chuẩn"
"あちらこちら","あちらこちら","here and there","JLPT JLPT_2","Q~Ip4wR{af","ở đây và ở đó"
"厚かましい","あつかましい","impudent, shameless,","JLPT JLPT_2","wZ0,_rCNQo","trơ tráo, không biết xấu hổ,"
"圧縮","あっしゅく","compression, condensation, pressure","JLPT JLPT_2","G:WAF/Dx1i","nén, ngưng tụ, áp suất"
"宛名","あてな","address, direction","JLPT JLPT_2","Q!,(6>`cO,","địa chỉ, hướng đi"
"当てはまる","あてはまる","to be applicable, to come under (a category)","JLPT JLPT_2","gWVd1Z[tfA","có thể áp dụng, thuộc (một hạng mục)"
"当てはめる","あてはめる","to apply, to adapt","JLPT JLPT_2","OP(Hu}mMQq","áp dụng, thích ứng"
"暴れる","あばれる","to act violently, to rage","JLPT JLPT_2","L6trU>v^!","hành động bạo lực, giận dữ"
"脂","あぶら","fat, tallow, lard","JLPT JLPT_2","t@*Ov{e4RP","mỡ, mỡ động vật, mỡ lợn"
"あぶる","あぶる","to scorch, to roast","JLPT JLPT_2","Jz@lzbGk7x","đốt, nướng"
"あふれる","あふれる","to flood, to overflow","JLPT JLPT_2","be7:(ploED","làm ngập lụt, tràn ngập"
"雨戸","あまど","sliding storm door","JLPT JLPT_2","v+crs*_nva","cửa chống bão trượt"
"甘やかす","あまやかす","to pamper, to spoil","JLPT JLPT_2","f~Uvnb+KP=","nuông chiều, chiều chuộng"
"余る","あまる","to be left over, to be in excess","JLPT JLPT_2","r`ob2WL<}I","còn sót lại, dư thừa"
"編み物","あみもの","knitting","JLPT JLPT_2","KBOilYWmo2","đan lát"
"あみもの","あみもの","knitting, web","JLPT JLPT_2","wR7~d.J/,$","đan, web"
"編む","あむ","to knit","Genki Genki_Ln.13 JLPT JLPT_2","Bcd5,b]]w5","đan"
"危うい","あやうい","dangerous, critical","JLPT JLPT_2","JYnP1Z3O1n","nguy hiểm, nguy kịch"
"怪しい","あやしい","suspicious, dubious, doubtful","JLPT JLPT_2","r?rB[7EP>5","đáng ngờ, đáng ngờ, đáng ngờ"
"荒い","あらい","rough, rude, wild","JLPT JLPT_2","P5h|CxAaCE","thô lỗ, thô lỗ, hoang dã"
"粗い","あらい","coarse, rough","JLPT JLPT_2","t~Hs$2O?FD","thô, thô"
"粗筋","あらすじ","outline, synopsis","JLPT JLPT_2","GLP0^5#h&@","đề cương, tóm tắt"
"争う","あらそう","to compete, to contest, to contend to quarrel, to argue, to dispute, to be at variance, to oppose","JLPT JLPT_2","eC6vp6J:;c","cạnh tranh, tranh giành, tranh cãi, tranh luận, tranh chấp, mâu thuẫn, chống lại"
"改めて","あらためて","another time, again","JLPT JLPT_2","M$)j_R%uiN","lần khác, lần nữa"
"改める","あらためる","to change, to reform, to revise","JLPT JLPT_2","k-ggJ#W2U)","thay đổi, cải tổ, sửa lại"
"あらわす","あらわす","to write, to publish","JLPT JLPT_2","jfH_)2c|9s","viết, xuất bản"
"有難い","ありがたい","grateful, thankful, appreciated","JLPT JLPT_2","yLS%JRr`~I","biết ơn, biết ơn, đánh giá cao"
"あれこれ","あれこれ","one thing or another, this and that","JLPT JLPT_2","H3{e@Ms<u9","cái này hay cái khác, cái này cái kia"
"荒れる","あれる","to be stormy, to be rough, to be ruined","JLPT JLPT_2","opLT~#LruK","trở nên giông bão, dữ dội, bị hủy hoại"
"慌ただしい","あわただしい","busy, hurried","JLPT JLPT_2","d*5}[C^,EG","bận rộn, vội vã"
"慌てる","あわてる","to become confused (disconcerted, disorganized), to be flustered, to panic, to hurry, to rush, to hasten","JLPT JLPT_2","RdWuu8/jDE","trở nên bối rối (bối rối, vô tổ chức), bối rối, hoảng sợ, vội vã, vội vã, vội vã"
"安易","あんい","easy-going","JLPT JLPT_2","cpsk;f2&m/","dễ tính"
"案外","あんがい","unexpectedly, surprisingly","JLPT JLPT_2","E-`?,aYenW","bất ngờ, bất ngờ"
"アンテナ","アンテナ","antenna","JLPT JLPT_2","u25h^5*Vx<","ăng-ten"
"言い出す","いいだす","to start talking, to suggest","JLPT JLPT_2","ma-oStit-!","bắt đầu nói chuyện, gợi ý"
"言い付ける","いいつける","to tell, to order","JLPT JLPT_2","K=!C~7x9Db","để nói, ra lệnh"
"意義","いぎ","meaning, significance","JLPT JLPT_2","K*wt2r`%<B","ý nghĩa, tầm quan trọng"
"生き生き","いきいき","vividly, lively","JLPT JLPT_2","Am|5$tSksY","một cách sinh động, sống động"
"いきなり","いきなり","all of a sudden","Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_2","J=<-XB_N-t","đột nhiên"
"幾～","いく～","several ~","JLPT JLPT_2","o<XZoP)ZFl","một số ~"
"育児","いくじ","childcare, nursing","Intermediate_Japanese Intermediate_Japanese_Ln.14 JLPT JLPT_2","hwmLlQK_:7","chăm sóc trẻ em, điều dưỡng"
"幾分","いくぶん","somewhat","JLPT JLPT_2","wUiE3U*>P6","phần nào"
"生け花","いけばな","flower arrangement","JLPT JLPT_2","o!9H~`j>Ob","cắm hoa"
"以後","いご","after this; from now on; hereafter","JLPT JLPT_2 Intermediate_Japanese_Ln.8 Intermediate_Japanese","OpKq9d,k&%","sau này; kể từ bây giờ; kiếp sau"
"イコール","イコール","equal","JLPT JLPT_2","F:$jr>Gcvz","bình đẳng"
"以降","いこう","on and after, hereafter","JLPT JLPT_2","hI7gX,ojpA","sau này, sau này"
"勇ましい","いさましい","brave, valiant","JLPT JLPT_2","jh9$B&!xLP","dũng cảm, dũng cảm"
"衣食住","いしょくじゅう","food, clothing and shelter","JLPT JLPT_2","yYjE5SKh.|","thức ăn, quần áo và chỗ ở"
"いちいち","いちいち","one by one, separately","JLPT JLPT_2","c`q7>|uO;;","từng cái một, riêng biệt"
"一応","いちおう","tentatively, for the time being","JLPT JLPT_2","DUm[|ty]2z","tạm thời, tạm thời"
"一段と","いちだんと","by far, greater","JLPT_2 JLPT Intermediate_Japanese_Ln.15 Intermediate_Japanese","H2Se/ybI3t","đến nay, lớn hơn"
"一流","いちりゅう","first class, leading","JLPT JLPT_2","Q-z[xmuvA*","hạng nhất, dẫn đầu"
"一昨日","いっさくじつ","day before yesterday","JLPT JLPT_2","q)l_a#Mm^@","ngày hôm kia"
"一昨年","いっさくねん","year before last","JLPT JLPT_2","H3]XYSojiI","năm trước năm ngoái"
"一斉","いっせい","simultaneous, all at once","JLPT JLPT_2","H3C62{9DP`","đồng thời, tất cả cùng một lúc"
"一旦","いったん","once, for a moment","JLPT JLPT_2","Fv;m,:R#X(","một lần, trong giây lát"
"一定","いってい","fixed, settled, regular","JLPT JLPT_2","Qx{lB{;UG~","cố định, ổn định, đều đặn"
"行っていらっしゃい","いっていらっしゃい","have a nice day, see you","JLPT JLPT_2","Q~[>k~aD(O","chúc một ngày tốt lành, hẹn gặp lại"
"いってきます","いってきます","(Lit.) I'll go and come back, 'I'm going, see you later'","JLPT JLPT_2","O;VZoV$S8W","(Lit.) Tôi sẽ đi và quay lại, 'Tôi đi đây, gặp lại sau'"
"いってまいります","いってまいります","(Lit.) I'll go and come back, 'I'm going, see you later'","JLPT JLPT_2","wg6qf;hcRZ","(Lit.) Tôi sẽ đi và quay lại, 'Tôi đi đây, gặp lại sau'"
"行ってらっしゃい","いってらっしゃい","have a nice day, see you","JLPT JLPT_2","eL-o)31hPE","chúc một ngày tốt lành, hẹn gặp lại"
"移転","いてん","moving, transfer","JLPT JLPT_2","A[fI%[bpSh","di chuyển, chuyển giao"
"井戸","いど","water well","JLPT JLPT_2","Fw}ob1+9,G","giếng nước"
"緯度","いど","latitude (navigation)","JLPT JLPT_2","mKsQtDevFo","vĩ độ (điều hướng)"
"威張る","いばる","to be proud, to swagger","JLPT JLPT_2","kEp;c{E_R1","kiêu hãnh, vênh váo"
"嫌がる","いやがる","reluctant, to dislike","JLPT JLPT_2","wwKIWtwwb&","miễn cưỡng, không thích"
"いよいよ","いよいよ","more and more, increasingly, at last","JLPT JLPT_2","h5$?Ko/s)4","ngày càng nhiều, ngày càng nhiều, cuối cùng"
"煎る","いる","to roast","JLPT JLPT_2","bLrppO],[q","nướng"
"炒る","いる","to parch, to roast","JLPT JLPT_2","dcy>(4#yAy","làm khô, nướng"
"入れ物","いれもの","container, case","JLPT JLPT_2","RbLFeu/vvY","hộp đựng, thùng đựng"
"インキ","インキ","ink","JLPT JLPT_2","I{rR0;+{t|","mực"
"引力","いんりょく","gravity","JLPT JLPT_2","cP:.V7Ysb%","trọng lực"
"ウーマン","ウーマン","woman","JLPT JLPT_2","O5m,c!v(H5","đàn bà"
"ウール","ウール","wool","JLPT JLPT_2","bgePnfbn;n","len"
"ウエートレス","ウエートレス","waitress","JLPT JLPT_2","C$[Z6H5/gO","cô hầu bàn"
"植木","うえき","garden shrubs, trees, potted plant","JLPT JLPT_2","j}3Ny1eUVB","cây bụi trong vườn, cây cối, chậu cây"
"飢える","うえる","to starve","JLPT JLPT_2","CQMZtp4T24","chết đói"
"浮ぶ","うかぶ","to float, to rise to surface, to come to mind","JLPT JLPT_2","IN|gezRxCl","nổi lên, nổi lên trên mặt nước, hiện lên trong tâm trí"
"浮かべる","うかべる","to float; to express","JLPT JLPT_2","Nj{^.3q>-V","nổi; để bày tỏ"
"浮く","うく","to float","JLPT JLPT_2","JS6e6ewLTQ","nổi"
"承る","うけたまわる","(humble) to hear, to be told, to know","JLPT JLPT_2","IKhK:kjp?E","(khiêm tốn) nghe, được kể, biết"
"受取","うけとり","receipt","JLPT JLPT_2","k?,%G]kD{4","biên lai"
"受け持つ","うけもつ","to take (be in) charge of","JLPT JLPT_2","b1cU__S&E=","chịu trách nhiệm về"
"薄暗い","うすぐらい","dim, gloomy","JLPT JLPT_2","m6<YpAEgo!","mờ mịt, ảm đạm"
"薄める","うすめる","to dilute, to water down","JLPT JLPT_2","F/33?d^ON{","pha loãng, làm loãng nước"
"打合せ","うちあわせ","business meeting, previous arrangement","JLPT JLPT_2","I>LU.f-`NP","cuộc họp kinh doanh, sự sắp xếp trước đó"
"打ち消す","うちけす","to deny, to negate","JLPT JLPT_2","HCI~2sil9S","phủ nhận, phủ định"
"写る","うつる","to be photographed, to be projected","JLPT JLPT_2","CI<Sr}lwt|","được chụp ảnh, được chiếu"
"うどん","うどん","udon noodles (Japanese traditional noodles)","Intermediate_Japanese_Ln.6 JLPT_2 JLPT Intermediate_Japanese","zUsFPVRoV;","mì udon (mì truyền thống của Nhật Bản)"
"うなずく","うなずく","to nod","JLPT JLPT_2","qP>fuv+29W","gật đầu"
"有無","うむ","existence or nonexistence, presence of absence consent or refusal, yes or no","JLPT JLPT_2","zVa=(IGgn=","tồn tại hay không tồn tại, sự hiện diện của sự vắng mặt đồng ý hoặc từ chối, có hoặc không"
"埋める","うめる","to bury, to fill up, to fill (a seat, a vacant position)","JLPT JLPT_2","wtEE639hh4","lấp đầy, lấp đầy (chỗ ngồi, chỗ trống)"
"敬う","うやまう","to show respect, to honor","JLPT JLPT_2","hRta^!r1WT","để thể hiện sự tôn trọng, tôn vinh"
"裏返す","うらがえす","to turn inside out, to turn (something) over","JLPT JLPT_2","cJR[<yA$vw","lật từ trong ra ngoài, lật lại (cái gì đó)"
"裏口","うらぐち","backdoor, rear entrance","JLPT JLPT_2","xTA1N/QL{`","cửa sau, lối vào phía sau"
"占う","うらなう","to predict, to divine","JLPT JLPT_2","isAnLJU5w0","để dự đoán, để bói toán"
"恨み","うらみ","resentment","JLPT JLPT_2","A+B,^3x]O=","oán giận"
"恨む","うらむ","to curse, to feel bitter","JLPT JLPT_2","D@R<vxJ)<U","nguyền rủa, cảm thấy cay đắng"
"羨む","うらやむ","to envy","JLPT JLPT_2","tthSa[}tg_","ghen tị"
"売上","うりあげ","amount sold, proceeds","JLPT JLPT_2","p9d{%uQSR:","số tiền bán được, số tiền thu được"
"売り上げ","うりあげ","amount sold, sales, proceeds, takings, turnover","JLPT JLPT_2","AV/DH?U*[&","số lượng bán ra, doanh thu, số tiền thu được, doanh thu"
"売り切れ","うりきれ","sold-out","JLPT JLPT_2","J#x&HGI1=J","bán hết"
"売り切れる","うりきれる","to be sold out","JLPT JLPT_2","Ls1JX0p>PP","sắp được bán hết"
"売行き","うれゆき","sales","JLPT JLPT_2","t0r)gygLV","việc bán hàng"
"売れ行き","うれゆき","sales, demand","JLPT JLPT_2","lFbE^~5.H1","bán hàng, nhu cầu"
"うろうろ","うろうろ","loitering, aimless wandering","JLPT JLPT_2","h0R8Gh3Y^Q","lang thang, lang thang không mục đích"
"上～","うわ～","upper ~","JLPT JLPT_2","IiRGZY[b#L","phía trên ~"
"運河","うんが","canal, waterway","JLPT JLPT_2","os15ZQMcmE","con kênh, đường thủy"
"うんと","うんと","a great deal, very much","JLPT JLPT_2","K1|_U:?Zi2","rất nhiều, rất nhiều"
"英文","えいぶん","sentence in English","JLPT JLPT_2","N6cGn)]tI&","câu trong tiếng Anh"
"英和","えいわ","English-Japanese (e.g., dictionary)","JLPT JLPT_2","iL]q/<ICwB","Anh-Nhật (ví dụ: từ điển)"
"ええと","ええと","let me see, well, er...","JLPT JLPT_2","k9QoK3_%6*","để tôi xem, à, ờ..."
