"expression","reading","meaning","tags","guid","meaning_vi"
"湿気","しっけ","moisture, humidity, dampness","JLPT JLPT_2 JLPT_3","mI:_~nX$Y!","độ ẩm, độ ẩm, độ ẩm"
"実験","じっけん","lab work; experiment","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5","hmPfhao45;","công việc trong phòng thí nghiệm; cuộc thí nghiệm"
"実現","じつげん","implementation, materialization, realization","JLPT JLPT_2 JLPT_3","fGH.>rJnym","sự thực hiện, sự thực hiện, sự thực hiện"
"実行","じっこう","practice, execution (e.g., program), realization","JLPT JLPT_2 JLPT_3","O_Qp[P4rQP","thực hành, thực hiện (ví dụ: chương trình), thực hiện"
"実際","じっさい","in fact; in actuality","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15","B6Z:.Y11k,","Trên thực tế; trong thực tế"
"実施","じっし","enforcement, carry out, operation","JLPT JLPT_2 JLPT_3","dXLqmB^MiP","thi hành, thực hiện, vận hành"
"湿度","しつど","humidity","JLPT JLPT_2 JLPT_3","lZGX2R~;Bn","độ ẩm"
"じっと","じっと","patiently, quietly","JLPT JLPT_2 JLPT_3","Nkvz[eNt`n","kiên nhẫn, lặng lẽ"
"実に","じつに","indeed, truly, surely","JLPT JLPT_2 JLPT_3","I|OQWMaQog","thực sự, thực sự, chắc chắn"
"実は","じつは","actually; in fact","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1","s#X::H+4<F","Thực ra; Trên thực tế"
"失望","しつぼう","disappointment, despair","JLPT JLPT_2 JLPT_3","mi8g|r~Txf","thất vọng, tuyệt vọng"
"実力","じつりょく","ability; force","JLPT JLPT_2 JLPT_3","F5g81kES4+","khả năng; lực lượng"
"支店","してん","branch store (office)","JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki","h*O$^StSa>","cửa hàng chi nhánh (văn phòng)"
"指導","しどう","leadership, guidance, coaching","JLPT JLPT_2 JLPT_3","AKsjeKTYcK","lãnh đạo, hướng dẫn, huấn luyện"
"自動","じどう","automatic, self-motion","JLPT JLPT_2 JLPT_3","O4.zUw/o_S","tự động, tự chuyển động"
"児童","じどう","children, juvenile","JLPT JLPT_2 JLPT_3","e,|tEbv]Zq","trẻ em, vị thành niên"
"品","しな","thing, article, goods","JLPT JLPT_2 JLPT_3","bDnAvhtlH7","vật, đồ vật, hàng hóa"
"支配","しはい","rule, control, direction","JLPT JLPT_2 JLPT_3","GJx2Cizi1x","cai trị, kiểm soát, chỉ đạo"
"芝居","しばい","play, drama","JLPT JLPT_2 JLPT_3","gtSlTkyCFW","kịch, kịch"
"しばしば","しばしば","often, again and again, frequently","JLPT JLPT_2 JLPT_3","oKzAa``eqH","thường xuyên, lặp đi lặp lại, thường xuyên"
"芝生","しばふ","lawn","JLPT JLPT_2 JLPT_3","wbx:,PABM*","bãi cỏ"
"支払","しはらい","payment","JLPT JLPT_2 JLPT_3","Ev?:EQ7Ks`","sự chi trả"
"支払う","しはらう","to pay","JLPT JLPT_2 JLPT_3","ND2,<K].}x","trả tiền"
"死亡","しぼう","death","JLPT JLPT_2 JLPT_3","zYjIN3r3C","cái chết"
"資本","しほん","funds, capital","JLPT JLPT_2 JLPT_3","K]eJp4bmn-","quỹ, vốn"
"姉妹","しまい","sisters","JLPT JLPT_2 JLPT_3","D=K+>4{9gs","chị em"
"しまった (かん)","しまった (かん)","Damn it!","JLPT JLPT_2 JLPT_3","lG^NNUo)xn","Chết tiệt!"
"自慢","じまん","pride, boast","JLPT JLPT_2 JLPT_3","I/xy:2]J/|","kiêu hãnh, khoe khoang"
"地味","じみ","quiet, plain, conservative","JLPT JLPT_2 JLPT_3","o(yU(Vt?_.","trầm lặng, đơn giản, bảo thủ"
"示す","しめす","to show, to indicate","JLPT JLPT_2 JLPT_3","Jd8*LeirRj","để hiển thị, để chỉ ra"
"占める","しめる","to take up; to account for","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14","r`M6Y4!/$F","để đảm nhận; để giải thích"
"湿る","しめる","to be wet, to be damp","JLPT JLPT_2 JLPT_3","uFiSD0nBbH","bị ướt, bị ẩm"
"下","しも","under, below, beneath","JLPT JLPT_2 JLPT_3","NEdu]f-jA,","dưới, bên dưới, bên dưới"
"霜","しも","frost","JLPT JLPT_2 JLPT_3","r%B(k2*%-2","sương giá"
"借金","しゃっきん","debt, loan, liabilities","JLPT JLPT_2 JLPT_3","HTrhI~ql4k","nợ, khoản vay, nợ phải trả"
"しゃべる","しゃべる","to talk, to chat, to chatter (same as 話す (はなす))","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8","xm(;YK[sEF","nói chuyện, tán gẫu, tán gẫu (giống như 話す (はなす))"
"週","しゅう","week","JLPT JLPT_2 JLPT_3","x+o,UuIX0t","tuần"
"州","しゅう","state, province","JLPT JLPT_2 JLPT_3","P_~2Qd-Z,0","tiểu bang, tỉnh"
"銃","じゅう","gun","JLPT JLPT_2 JLPT_3","g}R=q_AV`]","súng"
"周囲","しゅうい","surroundings, circumference, environs","JLPT JLPT_2 JLPT_3","k;vO#x`Yq;","xung quanh, chu vi, vùng xung quanh"
"収穫","しゅうかく","harvest, crop, ingathering","JLPT JLPT_2 JLPT_3","Q1;gC;3=ME","thu hoạch, thu hoạch, thu hoạch"
"宗教","しゅうきょう","religion","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3","h2}ja7i^zZ","tôn giáo"
"重視","じゅうし","importance, stress","JLPT JLPT_2 JLPT_3","p)R=DLs-/X","tầm quan trọng, căng thẳng"
"就職","しゅうしょく","finding employment","JLPT JLPT_2 JLPT_3","G#y*V:{2Bq","tìm việc làm"
"ジュース","ジュース","juice, soft drink; deuce","JLPT Genki_Ln.12 JLPT_3 JLPT_2 Genki","w1Xid7|yfz","nước trái cây, nước ngọt; lừa dối"
"修正","しゅうせい","amendment, correction","JLPT JLPT_2 JLPT_3","gUKGu[G9oC","sửa đổi, đính chính"
"重体","じゅうたい","seriously ill, critical state","JLPT JLPT_2 JLPT_3","F]Ml+g6],&","bệnh nặng, tình trạng nguy kịch"
"渋滞","じゅうたい","congestion (e.g., traffic), delay","JLPT JLPT_2 JLPT_3","f6HLmc1`E?","tắc nghẽn (ví dụ: giao thông), sự chậm trễ"
"重大","じゅうだい","serious, important","JLPT JLPT_2 JLPT_3","bRTiuj?[St","nghiêm trọng, quan trọng"
"住宅","じゅうたく","resident, housing","JLPT JLPT_2 JLPT_3","bO,.P:9Wr8","cư dân, nhà ở"
"集団","しゅうだん","group, mass","JLPT JLPT_2 JLPT_3","O[N$vC_)x(","nhóm, khối lượng"
"集中","しゅうちゅう","concentration, focusing the mind","JLPT JLPT_2 JLPT_3","z{<Xu{#h*c","tập trung, tập trung tâm trí"
"収入","しゅうにゅう","income, revenue","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14","Ow2ez*OE$v","thu nhập, doanh thu"
"住民","じゅうみん","inhabitants, residents","JLPT JLPT_2 JLPT_3","M3~&[?-]c=","cư dân, cư dân"
"重要","じゅうよう","important, essential","JLPT JLPT_2 JLPT_3","d;5d4|x2m2","quan trọng, thiết yếu"
"修理","しゅうり","repairing, mending","JLPT JLPT_2 JLPT_3","i2Z^HI-&!g","sửa chữa, sửa chữa"
"主義","しゅぎ","doctrine, cause, principle","JLPT JLPT_2 JLPT_3","mm(7ICuhH@","học thuyết, nguyên nhân, nguyên tắc"
"宿泊","しゅくはく","lodging","JLPT JLPT_2 JLPT_3","sJf/S8qo)G","chỗ ở"
"手術","しゅじゅつ","surgical operation","JLPT JLPT_2 JLPT_3","O=U-eHfq4I","phẫu thuật"
"首相","しゅしょう","Prime Minister","JLPT JLPT_2 JLPT_3","h%Bt%?=g9,","Thủ tướng"
"手段","しゅだん","means, way, measure","JLPT JLPT_2 JLPT_3","cG]JN2+6BK","phương tiện, cách thức, thước đo"
"主張","しゅちょう","claim, insistence, assertion","JLPT JLPT_2 JLPT_3","PQKr-g-1[?","khẳng định, khẳng định, khẳng định"
"出場","しゅつじょう","participation","JLPT JLPT_2 JLPT_3","u|Gl.@-_{b","sự tham gia"
"出身","しゅっしん","come from","JLPT JLPT_2 JLPT_3","E~$fFKz?VN","đến từ"
"出版","しゅっぱん","publication","JLPT JLPT_2 JLPT_3","pHGL?y?[mQ","công bố"
"首都","しゅと","capital city","JLPT JLPT_2 JLPT_3","pV,3~,Z87[","thủ đô"
"主婦","しゅふ","housewife","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.1 Genki","cu7/mz5_+B","bà nội trợ"
"主要","しゅよう","chief, main","JLPT JLPT_2 JLPT_3","e/wz>k>*.!","trưởng, chính"
"需要","じゅよう","demand","JLPT JLPT_2 JLPT_3","wIb;!:/d[S","yêu cầu"
"種類","しゅるい","variety, kind","JLPT JLPT_2 JLPT_3","yLzP_}wHk~","đa dạng, loại"
"順","じゅん","order, turn","JLPT JLPT_2 JLPT_3","j(7}!qj-R?","ra lệnh, quay"
"瞬間","しゅんかん","moment, second","JLPT JLPT_2 JLPT_3","w74BNqe`C[","khoảnh khắc, giây"
"順調","じゅんちょう","doing well","JLPT JLPT_2 JLPT_3","QTXqs`sU2C","làm tốt"
"順番","じゅんばん","turn (in line), order of things","JLPT JLPT_2 JLPT_3","B3?=*++0m,","lần lượt (theo hàng), thứ tự sự việc"
"使用","しよう","use (same as 使うこと (つかうこと)), application, employment, utilization","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11","fv),c7#%~v","sử dụng (giống như 使うこと (つかうこと)), ứng dụng, việc làm, sự sử dụng"
"小","しょう","small","JLPT JLPT_2 JLPT_3","He3e1#-/kV","bé nhỏ"
"章","しょう","chapter, section; medal","JLPT JLPT_2 JLPT_3","Cp$qz7LRQ1","chương, mục; huy chương"
"賞","しょう","prize, award","JLPT JLPT_2 JLPT_3","ixda5oQQ=r","giải thưởng, giải thưởng"
"上","じょう","first volume; superior quality; governmental","JLPT JLPT_2 JLPT_3","bjtdx{-WQ5","tập đầu tiên; chất lượng vượt trội; chính phủ"
"障害","しょうがい","obstacle, impediment","JLPT JLPT_2 JLPT_3","lN`%jCJ3Cv","trở ngại, trở ngại"
"奨学金","しょうがくきん","scholarship","Genki_Ln.16 JLPT JLPT_3 JLPT_2 Genki","Q-*B#$A6L:","học bổng"
"乗客","じょうきゃく","passenger","JLPT JLPT_2 JLPT_3","F?2lxj<[^L","hành khách"
"上京","じょうきょう","proceeding to the capital (Tokyo)","JLPT JLPT_2 JLPT_3","EmcG8c7y3D","tiến tới thủ đô (Tokyo)"
"状況","じょうきょう","state of affairs, situation","JLPT JLPT_2 JLPT_3","eJ+`w-qU@C","tình hình, tình hình"
"条件","じょうけん","conditions, terms","JLPT JLPT_2 JLPT_3","PesF@2hHde","điều kiện, điều khoản"
"正午","しょうご","noon, mid-day","JLPT JLPT_2 JLPT_3","i0$lSUJ-1J","buổi trưa, giữa ngày"
"正直","しょうじき","honesty, integrity, frankness","JLPT JLPT_2 JLPT_3","l~d^29Cn=%","trung thực, chính trực, thẳng thắn"
"常識","じょうしき","common sense","JLPT JLPT_2 JLPT_3","b?[*`UKS8R","lẽ thường"
"少女","しょうじょ","young girl","JLPT JLPT_2 JLPT_3","lN;?Tr6q{x","cô gái trẻ"
"少々","しょうしょう","a little; short (time) (formal for 少し (すこし))","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8 Genki_Ln.20 Genki","Ievwu]EUfz","một chút; ngắn (thời gian) (trang trọng cho 少し (すこし))"
"症状","しょうじょう","symptoms, condition","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12","v+Eb}=L(fE","triệu chứng, tình trạng"
"生じる","しょうじる","to occur, to arise, to be generated","JLPT JLPT_2 JLPT_3","F/qG4,c8v/","xảy ra, phát sinh, được sinh ra"
"状態","じょうたい","condition, situation","JLPT JLPT_2 JLPT_3","u!E?FPG-@p","điều kiện, hoàn cảnh"
"上達","じょうたつ","improvement, advance","JLPT JLPT_2 JLPT_3","Cc{1AI[wlm","cải tiến, tiến bộ"
"冗談","じょうだん","a joke","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10","CllWuV2>%{","một trò đùa"
"上等","じょうとう","first class, very good","JLPT JLPT_2 JLPT_3","tjn_MUpJQp","hạng nhất, rất tốt"
"衝突","しょうとつ","collision, conflict","JLPT JLPT_2 JLPT_3","D@=pGn%86P","va chạm, xung đột"
"商人","しょうにん","trader, shopkeeper, merchant","JLPT JLPT_2 JLPT_3","MlJB*>A^h!","người buôn bán, người bán hàng, người buôn bán"
"承認","しょうにん","recognition, approval","JLPT JLPT_2 JLPT_3","N==,~orf~[","công nhận, phê duyệt"
"少年","しょうねん","boys, juveniles","JLPT JLPT_2 JLPT_3","p6fQoD5WK;","các chàng trai, thanh thiếu niên"
"商売","しょうばい","trade, business, commerce","JLPT JLPT_2 JLPT_3","LoHl,.u1Y|","buôn bán, kinh doanh, thương mại"
"消費","しょうひ","consumption, expenditure","JLPT JLPT_2 JLPT_3","r7nT91%)]@","tiêu dùng, chi tiêu"
"商品","しょうひん","commodity, merchandise","JLPT JLPT_2 JLPT_3","w+UOx&@[sL","hàng hóa, hàng hóa"
"賞品","しょうひん","prize, trophy","JLPT JLPT_2 JLPT_3","M}I~*8Gv<&","giải thưởng, cúp"
"消防","しょうぼう","fire fighting, fire department","JLPT JLPT_2 JLPT_3","u20O%VZ|ID","chữa cháy, sở cứu hỏa"
"情報","じょうほう","information, (military) intelligence","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3","cpG:I1X!x-","thông tin, tình báo (quân sự)"
"証明","しょうめい","proof, verification","JLPT JLPT_2 JLPT_3","l8;-B$4N!G","bằng chứng, xác minh"
"省略","しょうりゃく","omission, abbreviation, abridgment","JLPT JLPT_2 JLPT_3","jp1y&-#kyn","sự thiếu sót, sự viết tắt, sự rút gọn"
"女王","じょおう","queen","JLPT JLPT_2 JLPT_3","furG^[#|I<","nữ hoàng"
"職","しょく","employment","JLPT JLPT_2 JLPT_3","hJY}5,Qu8j","thuê người làm"
"職業","しょくぎょう","occupation, business","JLPT JLPT_2 JLPT_3","tU=ntM)WP{","nghề nghiệp, kinh doanh"
"食卓","しょくたく","dining table","JLPT JLPT_2 JLPT_3","o})uu+vtqN","bàn ăn"
"食品","しょくひん","foodstuff","JLPT JLPT_2 JLPT_3","iU(>r<G;@0","thực phẩm"
"植物","しょくぶつ","plant, vegetation","JLPT JLPT_2 JLPT_3","mpdopLG{vR","thực vật, thảm thực vật"
"食物","しょくもつ","food, foodstuff","JLPT JLPT_2 JLPT_3","KrMVp?T5YJ","lương thực, thực phẩm"
"食欲","しょくよく","appetite (for food)","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12","qt1GC>c)@^","sự thèm ăn (về đồ ăn)"
"食料","しょくりょう","food","JLPT JLPT_2 JLPT_3","k76m(C.Z,~","đồ ăn"
"食糧","しょくりょう","provisions, rations","JLPT JLPT_2 JLPT_3","e~`&J:],P}","dự phòng, khẩu phần"
"書斎","しょさい","study, den","JLPT JLPT_2 JLPT_3","z(Zi=4k7-t","học tập, làm việc"
"女子","じょし","woman, girl","JLPT JLPT_2 JLPT_3","y}`qNApt9R","người phụ nữ, cô gái"
"助手","じょしゅ","helper, assistant","JLPT JLPT_2 JLPT_3","F9rI>UKU}`","người giúp việc, trợ lý"
"徐々に","じょじょに","slowly, little by little","JLPT JLPT_2 JLPT_3","Ik@-$!%)*d","từ từ, từng chút một"
"署名","しょめい","signature","JLPT JLPT_2 JLPT_3","C)w4*u^eJ,","chữ ký"
"書物","しょもつ","books","JLPT JLPT_2 JLPT_3","dsq%HW0O`l","sách"
"女優","じょゆう","actress","JLPT JLPT_2 JLPT_3","g6/0nLbYEk","nữ diễn viên"
"処理","しょり","processing, treatment, disposition","JLPT JLPT_2 JLPT_3","n-}WPF,.CB","xử lý, xử lý, xử lý"
"書類","しょるい","documents, official papers","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14 Genki_Ln.22 Genki","Ehj{.OHy`#","văn bản, giấy tờ chính thức"
"知らせ","しらせ","notice","JLPT JLPT_2 JLPT_3","tE;LJdiq{b","để ý"
"尻","しり","buttocks, bottom","JLPT JLPT_2 JLPT_3","Cp-T01W>>7","mông, đáy"
"知合い","しりあい","acquaintance","JLPT JLPT_2 JLPT_3","Jz(h+XVbH4","người quen"
"印","しるし","mark; symbol; evidence","JLPT JLPT_2 JLPT_3","F?8:NFp=(i","đánh dấu; biểu tượng; chứng cớ"
"城","しろ","castle","JLPT JLPT_2 JLPT_3","GnhkX+7b^.","lâu đài"
"進学","しんがく","going on to university","JLPT JLPT_2 JLPT_3","p#!GLXFzk~","đang học đại học"
"神経","しんけい","nerve, sensitivity","JLPT JLPT_2 JLPT_3","mz&,NqxuZ0","thần kinh, nhạy cảm"
"真剣","しんけん","seriousness, earnestness","JLPT JLPT_2 JLPT_3","PuRLKa9@q(","sự nghiêm túc, sự nghiêm túc"
"信仰","しんこう","(religious) faith, belief","JLPT JLPT_2 JLPT_3","g~oH1SUq[>","(tôn giáo) niềm tin, niềm tin"
"信号","しんごう","traffic lights, signal, semaphore","JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki","z?zKX+/#?f","đèn giao thông, tín hiệu, semaphore"
"人工","じんこう","artificial, man made, human work,","JLPT JLPT_2 JLPT_3","zQ3t>E=&2U","nhân tạo, con người làm ra, công việc của con người,"
"深刻","しんこく","serious","JLPT JLPT_2 JLPT_3","Kel_M-JGRX","nghiêm trọng"
"診察","しんさつ","medical examination (of a patient)","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12","Mx*u-x#R2}","khám bệnh (của bệnh nhân)"
"人種","じんしゅ","race (of people)","JLPT JLPT_2 JLPT_3","Mm&n`P$vPl","chủng tộc (của con người)"
"信じる","しんじる","to believe","JLPT JLPT_2 JLPT_3","E~EJs-CkJ`","tin tưởng"
"人生","じんせい","(human) life (e.g., conception to death)","JLPT JLPT_2 JLPT_3","G{?]K0G%It","(con người) sự sống (ví dụ, thụ thai cho đến chết)"
"親戚","しんせき","relative(s)","Genki_Ln.16 JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki","f;-yjmPO85","họ hàng)"
"新鮮","しんせん","fresh","JLPT JLPT_2 JLPT_3","hgsIFo;k1C","tươi"
"心臓","しんぞう","heart","JLPT JLPT_2 JLPT_3","FBeXkqV5hu","trái tim"
"身体","しんたい","the body","JLPT JLPT_2 JLPT_3","t3y~q`<OO!","cơ thể"
"身長","しんちょう","height (of body), stature","JLPT JLPT_2 JLPT_3","v2>$s!00R?","chiều cao (thân hình), tầm vóc"
"慎重","しんちょう","careful, prudent, cautious","JLPT JLPT_2 JLPT_3","H{qX;#1p@y","cẩn thận, thận trọng, thận trọng"
"審判","しんぱん","umpire, referee, judgment","JLPT JLPT_2 JLPT_3","i+^OoCXV,-","trọng tài, trọng tài, sự phán xét"
"人物","じんぶつ","character, personality, talented man","JLPT JLPT_2 JLPT_3","OXSwNDOM:u","nhân cách, nhân cách, người đàn ông tài năng"
"進歩","しんぽ","improvement, progress, development","JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13","C*Oco$5$I7","sự cải thiện, sự tiến bộ, sự phát triển"
"親友","しんゆう","close friend, buddy","JLPT JLPT_2 JLPT_3","e!XKqiS_]u","bạn thân, bạn thân"
"信用","しんよう","confidence, dependence","JLPT JLPT_2 JLPT_3","D_Xu621X(*","sự tự tin, sự phụ thuộc"
"信頼","しんらい","reliance, trust, confidence","JLPT JLPT_2 JLPT_3","Cc(neZE[/;","sự trông cậy, sự tin tưởng, sự tự tin"
"心理","しんり","mentality","JLPT JLPT_2 JLPT_3","M4-pHm{8Hp","tâm lý"
"人類","じんるい","mankind, humanity","JLPT JLPT_2 JLPT_3","yGfC3NH0c~","nhân loại, nhân loại"
"巣","す","nest, breeding place","JLPT JLPT_2 JLPT_3","wae)m$%B2U","tổ, nơi sinh sản"
"酢","す","vinegar","JLPT JLPT_2 JLPT_3","S|>MWw8{x","giấm"
"図","ず","figure, drawing, illustration","JLPT JLPT_2 JLPT_3","o=i@Vi;`4G","hình, bản vẽ, hình minh họa"
"水準","すいじゅん","level, standard","JLPT JLPT_2 JLPT_3","LrR5Wf1Z7N","mức độ, tiêu chuẩn"
"推薦","すいせん","recommendation","JLPT JLPT_2 JLPT_3","jvDU?eC@&E","sự giới thiệu"
"スイッチ","スイッチ","switch","JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki","D+{$1{/[wR","công tắc"
"睡眠","すいみん","sleep","JLPT JLPT_2 JLPT_3","wh0!*D%WvE","ngủ"
"数","すう","number, figure","JLPT JLPT_2 JLPT_3","J]}my?o<Q!","số, hình"
"数字","すうじ","numeral, figure","JLPT JLPT_2 JLPT_3","B[Gra1kO)v","chữ số, hình"
