"expression","reading","meaning_en","meaning_vi"
"您","nín","you (courteous","bạn (lịch sự"
"牛奶","niú nǎi","cow's milk","sữa bò"
"女人","nǚ rén","woman","đàn bà"
"旁边","páng biān","lateral","bên"
"跑步","pǎo bù","to walk quickly","đi bộ nhanh chóng"
"便宜","pián yi","small advantages","lợi thế nhỏ"
"票","piào","ticket","vé"
"妻子","qī zi","wife","vợ"
"起床","qǐ chuáng","to get out of bed","ra khỏi giường"
"千","qiān","a swing","một chiếc xích đu"
"晴","qíng","clear","thông thoáng"
"去年","qù nián","last year","năm ngoái"
"让","ràng","to yield","mang lại"
"上班","shàng bān","to go to work","đi làm"
"身体","shēn tǐ","(human) body","(con người) cơ thể"
"生病","shēng bìng","to fall ill","bị ốm"
"生日","shēng rì","birthday","sinh nhật"
"时间","shí jiān","time","thời gian"
"事情","shì qing","affair","chuyện tình"
"手表","shǒu biǎo","wrist watch","đồng hồ đeo tay"
"手机","shǒu jī","cell phone","điện thoại di động"
"送","sòng","to deliver","để giao hàng"
"所以","suǒ yǐ","therefore","Vì vậy"
"它","tā","it","Nó"
"踢","tī","to kick","đá"
"题","tí","topic","đề tài"
"跳舞","tiào wǔ","to dance","nhảy"
"外","wài","outside","ngoài"
"完","wán","to finish","để kết thúc"
"玩","wán","toy","đồ chơi"
"晚上","wǎn shang","evening","buổi tối"
"为","wèi","variant of 為|为","biến thể của 為|为"
"问","wèn","to ask","hỏi"
"问题","wèn tí","question","câu hỏi"
"西瓜","xī guā","watermelon","dưa hấu"
"希望","xī wàng","to wish for","ước gì"
"洗","xǐ","to wash","rửa"
"向","xiàng","towards","đối với"
"小时","xiǎo shí","hour","giờ"
"笑","xiào","laugh","cười"
"新","xīn","new","mới"
"姓","xìng","family name","tên gia đình"
"休息","xiū xi","rest","nghỉ ngơi"
"雪","xuě","snow","tuyết"
"颜色","yán sè","color","màu sắc"
"眼睛","yǎn jing","eye","mắt"
"羊肉","yáng ròu","mutton","thịt cừu"
"药","yào","medicine","thuốc"
"要","yào","important","quan trọng"
"也","yě","also","Mà còn"
"已经","yǐ jīng","already","đã"
"一起","yī qǐ","in the same place","ở cùng một nơi"
"意思","yì si","idea","ý tưởng"
"阴","yīn","overcast (weather)","u ám (thời tiết)"
"因为","yīn wèi","because","bởi vì"
"游泳","yóu yǒng","swimming","bơi lội"
"右边","yòu bian","right side","bên phải"
"鱼","yú","fish","cá"
"元","yuán","Chinese monetary unit","Đơn vị tiền tệ của Trung Quốc"
"远","yuǎn","far","xa"
"运动","yùn dòng","to move","di chuyển"
"再","zài","again","lại"
"早上","zǎo shang","early morning","sáng sớm"
"张","zhāng","to open up","mở ra"
"长","zhǎng","chief","người đứng đầu"
"丈夫","zhàng fu","husband","chồng"
"找","zhǎo","to try to find","để cố gắng tìm"
"着","zhe","aspect particle indicating action in progress","hạt khía cạnh biểu thị hành động đang diễn ra"
"真","zhēn","really","Thực ra"
"正在","zhèng zài","in the process of (doing something or happening)","trong quá trình (làm điều gì đó hoặc xảy ra)"
"知道","zhī dào","to know","để biết"
"准备","zhǔn bèi","preparation","sự chuẩn bị"
"自行车","zì xíng chē","bicycle","xe đạp"
"走","zǒu","to walk","đi bộ"
"最","zuì","most","hầu hết"
"左边","zuǒ bian","left","bên trái"
