expression,reading,meaning_en,meaning_vi
窗户,chuāng hu,window,window
词典,cí diǎn,dictionary (of Chinese compound words),dictionary (of Chinese compound words)
从来,cóng lái,always,always
粗心,cū xīn,careless,careless
答案,dá àn,answer,answer
打扮,dǎ ban,to decorate,to decorate
打扰,dǎ rǎo,to disturb,to disturb
打印,dǎ yìn,to print,to print
打折,dǎ zhé,to give a discount,to give a discount
打针,dǎ zhēn,to give or have an injection,to give or have an injection
大概,dà gài,roughly,roughly
大使馆,dà shǐ guǎn,embassy,embassy
大约,dà yuē,approximately,approximately
戴,dài,to put on or wear (glasses,to put on or wear (glasses
代表,dài biǎo,representative,representative
代替,dài tì,instead,instead
大夫,dài fu,doctor,doctor
当,dāng,to be,to be
当地,dāng dì,local,local
当时,dāng shí,then,then
刀,dāo,knife,knife
导游,dǎo yóu,tour guide,tour guide
到处,dào chù,everywhere,everywhere
到底,dào dǐ,finally,finally
道歉,dào qiàn,to apologize,to apologize
得意,dé yì,proud of oneself,proud of oneself
等,děng,class,class
等,děng,class,class
底,dǐ,background,background
地球,dì qiú,the Earth,the Earth
地址,dì zhǐ,address,address
掉,diào,to fall,to fall
调查,diào chá,investigation,investigation
丢,diū,to lose,to lose
动作,dòng zuò,movement,movement
堵车,dǔ chē,traffic jam,traffic jam
肚子,dù zi,belly,belly
断,duàn,to break,to break
对,duì,couple,couple
对,duì,couple,couple
对话,duì huà,dialog,dialog
对面,duì miàn,(sitting) opposite,(sitting) opposite
顿,dùn,to stop,to stop
朵,duǒ,flower,flower
而,ér,and,and
儿童,ér tóng,child,đứa trẻ
发,fā,to send out,gửi đi
发生,fā shēng,to happen,xảy ra
发展,fā zhǎn,development,phát triển
法律,fǎ lǜ,law,pháp luật
翻译,fān yì,to translate,dịch
烦恼,fán nǎo,to be worried,lo lắng
反对,fǎn duì,to fight against,để chiến đấu chống lại
反映,fǎn yìng,to mirror,phản ánh
范围,fàn wéi,range,phạm vi
方法,fāng fǎ,method,phương pháp
方面,fāng miàn,respect,sự tôn trọng
方向,fāng xiàng,direction,phương hướng
访问,fǎng wèn,to visit,đến thăm
放弃,fàng qì,to renounce,từ bỏ
放暑假,fàng shǔ jià,The summer holidays,Những ngày nghỉ hè
分之,fēn zhī,(indicating a fraction),(biểu thị một phân số)
份,fèn,classifier for gifts,phân loại quà tặng
风景,fēng jǐng,scenery,phong cảnh
丰富,fēng fù,to enrich,làm giàu
否则,fǒu zé,if not,nếu không
符合,fú hé,in keeping with,phù hợp với
富,fù,rich,giàu có
负责,fù zé,to be in charge of,phụ trách
复印,fù yìn,to photocopy,sao chụp
复杂,fù zá,complicated,phức tap
父亲,fù qīn,father,bố
改变,gǎi biàn,to change,thay đổi
干杯,gān bēi,to drink a toast,nâng ly chúc mừng
干燥,gān zào,to dry (of weather,làm khô (của thời tiết
感动,gǎn dòng,to move (sb),di chuyển (sb)
感觉,gǎn jué,to feel,cảm nhận
感情,gǎn qíng,feeling,cảm giác
感谢,gǎn xiè,(express) thanks,(thể hiện) cảm ơn
干,gàn,tree trunk,thân cây
刚刚,gāng gang,just recently,vừa mới đây thôi
高级,gāo jí,high level,cấp độ cao
个子,gè zi,height,chiều cao
各,gè,each,mỗi
公里,gōng lǐ,kilometer,cây số
工具,gōng jù,tool,dụng cụ
工资,gōng zī,wages,tiền lương
共同,gòng tóng,common,chung
够,gòu,to reach,để đạt được
购物,gòu wù,shopping,mua sắm
孤单,gū dān,lone,cô đơn
估计,gū jì,to estimate,để ước tính
鼓励,gǔ lì,to encourage,để khuyến khích
鼓掌,gǔ zhǎng,to applaud,vỗ tay
顾客,gù kè,client,khách hàng
故意,gù yì,deliberately,cố ý
挂,guà,to hang or suspend (from a hook etc),"treo hoặc treo (từ một cái móc, v.v.)"
关键,guān jiàn,crucial point,điểm quan trọng
观众,guān zhòng,spectators,khán giả
管理,guǎn lǐ,to supervise,giám sát
光,guāng,light,ánh sáng
广播,guǎng bō,broadcast,phát tin
广告,guǎng gào,to advertise,để quảng cáo
逛,guàng,to stroll,đi dạo
规定,guī dìng,provision,sự cung cấp
国际,guó jì,international,quốc tế
果然,guǒ rán,really,Thực ra
过,guò,(experienced action marker),(điểm đánh dấu hành động có kinh nghiệm)
过,guò,(experienced action marker),(điểm đánh dấu hành động có kinh nghiệm)
过程,guò chéng,course of events,diễn biến sự kiện
海洋,hǎi yáng,ocean,đại dương
害羞,hài xiū,shy,xấu hổ
寒假,hán jià,winter vacation,kỳ nghỉ đông
汗,hàn,perspiration,mồ hôi
航班,háng bān,scheduled flight,chuyến bay theo lịch trình
好处,hǎo chu,benefit,lợi ích
好像,hǎo xiàng,as if,như thể
号码,hào mǎ,number,con số
合格,hé gé,qualified,đạt tiêu chuẩn
合适,hé shì,suitable,thích hợp
盒子,hé zi,case,trường hợp
猴子,hóu zi,monkey,con khỉ
厚,hòu,thick,dày
后悔,hòu huǐ,to regret,hối tiếc
后来,hòu lái,afterwards,sau đó
忽然,hū rán,suddenly,đột nhiên
互相,hù xiāng,each other,nhau
护士,hù shi,nurse,y tá
怀疑,huái yí,to doubt,nghi ngờ
回忆,huí yì,to recall,nhớ lại
活动,huó dòng,to exercise,tập thể dục
活泼,huó po,lively,sống động
火,huǒ,fire,ngọn lửa
获得,huò dé,to obtain,để có được
基础,jī chǔ,base,căn cứ
激动,jī dòng,to excite,kích thích
积极,jī jí,active,tích cực
积累,jī lěi,to accumulate,tích lũy
极其,jí qí,extremely,vô cùng
即使,jí shǐ,even if,ngay cả khi
及时,jí shí,in time,đúng lúc
集合,jí hé,to gather,tập hợp
寄,jì,to live (in a house),sống (trong một ngôi nhà)
继续,jì xù,to continue,tiếp tục
记者,jì zhě,reporter,phóng viên
计划,jì huà,plan,kế hoạch
技术,jì shù,technology,công nghệ
既然,jì rán,since,từ
家具,jiā jù,furniture,nội thất
加班,jiā bān,to work overtime,làm việc ngoài giờ
加油站,jiā yóu zhàn,gas station,trạm xăng
假,jiǎ,fake,giả mạo
价格,jià gé,price,giá
坚持,jiān chí,to persevere with,kiên trì với
减肥,jiǎn féi,to lose weight,để giảm cân
减少,jiǎn shǎo,to lessen,giảm bớt
将来,jiāng lái,in the future,trong tương lai
奖金,jiǎng jīn,premium,phần thưởng
降低,jiàng dī,to reduce,để giảm
交,jiāo,to hand over,bàn giao
交流,jiāo liú,to exchange,trao đổi
交通,jiāo tōng,to be connected,được kết nối
骄傲,jiāo ào,pride,kiêu hãnh
饺子,jiǎo zi,dumpling,bánh bao
教授,jiào shòu,professor,giáo sư
教育,jiào yù,to educate,để giáo dục
接受,jiē shòu,to accept,chấp nhận
节约,jié yuē,to economize,tiết kiệm
结果,jié guǒ,outcome,kết quả
解释,jiě shì,explanation,lời giải thích
紧张,jǐn zhāng,nervous,lo lắng
尽管,jǐn guǎn,despite,cho dù
进行,jìn xíng,to advance,tiến lên
禁止,jìn zhǐ,to prohibit,cấm
精彩,jīng cǎi,brilliant,xuất sắc
精神,jīng shén,spirit,tinh thần
经济,jīng jì,economy,kinh tế
经历,jīng lì,experience,kinh nghiệm
经验,jīng yàn,to experience,để trải nghiệm
京剧,Jīng jù,Beijing opera,Kinh kịch Bắc Kinh
警察,jǐng chá,police,cảnh sát
竟然,jìng rán,unexpectedly,bất ngờ
竞争,jìng zhēng,to compete,để cạnh tranh
镜子,jìng zi,mirror,gương
究竟,jiū jìng,after all (when all is said and done),sau cùng (khi tất cả đã được nói và làm xong)
举办,jǔ bàn,to conduct,tiến hành
拒绝,jù jué,to refuse,từ chối
距离,jù lí,distance,khoảng cách
开玩笑,kāi wán xiào,to play a joke,để chơi một trò đùa
看法,kàn fǎ,way of looking at a thing,cách nhìn vào một sự vật
考虑,kǎo lǜ,to think over,suy nghĩ lại
棵,kē,classifier for trees,phân loại cây
科学,kē xué,science,khoa học
咳嗽,ké sou,to cough,ho
可怜,kě lián,pitiful,thương tâm
可是,kě shì,but,Nhưng
可惜,kě xī,it is a pity,thật đáng tiếc
肯定,kěn dìng,to be sure,để chắc chắn
空气,kōng qì,air,không khí
恐怕,kǒng pà,fear,nỗi sợ
苦,kǔ,bitter,vị đắng
宽,kuān,lenient,khoan dung
困,kùn,sleepy,buồn ngủ
困难,kùn nan,difficult,khó
扩大,kuò dà,to expand,mở rộng
拉,lā,to pull,kéo
垃圾桶,lā jī tǒng,rubbish bin,thùng rác
辣,là,hot (spicy),nóng (cay)
来不及,lái bu jí,there's not enough time (to do sth),không có đủ thời gian (để làm việc gì đó)
来得及,lái de jí,there's still time,vẫn còn thời gian
懒,lǎn,lazy,lười
浪费,làng fèi,to waste,lãng phí
浪漫,làng màn,romantic,lãng mạn
老虎,lǎo hǔ,tiger,con hổ
冷静,lěng jìng,calm,điềm tĩnh
礼貌,lǐ mào,courtesy,lịch sự
理发,lǐ fà,a barber,một thợ cắt tóc
理解,lǐ jiě,to comprehend,để hiểu
理想,lǐ xiǎng,a dream,một giấc mơ
厉害,lì hai,difficult to deal with,khó giải quyết
力气,lì qi,strength,sức mạnh
例如,lì rú,for example,Ví dụ
俩,liǎ,two (colloquial equivalent of 兩個|两个),hai (thông tục tương đương với 兩個|两个)
连,lián,to link,liên kết
联系,lián xì,connection,sự liên quan
凉快,liáng kuai,nice and cold,đẹp và lạnh
亮,liàng,bright,sáng
聊天,liáo tiān,to chat,để trò chuyện
另外,lìng wài,additional,thêm vào
留,liú,to leave (a message etc),"để lại (một tin nhắn, v.v.)"
留学,liú xué,to study abroad,đi du học
流泪,liú lèi,to shed tears,rơi nước mắt
流利,liú lì,fluent,trôi chảy
流行,liú xíng,to spread,lan rộng
乱,luàn,in confusion or disorder,trong sự nhầm lẫn hoặc rối loạn
律师,lǜ shī,lawyer,luật sư
麻烦,má fan,inconvenient,bất tiện
马虎,mǎ hu,careless,bất cẩn
满,mǎn,full,đầy
毛巾,máo jīn,towel,cái khăn lau
美丽,měi lì,beautiful,xinh đẹp
梦,mèng,dream,mơ
密码,mì mǎ,code,mã số
免费,miǎn fèi,free (of charge),miễn phí (có tính phí)
民族,mín zú,nationality,quốc tịch
母亲,mǔ qīn,mother,mẹ
目的,mù dì,purpose,mục đích
耐心,nài xīn,to be patient,kiên nhẫn
难道,nán dào,don't tell me ...,đừng nói với tôi...
难受,nán shòu,to feel unwell,cảm thấy không khỏe
内,nèi,inside,bên trong
内容,nèi róng,content,nội dung
能力,néng lì,capability,khả năng
年龄,nián líng,(a person's) age,tuổi (của một người)
农村,nóng cūn,rural area,khu vực nông thôn
弄,nòng,to do,làm
暖和,nuǎn huo,warm,ấm
偶尔,ǒu ěr,occasionally,thỉnh thoảng
排列,pái liè,array,mảng
判断,pàn duàn,to decide,quyết định
陪,péi,to accompany,đi cùng
批评,pī píng,to criticize,chỉ trích
皮肤,pí fū,skin,da
脾气,pí qi,character,tính cách
篇,piān,sheet,tờ giấy
骗,piàn,to cheat,lừa dối
乒乓球,pīng pāng qiú,table tennis,bóng bàn
平时,píng shí,ordinarily,thông thường
瓶子,píng zi,bottle,cái chai
破,pò,broken,vỡ
普遍,pǔ biàn,universal,phổ quát
其次,qí cì,next,Kế tiếp
其中,qí zhōng,among,giữa
起飞,qǐ fēi,to take off (in an airplane),cất cánh (trên máy bay)
起来,qi lai,(after a verb,(sau động từ
气候,qì hòu,climate,khí hậu
千万,qiān wàn,ten million,mười triệu
签证,qiān zhèng,visa,visa
墙,qiáng,wall,tường
敲,qiāo,to hit,đánh
桥,qiáo,bridge,cầu
巧克力,qiǎo kè lì,chocolate (loanword),sôcôla (từ mượn)
亲戚,qīn qi,a relative (i.e. family relation),một người họ hàng (tức là quan hệ gia đình)
轻,qīng,light,ánh sáng
轻松,qīng sōng,gentle,dịu dàng
情况,qíng kuàng,circumstances,trường hợp
请假,qǐng jià,to request leave of absence,xin nghỉ phép
请客,qǐng kè,to give a dinner party,tổ chức một bữa tiệc tối
穷,qióng,exhausted,kiệt sức
区别,qū bié,difference,sự khác biệt
取,qǔ,to take,lấy
全部,quán bù,whole,trọn
缺点,quē diǎn,weak point,điểm yếu
缺少,quē shǎo,lack,thiếu
却,què,but,Nhưng
确实,què shí,indeed,thực vậy
群,qún,group,nhóm
然而,rán ér,however,Tuy nhiên
热闹,rè nao,bustling with noise and excitement,nhộn nhịp với sự ồn ào và phấn khích
人民币,rén mín bì,Renminbi (RMB),Nhân dân tệ (RMB)
任何,rèn hé,any,bất kì
任务,rèn wu,mission,Sứ mệnh
扔,rēng,to throw,ném
仍然,réng rán,still,vẫn
日记,rì jì,diary,nhật ký
入口,rù kǒu,entrance,cổng vào
软,ruǎn,soft,mềm mại
散步,sàn bù,to take a walk,đi dạo
森林,sēn lín,forest,rừng
沙发,shā fā,sofa,ghế sofa
商量,shāng liang,to consult,để tư vấn
伤心,shāng xīn,to grieve,đau buồn
稍微,shāo wēi,a little bit,một chút
社会,shè huì,society,xã hội
深,shēn,close,đóng
申请,shēn qǐng,to apply for sth,để nộp đơn xin việc gì đó
甚至,shèn zhì,even,thậm chí
生活,shēng huó,life,mạng sống
生命,shēng mìng,life,mạng sống
省,shěng,to save,để tiết kiệm
剩,shèng,to remain,ở lại
失败,shī bài,to be defeated,bị đánh bại
失望,shī wàng,disappointed,thất vọng
师傅,shī fu,master,bậc thầy
湿润,shī rùn,moist,ẩm ướt
狮子,shī zi,lion,con sư tử
十分,shí fēn,to divide into ten equal parts,chia thành mười phần bằng nhau
实际,shí jì,actual,thật sự
实在,shí zài,really,Thực ra
食品,shí pǐn,foodstuff,thực phẩm
使用,shǐ yòng,to use,sử dụng
试,shì,to test,để kiểm tra
市场,shì chǎng,marketplace,thị trường
世纪,shì jì,century,thế kỷ
适合,shì hé,to fit,để phù hợp
适应,shì yìng,to adapt,để thích nghi
收,shōu,to receive,để nhận
收入,shōu rù,to take in,để tham gia
收拾,shōu shi,to put in order,sắp xếp theo thứ tự
首都,shǒu dū,capital (city),thủ đô (thành phố)
首先,shǒu xiān,first (of all),đầu tiên)
受不了,shòu bù liǎo,unbearable,không thể chịu nổi
受到,shòu dào,to receive,để nhận
售货员,shòu huò yuán,salesperson,nhân viên bán hàng
输,shū,to lose,thua
熟悉,shú xī,to be familiar with,làm quen với
数量,shù liàng,amount,số lượng
数字,shù zì,numeral,chữ số
帅,shuài,handsome,đẹp trai
顺便,shùn biàn,conveniently,thuận tiện
顺利,shùn lì,smoothly,suôn sẻ
顺序,shùn xù,sequence,sự liên tiếp
说明,shuō míng,to explain,để giải thích
硕士,shuò shì,master's degree,bằng thạc sĩ
死,sǐ,to die,chết
速度,sù dù,speed,tốc độ
塑料袋,sù liào dài,plastic bag,túi nhựa
酸,suān,sour,chua
算,suàn,to regard as,coi như
随便,suí biàn,as one wishes,như một người mong muốn
随着,suí zhe,along with,cùng với
孙子,sūn zi,grandson,cháu trai
所有,suǒ yǒu,all,tất cả
抬,tái,to lift,nâng
台,tái,typhoon,cơn bão
态度,tài du,manner,thái độ
谈,tán,to speak,nói chuyện
弹,tán,to pluck (a string),gảy (một sợi dây)
汤,tāng,soup,canh
躺,tǎng,to recline,ngả lưng
趟,tàng,classifier for times,bộ phân loại thời gian
讨论,tǎo lùn,to discuss,để thảo luận
讨厌,tǎo yàn,to dislike,không thích
特点,tè diǎn,characteristic (feature),đặc tính (đặc điểm)
提供,tí gōng,to offer,cung cấp
提前,tí qián,to shift to an earlier date,để chuyển sang một ngày sớm hơn
提醒,tí xǐng,to remind,để nhắc nhở
填空,tián kòng,to fill a job vacancy,để điền vào chỗ trống việc làm
条件,tiáo jiàn,condition,tình trạng
停止,tíng zhǐ,to stop,dừng lại
挺,tǐng,to stick out,để dính ra
通过,tōng guò,by means of,bằng cách
通知,tōng zhī,to notify,để thông báo
同情,tóng qíng,to sympathize with,thông cảm với
推,tuī,to push,đẩy
推迟,tuī chí,to postpone,hoãn lại
脱,tuō,to shed,đổ ra
袜子,wà zi,socks,vớ
完全,wán quán,complete,hoàn thành
往,wǎng,to go (in a direction),đi (theo một hướng)
往往,wǎng wǎng,often,thường
网球,wǎng qiú,tennis,quần vợt
网站,wǎng zhàn,website,trang web
危险,wēi xiǎn,danger,sự nguy hiểm
味道,wèi dao,flavor,hương vị
温度,wēn dù,temperature,nhiệt độ
文章,wén zhāng,article,bài báo
握手,wò shǒu,to shake hands,bắt tay
污染,wū rǎn,pollution,sự ô nhiễm
无,wú,-less,-ít hơn
无聊,wú liáo,bored,chán
无论,wú lùn,no matter what or how,bất kể điều gì và như thế nào
误会,wù huì,to misunderstand,hiểu lầm
西红柿,xī hóng shì,tomato,cà chua
吸引,xī yǐn,to attract (interest,thu hút (sự quan tâm)
洗衣机,xǐ yī jī,washer,máy giặt
咸,xián,salted,muối
现代,xiàn dài,modern times,thời hiện đại
羡慕,xiàn mù,to envy,ghen tị
限制,xiàn zhì,to restrict,hạn chế
香,xiāng,fragrant,thơm
相反,xiāng fǎn,opposite,đối diện
详细,xiáng xì,detailed,chi tiết
响,xiǎng,echo,tiếng vọng
消息,xiāo xi,news,tin tức
小说,xiǎo shuō,novel,cuốn tiểu thuyết
笑话,xiào huà,joke,câu nói đùa
效果,xiào guǒ,result,kết quả
心情,xīn qíng,mood,tâm trạng
辛苦,xīn kǔ,hard,cứng
信任,xìn rèn,to trust,tin tưởng
信心,xìn xīn,confidence,sự tự tin
信用卡,xìn yòng kǎ,credit card,thẻ tín dụng
兴奋,xīng fèn,excited,hào hứng
行,xíng,to walk,đi bộ
醒,xǐng,to wake up,thức dậy
性别,xìng bié,gender,giới tính
性格,xìng gé,nature,thiên nhiên
幸福,xìng fú,happiness,niềm hạnh phúc
修,xiū,to decorate,để trang trí
许多,xǔ duō,many,nhiều
血,xuè,blood,máu
压力,yā lì,pressure,áp lực
牙膏,yá gāo,toothpaste,kem đánh răng
亚洲,Yà zhōu,Asia,Châu Á
呀,ya,(particle equivalent to 啊 after a vowel,(phân từ tương đương với 啊 sau nguyên âm
盐,yán,salt,muối
严格,yán gé,strict,nghiêm ngặt
严重,yán zhòng,grave,phần mộ
研究生,yán jiū shēng,graduate student,sinh viên tốt nghiệp
演出,yǎn chū,to act (in a play),diễn (trong một vở kịch)
演员,yǎn yuán,actor or actress,diễn viên hoặc nữ diễn viên
阳光,yáng guāng,sunshine,ánh nắng mặt trời
养成,yǎng chéng,to cultivate,trồng trọt
样子,yàng zi,appearance,vẻ bề ngoài
邀请,yāo qǐng,to invite,mời
钥匙,yào shi,key,chìa khóa
也许,yě xǔ,perhaps,có lẽ
页,yè,page,trang
叶子,yè zi,foliage,tán lá
一切,yī qiè,everything,mọi thứ
以,yǐ,to use,sử dụng
亿,yì,100 million,100 triệu
意见,yì jiàn,idea,ý tưởng
艺术,yì shù,art,nghệ thuật
因此,yīn cǐ,thus,do đó
引起,yǐn qǐ,to give rise to,làm phát sinh
饮料,yǐn liào,drink,uống
印象,yìn xiàng,impression,ấn tượng
赢,yíng,to beat,đánh bại
硬,yìng,hard,cứng
勇敢,yǒng gǎn,brave,can đảm
永远,yǒng yuǎn,forever,mãi mãi
优点,yōu diǎn,merit,công lao
优秀,yōu xiù,outstanding,nổi bật
幽默,yōu mò,(loanword) humor,(từ mượn) sự hài hước
由,yóu,to follow,đi theo
由于,yóu yú,due to,bởi vì
尤其,yóu qí,especially,đặc biệt
有趣,yǒu qù,interesting,hấp dẫn
友好,yǒu hǎo,friendly,thân thiện
友谊,yǒu yì,companionship,tình bạn
愉快,yú kuài,cheerful,vui vẻ
于是,yú shì,thereupon,sau đó
与,yǔ,and,Và
语法,yǔ fǎ,grammar,ngữ pháp
语言,yǔ yán,language,ngôn ngữ
羽毛球,yǔ máo qiú,shuttlecock,quả cầu
预习,yù xí,to prepare a lesson,để chuẩn bị một bài học
圆,yuán,circle,vòng tròn
原来,yuán lái,original,nguyên bản
原谅,yuán liàng,to excuse,xin lỗi
原因,yuán yīn,cause,gây ra
约会,yuē huì,appointment,cuộc hẹn
阅读,yuè dú,to read,đọc
允许,yǔn xǔ,to permit,cho phép
杂志,zá zhì,magazine,tạp chí
咱们,zán men,we or us (including both the speaker and the person(s) spoken to),chúng tôi hoặc chúng tôi (bao gồm cả người nói và (những) người được nói chuyện cùng)
暂时,zàn shí,temporary,tạm thời
脏,zāng,dirty,bẩn thỉu
责任,zé rèn,responsibility,trách nhiệm
增加,zēng jiā,to raise,nâng cao
增长,zēng zhǎng,to grow,phát triển
窄,zhǎi,narrow,chật hẹp
招聘,zhāo pìn,recruitment,tuyển dụng
真正,zhēn zhèng,genuine,thành thật
整理,zhěng lǐ,to arrange,sắp xếp
整齐,zhěng qí,orderly,có trật tự
正常,zhèng cháng,regular,thường xuyên
正好,zhèng hǎo,just (in time),chỉ (trong thời gian)
正确,zhèng què,correct,Chính xác
正式,zhèng shì,formal,chính thức
证明,zhèng míng,proof,bằng chứng
之,zhī,(possessive particle,(hạt sở hữu
支持,zhī chí,to be in favor of,ủng hộ
知识,zhī shi,intellectual,trí tuệ
直接,zhí jiē,direct,trực tiếp
值得,zhí de,to be worth,có giá trị
职业,zhí yè,occupation,nghề nghiệp
植物,zhí wù,botanical,thuộc thực vật
指,zhǐ,finger,ngón tay
只好,zhǐ hǎo,without any better option,không có lựa chọn nào tốt hơn
只要,zhǐ yào,if only,giá như
制造,zhì zào,to manufacture,để sản xuất
至少,zhì shǎo,at least,ít nhất
质量,zhì liàng,quality,chất lượng
中文,Zhōng wén,Chinese,Tiếng Trung
重点,zhòng diǎn,important point,điểm quan trọng
重视,zhòng shì,to attach importance to sth,coi trọng điều gì đó
周围,zhōu wéi,surroundings,môi trường xung quanh
猪,zhū,hog,heo
逐渐,zhú jiàn,gradually,dần dần
主动,zhǔ dòng,to take the initiative,chủ động
主意,zhǔ yi,plan,kế hoạch
祝贺,zhù hè,to congratulate,chúc mừng
著名,zhù míng,famous,nổi tiếng
专门,zhuān mén,specialist,chuyên gia
专业,zhuān yè,specialty,đặc sản
赚,zhuàn,to earn,để kiếm được
撞,zhuàng,to hit,đánh
准确,zhǔn què,accurate,chính xác
准时,zhǔn shí,on time,đúng giờ
仔细,zǐ xì,careful,cẩn thận
自然,zì rán,nature,thiên nhiên
总结,zǒng jié,to sum up,tóm lại
租,zū,to hire,thuê
组成,zǔ chéng,to form,hình thành
组织,zǔ zhī,to organize,tổ chức
嘴,zuǐ,mouth,miệng
最好,zuì hǎo,best,tốt nhất
最后,zuì hòu,final,cuối cùng
尊重,zūn zhòng,to esteem,quý trọng
做生意,zuò shēng yì,to do business,để kinh doanh
座,zuò,seat,ghế
座位,zuò wèi,seat,ghế
作者,zuò zhě,author,tác giả
