哎哟,āi yō,hey,meaning_vi
半途而废,bàn tú ér fèi,to give up halfway (idiom); leave sth unfinished,bỏ cuộc giữa chừng (thành ngữ); bỏ dở việc gì đó
伴侣,bàn lǚ,companion,bạn đồng hành
伴随,bàn suí,to accompany,đi cùng
扮演,bàn yǎn,to play the role of,đóng vai trò của
绑架,bǎng jià,to kidnap,bắt cóc
榜样,bǎng yàng,example,ví dụ
磅,bàng,see 磅秤 scale,xem thang đo 磅秤
包庇,bāo bì,to shield,để che chắn
包袱,bāo fu,cloth-wrapper,giấy gói vải
包围,bāo wéi,to surround,bao quanh
包装,bāo zhuāng,to pack,đóng gói
饱和,bǎo hé,saturation,bão hòa
饱经沧桑,bǎo jīng cāng sāng,having lived through many changes,đã trải qua nhiều thay đổi
保管,bǎo guǎn,to assure,để đảm bảo
保密,bǎo mì,to keep sth confidential,giữ bí mật cái gì đó
保姆,bǎo mǔ,nanny,bảo mẫu
保守,bǎo shǒu,(politically) conservative,(về chính trị) bảo thủ
保卫,bǎo wèi,to defend,để bảo vệ
保养,bǎo yǎng,to take good care of (or conserve) one's health,chăm sóc tốt (hoặc bảo tồn) sức khỏe của một người
保障,bǎo zhàng,to ensure,để đảm bảo
保重,bǎo zhòng,to take care of oneself,để chăm sóc bản thân
抱负,bào fù,aspiration,khát vọng
抱怨,bào yuàn,to complain,phàn nàn
报仇,bào chóu,to take revenge,để trả thù
报酬,bào chóu,reward,phần thưởng
报答,bào dá,to repay,để trả nợ
报到,bào dào,to report for duty,báo cáo nhiệm vụ
报复,bào fù,to make reprisals,để trả thù
报社,bào shè,general office of a newspaper,văn phòng chung của một tờ báo
报销,bào xiāo,to submit an expense account,để nộp một tài khoản chi phí
爆发,bào fā,to break out,để thoát ra
爆炸,bào zhà,explosion,vụ nổ
曝光,bào guāng,light meter,máy đo ánh sáng
暴力,bào lì,violence,bạo lực
暴露,bào lù,to expose,để lộ
悲哀,bēi āi,grieved,đau buồn
悲惨,bēi cǎn,miserable,khổ sở
卑鄙,bēi bǐ,base,căn cứ
北极,běi jí,the North Pole,Bắc Cực
被动,bèi dòng,passive,thụ động
被告,bèi gào,defendant,bị cáo
背叛,bèi pàn,to betray,phản bội
背诵,bèi sòng,recite,đọc thuộc lòng
备份,bèi fèn,backup,hỗ trợ
备忘录,bèi wàng lù,memorandum,bản ghi nhớ
贝壳,bèi ké,shell,vỏ bọc
奔波,bēn bō,to rush about,vội vã về
奔驰,bēn chí,to run quickly,chạy nhanh
本能,běn néng,instinct,bản năng
本钱,běn qián,capital,thủ đô
本人,běn rén,the person himself,bản thân người đó
本身,běn shēn,itself,chính nó
本事,běn shi,ability,khả năng
本着,běn zhe,based on...,dựa trên...
笨拙,bèn zhuō,clumsy,hậu đậu
崩溃,bēng kuì,to collapse,sụp đổ
甭,béng,need not,không cần
蹦,bèng,to jump,nhảy
迸发,bèng fā,to burst forth,bùng nổ
逼迫,bī pò,to force,buộc
鼻涕,bí tì,nasal mucus,chất nhầy mũi
比方,bǐ fang,analogy,sự so sánh
比喻,bǐ yù,to compare,để so sánh
比重,bǐ zhòng,proportion,tỷ lệ
臂,bì,arm,cánh tay
弊病,bì bìng,malady,bệnh tật
弊端,bì duān,malpractice,hành vi sai trái
必定,bì dìng,be bound to,bị ràng buộc với
闭塞,bì sè,to stop up,dừng lại
碧玉,bì yù,jasper,jatpe
鞭策,biān cè,to spur on,để thúc đẩy
编织,biān zhī,to weave,dệt
边疆,biān jiāng,border area,khu vực biên giới
边界,biān jiè,boundary,ranh giới
边境,biān jìng,frontier,biên giới
边缘,biān yuán,edge,bờ rìa
扁,biǎn,flat,phẳng
贬低,biǎn dī,to belittle,coi thường
贬义,biǎn yì,derogatory sense,ý nghĩa xúc phạm
遍布,biàn bù,to cover the whole (area),bao phủ toàn bộ (khu vực)
便利,biàn lì,convenient,thuận lợi
便条,biàn tiáo,(informal) note,(không chính thức) ghi chú
便于,biàn yú,easy to,dễ dàng để
变故,biàn gù,an unforeseen event,một sự kiện không lường trước được
变迁,biàn qiān,changes,thay đổi
变质,biàn zhì,to degenerate,thoái hóa
辩护,biàn hù,to speak in defense of,lên tiếng bảo vệ
辩解,biàn jiě,to explain,để giải thích
辩证,biàn zhèng,to investigate,để điều tra
辨认,biàn rèn,to recognize,để nhận ra
辫子,biàn zi,plait,bím tóc
标本,biāo běn,specimen,mẫu vật
标记,biāo jì,sign,dấu hiệu
标题,biāo tí,title,tiêu đề
飙升,biāo shēng,to rise rapidly,tăng nhanh
表决,biǎo jué,to decide by vote,quyết định bằng cách bỏ phiếu
表态,biǎo tài,to declare one's position,để tuyên bố vị trí của một người
表彰,biǎo zhāng,to honor,để tôn vinh
憋,biē,to choke,nghẹt thở
别墅,bié shù,villa,biệt thự
别致,bié zhì,variant of 別緻|别致[bié zhì],biến thể của 別緻|别致[bié zhì]
别扭,biè niu,awkward,vụng về
濒临,bīn lín,on the verge of,trên bờ vực của
冰雹,bīng báo,hail,kêu
并存,bìng cún,to exist at the same time,tồn tại đồng thời
并非,bìng fēi,really isn't,thực sự không phải
并列,bìng liè,to stand side by side,đứng cạnh nhau
拨打,bō dǎ,to call,gọi
播放,bō fàng,to broadcast,phát sóng
播种,bō zhǒng,to sow seeds,gieo hạt
波浪,bō làng,wave,sóng
波涛汹涌,bō tāo xiōng yǒng,waves surging forth,sóng dâng trào
剥削,bō xuē,to exploit,khai thác
博大精深,bó dà jīng shēn,wide-ranging and profound,rộng rãi và sâu sắc
博览会,bó lǎn huì,exposition,sự trình bày
搏斗,bó dòu,to wrestle,vật lộn
伯母,bó mǔ,wife of father's elder brother,vợ của anh trai bố
薄弱,bó ruò,weak,yếu đuối
不顾,bù gù,in spite of,mặc dù
不愧,bù kuì,to be worthy of,xứng đáng với
不料,bù liào,unexpectedly,bất ngờ
不像话,bù xiàng huà,unreasonable,vô lý
不屑一顾,bù xiè yī gù,to disdain as beneath contempt,khinh thường như dưới sự khinh miệt
补偿,bǔ cháng,to compensate,để bù đắp
补救,bǔ jiù,to remedy,để khắc phục
补贴,bǔ tiē,to subsidize,trợ cấp
哺乳,bǔ rǔ,breast feeding,cho con bú
捕捉,bǔ zhuō,to catch,để bắt
不得已,bù dé yǐ,to act against one's will,hành động trái với ý muốn của một người
不妨,bù fáng,there is no harm in,không có hại gì trong
不敢当,bù gǎn dāng,lit. I dare not (accept the honor); fig. I don't deserve your praise,thắp sáng. Tôi không dám (nhận vinh dự); quả sung. Tôi không xứng đáng với lời khen ngợi của bạn
不禁,bù jīn,can't help (doing sth),không thể giúp được (làm việc gì đó)
不堪,bù kān,cannot bear,không thể chịu đựng được
不可思议,bù kě sī yì,inconceivable (idiom); unimaginable,không thể tưởng tượng được (thành ngữ); không thể tưởng tượng được
不时,bù shí,from time to time,theo thời gian
不惜,bù xī,not stint,không có thời gian
不相上下,bù xiāng shàng xià,equally matched,phù hợp như nhau
不言而喻,bù yán ér yù,it goes without saying,không cần phải nói
不由得,bù yóu de,can't help,không thể giúp được
不择手段,bù zé shǒu duàn,by fair means or foul,bằng cách công bằng hoặc phạm lỗi
不止,bù zhǐ,incessantly,không ngừng
布告,bù gào,posting on a bulletin board,đăng trên bảng thông báo
布局,bù jú,arrangement,sắp xếp
布置,bù zhì,to put in order,sắp xếp theo thứ tự
步伐,bù fá,pace,nhịp độ
部署,bù shǔ,to dispose,vứt bỏ
部位,bù wèi,position,chức vụ
才干,cái gàn,ability,khả năng
财富,cái fù,wealth,sự giàu có
财务,cái wù,financial affairs,vấn đề tài chính
财政,cái zhèng,finances (public),tài chính (công cộng)
裁缝,cái féng,tailor,thợ may
裁判,cái pàn,judgment,sự phán xét
裁员,cái yuán,to cut staff,cắt giảm nhân sự
采购,cǎi gòu,to procure (for an enterprise etc),để mua sắm (cho một doanh nghiệp vv)
采集,cǎi jí,to gather,tập hợp
采纳,cǎi nà,to accept,chấp nhận
彩票,cǎi piào,lottery ticket,vé số
参谋,cān móu,staff officer,nhân viên
参照,cān zhào,to consult a reference,để tham khảo một tài liệu tham khảo
残酷,cán kù,cruel,tàn nhẫn
残留,cán liú,to remain,ở lại
残忍,cán rěn,cruel,tàn nhẫn
灿烂,càn làn,to glitter,lấp lánh
舱,cāng,cabin,cabin
苍白,cāng bái,pale,tái nhợt
仓促,cāng cù,all of a sudden,đột nhiên
仓库,cāng kù,depot,kho hàng
操劳,cāo láo,to work hard,làm việc chăm chỉ
操练,cāo liàn,drill,máy khoan
操纵,cāo zòng,to operate,vận hành
操作,cāo zuò,to work,đi làm
嘈杂,cáo zá,noisy,ồn ào
草案,cǎo àn,draft (legislation,dự thảo (luật
草率,cǎo shuài,careless,bất cẩn
策划,cè huà,to plot,âm mưu
策略,cè lvè,tactics,chiến thuật
测量,cè liáng,survey,sự khảo sát
侧面,cè miàn,lateral side,mặt bên
层出不穷,céng chū bù qióng,more and more emerge,ngày càng xuất hiện nhiều hơn
层次,céng cì,arrangement of ideas,sắp xếp ý tưởng
差距,chā jù,disparity,sự chênh lệch
查获,chá huò,to investigate and capture (a criminal),điều tra và bắt giữ (một tên tội phạm)
岔,chà,fork in road,ngã ba đường
刹那,chà nà,an instant (Sanskrit: ksana),ngay lập tức (tiếng Phạn: ksana)
诧异,chà yì,flabbergasted,sửng sốt
柴油,chái yóu,diesel fuel,nhiên liệu diesel
搀,chān,to assist by the arm,để hỗ trợ bằng cánh tay
馋,chán,gluttonous,háu ăn
缠绕,chán rào,twisting,vặn vẹo
产业,chǎn yè,industry,ngành công nghiệp
阐述,chǎn shù,to expound (a position),để giải thích (một vị trí)
颤抖,chàn dǒu,to shudder,rùng mình
猖狂,chāng kuáng,savage,độc ác
昌盛,chāng shèng,prosperous,thịnh vượng
尝试,cháng shì,to try,để thử
偿还,cháng huán,to repay,để trả nợ
常年,cháng nián,all year round,quanh năm
常务,cháng wù,routine,lịch trình
场合,chǎng hé,situation,tình huống
场面,chǎng miàn,scene,bối cảnh
场所,chǎng suǒ,location,vị trí
敞开,chǎng kāi,to open wide,mở rộng
倡导,chàng dǎo,to advocate,biện hộ
倡议,chàng yì,to suggest,đề nghị
畅通,chàng tōng,unimpeded,không bị cản trở
畅销,chàng xiāo,to sell well,bán tốt
超级,chāo jí,super-,siêu-
超越,chāo yuè,to surpass,vượt qua
钞票,chāo piào,paper money,tiền giấy
潮流,cháo liú,tide,thủy triều
潮湿,cháo shī,damp,ẩm ướt
嘲笑,cháo xiào,to jeer at,chế nhạo
撤退,chè tuì,to retreat,rút lui
撤销,chè xiāo,to repeal,bãi bỏ
沉淀,chén diàn,to settle,giải quyết
沉闷,chén mèn,oppressive (of weather),ngột ngạt (thời tiết)
沉思,chén sī,to contemplate,suy ngẫm
沉重,chén zhòng,heavy,nặng
沉着,chén zhuó,steady,vững chắc
陈旧,chén jiù,old-fashioned,theo xưa
陈列,chén liè,to display,để hiển thị
陈述,chén shù,an assertion,một sự khẳng định
称心如意,chèn xīn rú yì,after one's heart (idiom); gratifying and satisfactory,sau trái tim của một người (thành ngữ); hài lòng và thỏa đáng
称号,chēng hào,name,tên
盛,chéng,to hold,giữ
橙,chéng,orange tree,cây cam
乘务员,chéng wù yuán,attendant on an airplane,tiếp viên trên máy bay
承办,chéng bàn,to undertake,đảm nhận
承包,chéng bāo,to contract,ký hợp đồng
承诺,chéng nuò,to promise,hứa
城堡,chéng bǎo,castle,lâu đài
成本,chéng běn,(manufacturing,(chế tạo
成交,chéng jiāo,to complete a contract,để hoàn thành một hợp đồng
成天,chéng tiān,(coll.) all day long,(colll.) suốt cả ngày
成效,chéng xiào,effect,tác dụng
成心,chéng xīn,intentional,cố ý
成员,chéng yuán,member,thành viên
惩罚,chéng fá,penalty,hình phạt
诚挚,chéng zhì,sincere,chân thành
澄清,chéng qīng,clear (of liquid),trong suốt (của chất lỏng)
呈现,chéng xiàn,to appear,xuất hiện
秤,chèng,steelyard,bãi thép
吃苦,chī kǔ,to bear,chịu đựng
吃力,chī lì,to entail strenuous effort,đòi hỏi nỗ lực vất vả
迟缓,chí huǎn,slow,chậm
迟疑,chí yí,to hesitate,do dự
持久,chí jiǔ,lasting,lâu dài
池塘,chí táng,pool,hồ bơi
赤道,chì dào,equator (of the earth or astronomical body),đường xích đạo (của trái đất hoặc thiên thể)
赤字,chì zì,(financial) deficit,(tài chính) thâm hụt
冲动,chōng dòng,to have an urge,có một sự thôi thúc
冲击,chōng jī,an attack,một cuộc tấn công
冲突,chōng tū,conflict,xung đột
充当,chōng dāng,to serve as,để phục vụ như
充沛,chōng pèi,abundant,dồi dào
充实,chōng shí,rich,giàu có
充足,chōng zú,adequate,đủ
崇拜,chóng bài,to worship,thờ cúng
崇高,chóng gāo,majestic,hùng vĩ
崇敬,chóng jìng,to revere,tôn kính
重叠,chóng dié,to overlap,chồng lên nhau
重阳节,Chóng yáng jié,Double Ninth or Yang Festival,Lễ hội đôi chín hoặc lễ hội Yang
抽空,chōu kòng,to find the time to do sth,để tìm thời gian để làm việc gì đó
筹备,chóu bèi,preparations,sự chuẩn bị
踌躇,chóu chú,to hesitate,do dự
稠密,chóu mì,dense,dày đặc
丑恶,chǒu è,ugly,xấu xí
出路,chū lù,a way out (of a difficulty etc),"một lối thoát (của một khó khăn, v.v.)"
出卖,chū mài,to offer for sale,chào bán
出身,chū shēn,to be born of,được sinh ra từ
出神,chū shén,entranced,bị mê hoặc
出息,chū xi,future prospects,triển vọng tương lai
出洋相,chū yáng xiàng,to make a fool of oneself,biến mình thành kẻ ngốc
初步,chū bù,initial,ban đầu
储备,chǔ bèi,reserves,dự trữ
储存,chǔ cún,stockpile,dự trữ
储蓄,chǔ xù,to deposit money,gửi tiền
处分,chǔ fèn,to discipline sb,kỷ luật ai đó
处境,chǔ jìng,plight,hoàn cảnh khó khăn
处置,chǔ zhì,to handle,để xử lý
触犯,chù fàn,to offend,xúc phạm
穿越,chuān yuè,to pass through,đi qua
川流不息,chuān liú bù xī,the stream flows without stopping (idiom); unending flow,dòng chảy không ngừng (thành ngữ); dòng chảy bất tận
船舶,chuán bó,shipping,vận chuyển
传达,chuán dá,to pass on,để vượt qua
传单,chuán dān,leaflet,tờ rơi
传授,chuán shòu,to impart,để truyền đạt
喘气,chuǎn qì,to breathe deeply,thở sâu
串,chuàn,to string together,xâu chuỗi lại với nhau
床单,chuáng dān,bed sheet,ga trải giường
创立,chuàng lì,to establish,để thành lập
创新,chuàng xīn,innovation,sự đổi mới
创业,chuàng yè,to begin an undertaking,để bắt đầu một cam kết
创作,chuàng zuò,to create,để tạo ra
吹牛,chuī niú,to talk big,nói lớn
吹捧,chuī pěng,to flatter,tâng bốc
锤,chuí,hammer,cái búa
垂直,chuí zhí,perpendicular,vuông góc
纯粹,chún cuì,purely,hoàn toàn
纯洁,chún jié,pure,nguyên chất
词汇,cí huì,vocabulary,từ vựng
慈祥,cí xiáng,kindly,tử tế
雌雄,cí xióng,male and female,nam và nữ
刺,cì,thorn,gai
次品,cì pǐn,substandard products,sản phẩm không đạt tiêu chuẩn
次序,cì xù,sequence,sự liên tiếp
伺候,cì hòu,to serve,để phục vụ
丛,cóng,cluster,cụm
从容不迫,cóng róng bù pò,calm,điềm tĩnh
凑合,còu he,to bring together,tập hợp lại với nhau
粗鲁,cū lǔ,crude,thô
窜,cuàn,to flee,chạy trốn
摧残,cuī cán,to ravage,tàn phá
脆弱,cuì ruò,weak,yếu đuối
搓,cuō,to rub or roll between the hands or fingers,chà xát hoặc lăn giữa bàn tay hoặc ngón tay
磋商,cuō shāng,to consult,để tư vấn
挫折,cuò zhé,setback,sự thụt lùi
搭,dā,to put up,đưa lên
搭档,dā dàng,to cooperate,hợp tác
搭配,dā pèi,to pair up,để ghép đôi
答辩,dá biàn,to reply (to an accusation),trả lời (một lời buộc tội)
答复,dá fù,to answer,để trả lời
达成,dá chéng,to reach (an agreement),đạt được (một thỏa thuận)
打包,dǎ bāo,to wrap,để bọc
打官司,dǎ guān si,to file a lawsuit,nộp đơn kiện
打击,dǎ jī,to hit,đánh
打架,dǎ jià,to fight,chiến đấu
打量,dǎ liang,to size sb up,tăng kích thước lên
打猎,dǎ liè,to go hunting,đi săn
打仗,dǎ zhàng,to fight a battle,để chiến đấu một trận chiến
大不了,dà bù liǎo,at worst,lúc tệ nhất
大臣,dà chén,chancellor (of a monarchy),thủ tướng (của một chế độ quân chủ)
大伙儿,dà huǒ r,erhua variant of 大伙[dà huǒ],biến thể đàn nhị của 大伙[dà huǒ]
大厦,dà shà,large building,tòa nhà lớn
大肆,dà sì,wantonly,bừa bãi
大体,dà tǐ,in general,nói chung
大意,dà yi,careless,bất cẩn
大致,dà zhì,more or less,nhiều hay ít
歹徒,dǎi tú,evil-doer,kẻ làm ác
带领,dài lǐng,to guide,hướng dẫn
代价,dài jià,price,giá
代理,dài lǐ,to act on behalf of sb in a responsible position,đại diện cho ai đó ở vị trí có trách nhiệm
逮捕,dài bǔ,to arrest,bắt giữ
怠慢,dài màn,to slight,hơi nhẹ
担保,dān bǎo,to guarantee,để đảm bảo
胆怯,dǎn qiè,timid,rụt rè
淡季,dàn jì,off season,trái mùa
淡水,dàn shuǐ,potable water (water with low salt content),nước uống được (nước có hàm lượng muối thấp)
蛋白质,dàn bái zhì,protein,chất đạm
诞辰,dàn chén,birthday,sinh nhật
诞生,dàn shēng,to be born,được sinh ra
当场,dāng chǎng,at the scene,tại hiện trường
当初,dāng chū,at that time,lúc đó
当面,dāng miàn,to sb's face,vào mặt ai đó
当前,dāng qián,current,hiện hành
当事人,dāng shì rén,persons involved or implicated,những người có liên quan hoặc liên quan
当务之急,dāng wù zhī jí,top priority job,công việc ưu tiên hàng đầu
当心,dāng xīn,to take care,chăm sóc
当选,dāng xuǎn,to be elected,được bầu
党,dǎng,party,buổi tiệc
档案,dàng àn,file,tài liệu
档次,dàng cì,grade,cấp
岛屿,dǎo yǔ,island,hòn đảo
倒闭,dǎo bì,to go bankrupt,phá sản
导弹,dǎo dàn,guided missile,tên lửa dẫn đường
导航,dǎo háng,navigation,điều hướng
导向,dǎo xiàng,to be oriented towards,được định hướng tới
捣乱,dǎo luàn,to disturb,làm phiền
稻谷,dào gǔ,rice crops,cây lúa
盗窃,dào qiè,to steal,ăn trộm
得不偿失,dé bù cháng shī,(saying) the gains do not make up for the losses,(nói) cái được không bù đắp được cái mất
得力,dé lì,able,có thể
得天独厚,dé tiān dú hòu,(of an area) rich in resources,(của một khu vực) giàu tài nguyên
得罪,dé zuì,to commit an offense,phạm tội
蹬,dēng,to step on,bước lên
灯笼,dēng lóng,lantern,đèn lồng
登陆,dēng lù,to land,hạ cánh
登录,dēng lù,to register,đăng ký
等级,děng jí,grade,cấp
瞪,dèng,to open (one's eyes) wide,mở rộng (mắt của một người)
堤坝,dī bà,dam,con đập
敌视,dí shì,hostile,thù địch
抵达,dǐ dá,to arrive,đến
抵抗,dǐ kàng,to resist,chống lại
抵制,dǐ zhì,to resist,chống lại
递增,dì zēng,to increase by degrees,tăng theo độ
地步,dì bù,condition,tình trạng
地势,dì shì,terrain,địa hình
地质,dì zhì,geology,địa chất
颠簸,diān bǒ,to shake,lắc
颠倒,diān dǎo,to turn upside-down,lộn ngược
点缀,diǎn zhuì,to decorate,để trang trí
典礼,diǎn lǐ,celebration,lễ ăn mừng
典型,diǎn xíng,model,người mẫu
垫,diàn,pad,đệm
电源,diàn yuán,electric power source,nguồn điện
奠定,diàn dìng,to establish,để thành lập
惦记,diàn jì,to think of,nghĩ về
叼,diāo,to hold in the mouth,để giữ trong miệng
雕刻,diāo kè,to carve,khắc
雕塑,diāo sù,a statue,một bức tượng
吊,diào,a string of 100 cash (arch.),một chuỗi 100 tiền mặt (arch.)
调动,diào dòng,to transfer,chuyển giao
跌,diē,to drop,thả
盯,dīng,to watch attentively,chăm chú theo dõi
叮嘱,dīng zhǔ,to warn repeatedly,cảnh cáo nhiều lần
定期,dìng qī,regularly,thường xuyên
定义,dìng yì,definition,sự định nghĩa
丢人,diū rén,to lose face,mất mặt
丢三落四,diū sān là sì,forgetful,hay quên
东道主,dōng dào zhǔ,host,chủ nhà
东张西望,dōng zhāng xī wàng,to look in all directions (idiom),nhìn về mọi hướng (thành ngữ)
董事长,dǒng shì zhǎng,chairman of the board,chủ tịch hội đồng quản trị
栋,dòng,classifier for houses or buildings,phân loại cho ngôi nhà hoặc tòa nhà
冻结,dòng jié,to freeze (loan,đóng băng (khoản vay
洞穴,dòng xué,cave,hang
动荡,dòng dàng,unrest (social or political),bất ổn (xã hội hoặc chính trị)
动机,dòng jī,motor,động cơ
动静,dòng jìng,sound of activity or people talking,âm thanh của hoạt động hoặc mọi người nói chuyện
动力,dòng lì,power,quyền lực
动脉,dòng mài,artery,động mạch
动身,dòng shēn,to go on a journey,đi trên một cuộc hành trình
动手,dòng shǒu,to set about (a task),bắt đầu (một nhiệm vụ)
动态,dòng tài,development,phát triển
动员,dòng yuán,to mobilize,huy động
兜,dōu,pocket,túi
陡峭,dǒu qiào,precipitous,dốc đứng
斗争,dòu zhēng,a struggle,một cuộc đấu tranh
督促,dū cù,to supervise and urge completion of a task,giám sát và đôn đốc hoàn thành nhiệm vụ
都市,dū shì,city,thành phố
独裁,dú cái,dictatorship,chế độ độc tài
毒品,dú pǐn,drugs,thuốc
赌博,dǔ bó,to gamble,đánh bạc
堵塞,dǔ sè,to block,chặn
杜绝,dù jué,to put an end to,để chấm dứt
端,duān,end,kết thúc
端午节,Duān wǔ jié,the Dragon Boat Festival (5th day of the 5th lunar month),Lễ hội Thuyền rồng (ngày 5 tháng 5 âm lịch)
端正,duān zhèng,upright,ngay thẳng
短促,duǎn cù,short in time,trong thời gian ngắn
断定,duàn dìng,to conclude,để kết luận
断断续续,duàn duàn xù xù,intermittent,không liên tục
断绝,duàn jué,to sever,cắt đứt
堆积,duī jī,to pile up,chất đống lên
对策,duì cè,countermeasure for dealing with a situation,biện pháp đối phó với một tình huống
对称,duì chèn,symmetry,sự đối xứng
对付,duì fu,to handle,để xử lý
对抗,duì kàng,to withstand,chịu đựng được
对立,duì lì,to oppose,phản đối
对联,duì lián,rhyming couplet,câu đối có vần điệu
对应,duì yìng,to correspond,tương ứng
对照,duì zhào,to contrast,để tương phản
兑换,duì huàn,to convert,chuyển đổi
兑现,duì xiàn,(of a cheque etc) to cash,"(của một tấm séc, v.v.) thành tiền mặt"
队伍,duì wǔ,ranks,cấp bậc
顿时,dùn shí,immediately,ngay lập tức
多元化,duō yuán huà,diversification,đa dạng hóa
哆嗦,duō suo,to tremble,run rẩy
堕落,duò luò,to morally degenerate,suy thoái về mặt đạo đức
额外,é wài,extra,thêm
恶心,è xīn,bad habit,thói quen xấu
恶化,è huà,to worsen,làm xấu đi
遏制,è zhì,to check,để kiểm tra
恩怨,ēn yuàn,(feeling of) resentment,(cảm giác) oán giận
而已,ér yǐ,that's all,thế thôi
耳环,ěr huán,earring,bông tai
二氧化碳,èr yǎng huà tàn,carbon dioxide CO2,CO2 CO2
发布,fā bù,to release,phát hành
发财,fā cái,to get rich,để làm giàu
发呆,fā dāi,to stare blankly,nhìn chằm chằm một cách trống rỗng
发动,fā dòng,to start,bắt đầu
发火,fā huǒ,to catch fire,để bắt lửa
发觉,fā jué,to find,để tìm
发射,fā shè,to shoot (a projectile),bắn (một viên đạn)
发誓,fā shì,to vow,thề
发行,fā xíng,to publish,xuất bản
发炎,fā yán,to become inflamed,bị viêm
发扬,fā yáng,to develop,để phát triển
发育,fā yù,to develop,để phát triển
法人,fǎ rén,legal person,pháp nhân
番,fān,foreign,nước ngoài
繁华,fán huá,flourishing,hưng thịnh
繁忙,fán máng,busy,bận
繁体字,fán tǐ zì,traditional Chinese character,nhân vật truyền thống trung quốc
繁殖,fán zhí,to breed,sinh sản
反驳,fǎn bó,to retort,vặn lại
反常,fǎn cháng,unusual,bất thường
反倒,fǎn dào,but on the contrary,nhưng ngược lại
反动,fǎn dòng,reaction,sự phản ứng lại
反感,fǎn gǎn,to be disgusted with,chán ghét
反抗,fǎn kàng,to resist,chống lại
反馈,fǎn kuì,to send back information,để gửi lại thông tin
反面,fǎn miàn,reverse side,mặt trái
反射,fǎn shè,to reflect,để phản ánh
反思,fǎn sī,to think back over sth,nghĩ lại về điều gì đó
反问,fǎn wèn,to ask (a question) in reply,hỏi (một câu hỏi) để trả lời
反之,fǎn zhī,on the other hand...,mặt khác...
范畴,fàn chóu,category,loại
泛滥,fàn làn,to be in flood,bị lũ lụt
贩卖,fàn mài,to sell,bán
方位,fāng wèi,direction,phương hướng
方言,fāng yán,dialect,phương ngữ
方针,fāng zhēn,policy,chính sách
防守,fáng shǒu,to defend,để bảo vệ
防疫,fáng yì,disease prevention,phòng chống bệnh tật
防御,fáng yù,defense,phòng thủ
防止,fáng zhǐ,to prevent,để ngăn chặn
防治,fáng zhì,prevention and cure,phòng ngừa và chữa bệnh
纺织,fǎng zhī,spinning and weaving,kéo sợi và dệt
放大,fàng dà,to enlarge,phóng to
放射,fàng shè,to radiate,tỏa ra
放手,fàng shǒu,to let go one's hold,buông tay ra
非法,fēi fǎ,illegal,bất hợp pháp
飞禽走兽,fēi qín zǒu shòu,birds and animals,chim và động vật
飞翔,fēi xiáng,to fly,bay
飞跃,fēi yuè,to leap,nhảy
肥沃,féi wò,fertile,màu mỡ
诽谤,fěi bàng,to slander,vu khống
匪徒,fěi tú,gangster,xã hội đen
废除,fèi chú,to abolish,bãi bỏ
废墟,fèi xū,ruins,tàn tích
沸腾,fèi téng,boiling,sôi
分辨,fēn biàn,to distinguish,để phân biệt
分寸,fēn cùn,propriety,sự đứng đắn
分红,fēn hóng,a bonus,một phần thưởng
分解,fēn jiě,to resolve,để giải quyết
分裂,fēn liè,to split up,chia tay
