rank,word,part_of_speech,hanja,explanation,nikl_level,topik_level,meaning_vi
1367.0,가리키다01,동사,,손가락으로,초급,B,bằng ngón tay của bạn
9888.0,가만,부사,,가만 놔두다,중급,C,để yên
7158.0,가만있다,동사,,잠자코 가만있다,중급,C,ở yên
1706.0,가만히,부사,,가만히 두다,중급,B,để yên
4755.0,가뭄,명사,,이 들다,중급,C,Nâng cái này lên
1530.0,가방01,명사,,~을 메다,초급,A,mang theo ~
1189.0,가볍다,형용사,,짐이,초급,A,hành lý
4483.0,가사09,명사,歌詞,노래 가사,중급,C,lời bài hát
3784.0,가상05,명사,假想,,,C,
2000.0,가수11,명사,歌手,직업,초급,A,công việc
2053.0,가스,명사,,gas; 가스가 떨어지다,중급,B,khí đốt; hết xăng
,가스레인지,명사,,를 켜다,중급,,bật lên
384.0,가슴01,명사,,신체,초급,A,thân hình
3904.0,가슴속,명사,,,,B,
,가습기,명사,,를 켜다,중급,,bật lên
6526.0,가요02,명사,歌謠,를 부르다,초급,B,gọi
264.0,가운데,명사,,가운데 자리,초급,A,ghế giữa
6172.0,가위01,명사,,기구; 로 자르다,초급,B,máy móc; cắt thành
1268.0,가을01,명사,,계절,초급,A,mùa
5167.0,가이드,명사,,guide,,B,hướng dẫn
4397.0,가입,명사,加入,을 권유하다,중급,C,gợi ý
4484.0,가입자,명사,加入者,를 모집하다,중급,C,tuyển dụng
5168.0,가입하다,동사,加入-,,,C,
127.0,가장01,부사,,가장 빠르다,초급,A,nhanh nhất
3454.0,가장07,명사,家長,집안의 가장,중급,C,chủ gia đình
,가전제품,명사,,을 구입하다,중급,,mua
715.0,가정06,명사,家庭,을 이루다,중급,B,đạt được
4398.0,가정07,명사,假定,을 해 보다,중급,C,Hãy thử nó
6349.0,가정교사,명사,家庭敎師,,,C,
,가정주부,명사,,로 살다,중급,,sống như
3512.0,가져가다,동사,,집에,초급,B,ở nhà
5704.0,가져다주다,동사,,물건을,중급,B,chất liệu
1060.0,가져오다,동사,,학교로,초급,A,đến trường
409.0,가족01,명사,家族,식구,초급,A,gia đình
5072.0,가죽01,명사,,가죽 잠바,중급,B,áo liền quần bằng da
2124.0,가지01,명사,,~를 치다; 를 꺾다,중급,B,đánh ; phá vỡ
129.0,가지04,의존명사,,몇; 한 ~,초급,B,một số; Một ~
94.0,가지다,동사,,돈을,초급,A,tiền bạc
514.0,가지다,보조 용언,,,,A,
4668.0,가짜,명사,假-,로 꾸미다,중급,B,trang trí với
550.0,가치06,명사,價値,가 높다,중급,C,cao
3063.0,가치관,명사,價値觀,이 바뀌다,중급,C,thay đổi
8645.0,가톨릭,명사,,Catholic; 을 믿다,중급,C,Công giáo; tin vào
3099.0,가하다01,동사,加-,,,C,
422.0,각01,관형사,各,각 개인,중급,B,người độc thân
4178.0,각각01,명사,各各,각각 다르다,초급,B,mỗi cái đều khác nhau
751.0,각각01,부사,各各,각각 다르다,초급,B,mỗi cái đều khác nhau
2885.0,각국,명사,各國,아시아 각국,중급,B,Các nước châu Á
3213.0,각기02,부사,各其,,,C,
5706.0,각오01,명사,覺悟,를 다지다,중급,C,củng cố
3785.0,각자02,명사,各自,각자가 맡다,중급,B,mỗi người chịu trách nhiệm
3562.0,각자02,부사,各自,각자가 맡다,중급,B,mỗi người chịu trách nhiệm
815.0,각종,명사,各種,각종 과일,중급,B,nhiều loại trái cây
,-간16,접사,,이틀간,중급,,trong hai ngày
3905.0,간01,명사,,음식의 ~을 보다,중급,C,nhìn vào thức ăn
3620.0,간08,명사,肝,신체,중급,C,thân hình
335.0,간10,의존명사,間,서울과 부산 ~; 서울과 부산 간,중급,B,Seoul và Busan ~; Giữa Seoul và Busan
4179.0,간격02,명사,間隔,을 넓히다,중급,C,mở rộng
1336.0,간단하다02,형용사,簡單-,간단한 설명,초급,B,giải thích ngắn gọn
2987.0,간단히,부사,簡單-,간단히 끝내다,초급,B,kết thúc ngắn gọn
2187.0,간부05,명사,幹部,,,C,
4577.0,간섭,명사,干涉,을 받다,중급,C,nhận được
8290.0,간식02,명사,間食,을 먹다,초급,B,ăn
4034.0,간신히,부사,艱辛-,간신히 살아나다,중급,C,hầu như không tồn tại
3100.0,간장01,명사,-醬,을 넣다,초급,B,đưa vào
,간절하다,형용사,,간절한 기도,중급,,lời cầu nguyện tha thiết
4756.0,간접,명사,間接,,,C,
,간접적,관형사,,간접적 영향,중급,,tác động gián tiếp
6735.0,간접적,명사,間接的,간접적 영향,중급,C,tác động gián tiếp
,간지럽다,형용사,,눈이,중급,,tuyết
3906.0,간판02,명사,看板,을 걸다,중급,C,cá cược
7160.0,간편하다,형용사,簡便-,사용이,중급,C,sử dụng
7977.0,간호,명사,看護,를 받다,중급,C,nhận được
7438.0,간호사,명사,看護師,로 일하다,초급,A,làm việc với
,간혹,명사,,간혹 생기다,중급,,Thỉnh thoảng xảy ra
3786.0,간혹,부사,間或,간혹 생기다,중급,C,Thỉnh thoảng xảy ra
3621.0,갇히다,동사,,감옥에,중급,C,trong tù
6736.0,갈다01,동사,,바꾸다; 붕대를,중급,B,thay đổi; băng bó
2401.0,갈다02,동사,,문지르다,,B,chà xát
1010.0,갈등,명사,葛藤,이 심하다,중급,C,Điều này thật nghiêm trọng
,갈라지다01,동사,,벽이,중급,,bức tường
12246.0,갈비01,명사,,를 먹다,초급,A,ăn
38470.0,갈비탕,명사,-湯,을 먹다,초급,B,ăn
3342.0,갈색,명사,褐色,색깔,초급,B,màu sắc
3723.0,갈수록,부사,,갈수록 더하다,중급,C,ngày càng nhiều
4035.0,갈아입다,동사,,옷을,초급,B,quần áo
9018.0,갈아타다,동사,,기차를,초급,B,xe lửa
4578.0,갈증,명사,渴症,이 나다,중급,C,Đây là tôi
,-감19,접사,,책임감,중급,,trách nhiệm
8293.0,감01,명사,,과일,초급,B,hoa quả
5312.0,감12,명사,感,,,C,
1240.0,감각02,명사,感覺,이 없다,중급,C,không có
3343.0,감기04,명사,感氣,에 걸리다,초급,A,bị cuốn vào
,감기약,명사,,을 먹다,초급,,ăn
2125.0,감다01,동사,,눈을 ~,초급,B,mắt ~
,감다02,동사,,머리를,초급,,cái đầu
4036.0,감다03,동사,,붕대를; 실을 ~,중급,C,băng bó; Chủ đề ~
,감독,명사,,을 강화하다,중급,,tăng cường
671.0,감독02,명사,監督,,,C,
2432.0,감동02,명사,感動,을 받다,중급,B,nhận được
,감동적,관형사,,감동적 이야기,중급,,một câu chuyện cảm động
7161.0,감동적,명사,感動的,감동적 이야기,중급,C,một câu chuyện cảm động
6352.0,감사08,명사,感謝,감사 인사,초급,A,Cảm ơn
4966.0,감사하다05,동사,感謝-,,,A,
3847.0,감사하다05,형용사,感謝-,,,A,
6530.0,감상05,명사,鑑賞,음악 감상,중급,B,nghe nhạc
,감상문,명사,,독서 감상문,중급,,Đọc đánh giá
4321.0,감상하다04,동사,鑑賞-,,,B,
5170.0,감소01,명사,減少,인구 감소,중급,C,suy giảm dân số
9431.0,감소되다,동사,減少-,,,C,
4485.0,감소하다,동사,減少-,,,C,
5445.0,감수성02,명사,感受性,,,C,
,감시02,명사,,를 당하다,중급,,chịu đựng
3174.0,감싸다,동사,,얼굴을,중급,C,khuôn mặt
3385.0,감옥02,명사,監獄,에 가두다,중급,C,bỏ tù trong
3513.0,감자01,명사,,채소,초급,B,rau quả
846.0,감정06,명사,感情,이 풍부하다,중급,B,cái này rất phong phú
9892.0,감정적01,명사,感情的,,,C,
2092.0,감추다,동사,,모습을,중급,C,vẻ bề ngoài
3563.0,감히,부사,敢-,감히 대들다,중급,C,dám đối đầu
7979.0,갑05,명사,匣,,,C,
475.0,갑자기,부사,,갑자기 나타나다,초급,A,cây bấc
4580.0,갑작스럽다,형용사,,갑작스러운 일,중급,C,sự kiện bất ngờ
788.0,값,명사,,을 깎다,초급,A,cạo râu
6946.0,값싸다,형용사,,값싼 물건,중급,C,món trang sức
1812.0,강01,명사,江,을 건너다,초급,A,đi qua
3344.0,강남,명사,江南,,,C,
8651.0,강당,명사,講堂,,,B,
4669.0,강도05,명사,强度,,,C,
4967.0,강도06,명사,强盜,은행 강도,중급,B,cướp ngân hàng
1738.0,강력하다,형용사,强力-,,,C,
4757.0,강력히,부사,强力-,,,C,
3514.0,강렬하다02,형용사,强烈-,,,C,
2988.0,강물,명사,江-,이 흐르다,중급,B,dòng chảy này
9433.0,강변01,명사,江邊,,,C,
9894.0,강북,명사,江北,,,C,
5577.0,강사04,명사,講師,시간 강사,중급,C,giáo sư
5578.0,강수량,명사,降水量,이 많다,중급,C,Có rất nhiều trong số này
14028.0,강아지,명사,,를 키우다,초급,B,nâng lên
,강요01,명사,,부모의 강요,중급,,áp lực của cha mẹ
3564.0,강요하다,동사,强要-,,,C,
,강원도,고유 명사,江原道,,,B,
3101.0,강의02,명사,講義,를 듣다,중급,C,lắng nghe
,강의실,명사,,대형 강의실,중급,,giảng đường lớn
10371.0,강의하다02,동사,講義-,,,C,
2275.0,강제01,명사,强制,로 시키다,중급,B,đặt hàng
7683.0,강조02,명사,强調,강조 사항,중급,C,Nhấn mạnh
631.0,강조하다,동사,强調-,,,B,
584.0,강하다02,형용사,强-,힘이,초급,B,sức mạnh
2151.0,강화하다02,동사,强化-,,,C,
3725.0,갖가지,명사,,갖가지 모양,중급,C,tất cả các loại hình dạng
190.0,갖다01,동사,,가지다; 돈을,초급,B,có; tiền bạc
3515.0,갖다01,보조 용언,,가지다,,B,có
784.0,갖추다,동사,,시설을,중급,C,cơ sở
22.0,같다,형용사,,서로 같다,초급,A,giống nhau
203.0,같이,부사,,같이 살다,초급,A,sống cùng nhau
4038.0,같이하다,동사,,,,C,
3386.0,갚다,동사,,돈을,초급,C,tiền bạc
1569.0,개03,명사,,동물,초급,A,động vật
85.0,개10,의존명사,個,한 개,초급,A,một
5313.0,개개인,명사,個個人,,,C,
4486.0,개구리,명사,,를 잡다,중급,B,nắm lấy
2914.0,개국01,의존명사,個國,,,C,
7440.0,개나리01,명사,,가 피다,중급,B,nở hoa
,개념,명사,,을 이해하다,중급,,hiểu
8296.0,개다01,동사,,날이 ~,중급,C,Ngày đó~
,개다03,동사,,옷을,중급,,quần áo
3565.0,개미03,명사,,곤충,중급,C,côn trùng
,개발,명사,,재능 개발,중급,,phát triển tài năng
2565.0,개발되다,동사,開發-,,,C,
1269.0,개발하다,동사,開發-,,,B,
1296.0,개방04,명사,開放,개방 시간,중급,C,giờ mở cửa
5708.0,개방되다,동사,開放-,,,C,
3787.0,개방하다03,동사,開放-,,,C,
4322.0,개별,명사,個別,개별 행동,중급,C,hành động cá nhân
1562.0,개선01,명사,改善,제도 개선,중급,C,cải tiến hệ thống
4758.0,개선되다01,동사,改善-,,,C,
3137.0,개선하다01,동사,改善-,,,C,
1788.0,개성03,명사,個性,이 강하다,중급,C,Cái này mạnh
799.0,개월,의존명사,個月,삼 개월,초급,A,ba tháng
562.0,개인02,명사,個人,개인의 자유,중급,B,tự do cá nhân
,개인적,관형사,,개인적 감정,중급,,cảm xúc cá nhân
2758.0,개인적,명사,個人的,개인적 감정,중급,B,cảm xúc cá nhân
,개최,명사,,공동 개최,중급,,đồng tổ chức
,개혁,명사,,경제 개혁,중급,,cải cách kinh tế
,-객02,접사,,등산객,중급,,người đi bộ đường dài
,객관적,관형사,,객관적 증거,중급,,bằng chứng khách quan
2490.0,객관적,명사,客觀的,객관적 증거,중급,C,bằng chứng khách quan
1228.0,걔,줄어든 말,,그 아이,중급,B,đứa trẻ đó
3102.0,거01,대명사,,것,,A,điều
20.0,거01,의존명사,,것,초급,A,điều
293.0,거기01,대명사,,거기에 있다,초급,A,nó ở đó
2989.0,거꾸로,부사,,거꾸로 뒤집히다,중급,C,lộn ngược
,거대,명사,,거대 규모,중급,,quy mô khổng lồ
1958.0,거대하다,형용사,巨大-,,,C,
1579.0,거두다,동사,,빨래를,중급,C,Giặt giũ
5447.0,거들다01,동사,,일을,중급,C,công việc
3306.0,거듭,부사,,,,C,
,거래02,명사,,가 이루어지다,중급,,trở thành sự thật
,거래처,명사,,거래처 직원,중급,,nhân viên đối tác kinh doanh
1258.0,거리01,명사,,길~; 로 나가다,초급,A,đường~; đi ra ngoài
9901.0,거리02,의존명사,,반찬~,,B,món ăn phụ~
1148.0,거리08,명사,距離,가 가깝다,초급,C,gần rồi
,거미02,명사,,곤충,중급,,côn trùng
1864.0,거부하다,동사,拒否-,,,C,
,거북이,명사,,동물,중급,,động vật
,거스름돈,명사,,을 받다,중급,,nhận được
2675.0,거실02,명사,居室,집,초급,B,căn nhà
3967.0,거액,명사,巨額,,,C,
2109.0,거울01,명사,,을 보다,초급,A,nhìn thấy
,거의01,명사,,거의 없다,초급,,hầu như không có
306.0,거의01,부사,,거의 없다,초급,B,hầu như không có
,거절01,명사,,을 하다,초급,,LÀM
3726.0,거절하다01,동사,拒絶-,,,C,
,거지01,명사,,가 되다,중급,,trở nên
4039.0,거짓,명사,,으로 꾸미다,중급,B,trang trí với
2246.0,거짓말,명사,,을 하다,초급,B,LÀM
819.0,거치다01,동사,,도시를,중급,C,thành phố
2306.0,거칠다,형용사,,살결이,중급,C,kết cấu da
4040.0,거품,명사,,이 나다,중급,C,Đây là tôi
1129.0,걱정,명사,,이 되다,초급,A,trở nên
10384.0,걱정되다,동사,,,,B,
5850.0,걱정스럽다,형용사,,자식이,중급,B,đứa trẻ
2491.0,걱정하다,동사,,,,A,
1707.0,건04,의존명사,件,,,C,
647.0,건강03,명사,健康,이 나빠지다,초급,A,Nó trở nên tồi tệ hơn
1297.0,건강하다02,형용사,健康-,,,A,
7984.0,건너01,명사,,길 건너,중급,C,bên kia đường
4255.0,건너가다,동사,,길을,초급,B,con đường
2276.0,건너다,동사,,길을,초급,B,con đường
7167.0,건너오다,동사,,,,B,
5448.0,건너편,명사,-便,으로 가다,초급,B,đi tới
9030.0,건넌방,명사,-房,,,C,
,건널목,명사,,을 건너가다,중급,,đi qua
4760.0,건네다,동사,,돈을,중급,C,tiền bạc
4112.0,건네주다,동사,,돈을,중급,C,tiền bạc
3907.0,건드리다,동사,,물건을,중급,C,chất liệu
649.0,건물03,명사,建物,을 짓다,초급,A,xây dựng
790.0,건설,명사,建設,아파트 건설,중급,C,xây dựng căn hộ
5851.0,건설되다,동사,建設-,,,C,
2263.0,건설하다,동사,建設-,,,C,
,건전지,명사,,를 갈다,중급,,xay
3388.0,건전하다,형용사,健全-,,,C,
3849.0,건조04,명사,乾燥,건조 기후,중급,C,khí hậu khô
8659.0,건조하다02,형용사,乾燥-,,,C,
2790.0,건지다,동사,,그물을,중급,B,mạng lưới
2616.0,건축01,명사,建築,건축 공사,중급,B,xây dựng công trình
8660.0,걷기,명사,,,,C,
546.0,걷다02,동사,,길을; 느릿느릿 ~,초급,A,đường; Từ từ~
5314.0,걷다03,동사,,소매를 ~,중급,C,Tay áo~
7985.0,걷다04,동사,,빨래를 ~,중급,C,Giặt đồ đi~
716.0,걸다02,동사,,그림을; 옷을 ~,초급,A,hình ảnh; quần áo~
,걸레01,명사,,로 닦다,중급,,đánh bóng bằng
380.0,걸리다01,동사,,'걸다'의 피동사; 그림이,초급,B,Động từ thụ động của 'đi bộ'; Bức tranh
1970.0,걸어가다,동사,,학교에,초급,A,đến trường
4041.0,걸어오다01,동사,,집까지 ~; 집에,초급,A,Về nhà~; ở nhà
1647.0,걸음,명사,,이 느리다,초급,B,Cái này chậm
837.0,걸치다,동사,,구름 위에,중급,C,phía trên những đám mây
1585.0,검다02,형용사,,색깔이 ~,중급,B,Màu sắc~
3025.0,검사02,명사,檢事,판사와 검사,중급,C,thẩm phán và công tố viên
1512.0,검사03,명사,檢査,숙제 검사,초급,B,bài tập về nhà
,검색,명사,,인터넷 검색,중급,,인터넷 검색
3064.0,검은색,명사,-色,색깔,초급,A,색깔
,검정01,명사,,색깔,초급,,색깔
38923.0,검정색,명사,-色,,,B, 
2850.0,검토,명사,檢討,서류 검토,중급,C,서류 검토
2644.0,겁05,명사,怯,을 먹다,중급,B,을 먹다
7987.0,겁나다02,동사,怯-,말하기가,중급,C,말하기가
1.0,것01,의존명사,,먹을 것,초급,A,먹을 것
2759.0,겉01,명사,,안과 겉,초급,B,안과 겉
,겉모습,명사,,만 보다,중급,,만 보다
,겉옷,명사,,을 벗다,중급,,을 벗다
4761.0,게01,명사,,동물; 를 먹다,중급,C,동물; 를 먹다
1415.0,게다가,부사,,게다가 ~까지,중급,B,게다가 ~까지
,게시02,명사,,안내문 게시,중급,,안내문 게시
7687.0,게시판,명사,揭示板,에 붙이다,중급,C,에 붙이다
13080.0,게으르다,형용사,,사람이,초급,C,사람이
877.0,게임,명사,,game; 컴퓨터 게임,초급,A,game; 컴퓨터 게임
1648.0,겨우,부사,,겨우 살아나다,중급,B,겨우 살아나다
920.0,겨울,명사,,계절,초급,A,계절
6009.0,겨울철,명사,,을 보내다,중급,B,을 보내다
5711.0,겨자01,명사,,,,C, 
,격려,명사,,를 보내다,중급,,를 보내다
838.0,겪다,동사,,고통을,중급,C,고통을
1341.0,견디다,동사,,고통을,중급,B,고통을
,견학,명사,,박물관 견학,중급,,박물관 견학
1470.0,견해02,명사,見解,견해 차이,중급,C,견해 차이
211.0,결과02,명사,結果,가 나오다,초급,B,가 나오다
4487.0,결과적,명사,結果的,,,C, 
352.0,결국,명사,結局,결국 해내다,중급,B,결국 해내다
,결국,부사,,결국 해내다,중급,,결국 해내다
,결근,명사,,출근,중급,,출근
1513.0,결론02,명사,結論,을 내리다,중급,C,을 내리다
16464.0,결석01,명사,缺席,을 하다,초급,C,을 하다
25684.0,결석하다,동사,缺席-,,,C, 
4113.0,결승01,명사,決勝,결승 경기,중급,C,결승 경기
4763.0,결심01,명사,決心,을 하다,초급,C,을 하다
3623.0,결심하다01,동사,決心-,,,B, 
1092.0,결정01,명사,決定,을 내리다,초급,B,을 내리다
1986.0,결정되다01,동사,決定-,,,B, 
1033.0,결정하다01,동사,決定-,,,B, 
,결제01,명사,,카드 결제,중급,,카드 결제
752.0,결코,부사,決-,결코 울지 않다,중급,C,결코 울지 않다
,결합,명사,,을 이루다,중급,,을 이루다
601.0,결혼,명사,結婚,을 하다,초급,A,을 하다
3389.0,결혼식,명사,結婚式,을 올리다,초급,A,을 올리다
,결혼식장,명사,,야외 결혼식장,중급,,야외 결혼식장
1130.0,결혼하다,동사,結婚-,,,A, 
,겸손,명사,,겸손의 말,중급,,겸손의 말
,겹치다01,동사,,행운이,중급,,행운이
2461.0,경계04,명사,境界,를 짓다,중급,C,를 짓다
2702.0,경고04,명사,警告,를 주다,중급,C,đưa cho
5712.0,경고하다02,동사,警告-,,,C,
2543.0,경기05,명사,景氣,가 회복되다,중급,C,được phục hồi
739.0,경기11,명사,競技,를 보다,초급,B,nhìn thấy
,경기도,고유 명사,京畿道,,,B,
3624.0,경기장,명사,競技場,실내 경기장,중급,B,sân vận động trong nhà
3672.0,경력02,명사,經歷,을 쌓다,중급,C,chất đống lên
,경복궁,고유 명사,景福宮,,,A,
,경복궁,명사,,고궁,중급,,cung điện cũ
4968.0,경비02,명사,經費,여행 경비,중급,C,chi phí đi lại
,경비실,명사,,아파트 경비실,중급,,phòng an ninh chung cư
,경상도,고유 명사,慶尙道,,,B,
1034.0,경영02,명사,經營,회사 경영,중급,B,quản lý công ty
6746.0,경영하다01,동사,經營-,,,C,
,경우02,명사,,그런 경우,중급,,Trong trường hợp đó
65.0,경우03,명사,境遇,,,B,
762.0,경쟁,명사,競爭,경쟁 상대,중급,C,đồng thời
2264.0,경쟁력,명사,競爭力,을 키우다,중급,C,nâng lên
200.0,경제04,명사,經濟,경제 개발,중급,B,phát triển kinh tế
4969.0,경제력,명사,經濟力,이 있다,중급,C,có
,경제적,관형사,,경제적 능력,중급,,khả năng kinh tế
2492.0,경제적,명사,經濟的,경제적 능력,중급,B,khả năng kinh tế
5713.0,경제학,명사,經濟學,,,C,
,경주,고유 명사,慶州,,,A,
632.0,경찰04,명사,警察,경찰 조사(기관),초급,A,Cảnh sát điều tra (cơ quan)
2329.0,경찰관,명사,警察官,교통 경찰관,중급,A,cảnh sát giao thông
3214.0,경찰서,명사,警察署,에 신고하다,초급,A,báo cáo cho
5452.0,경치02,명사,景致,가 좋다,초급,A,nó tốt
1093.0,경향02,명사,傾向,새로운 경향,중급,C,xu hướng mới
585.0,경험,명사,經驗,을 쌓다,초급,B,chất đống lên
2170.0,경험하다,동사,經驗-,,,B,
1586.0,곁01,명사,,에 있다,중급,B,đang ở trong
2544.0,계곡01,명사,溪谷,에 가다,중급,C,đi tới
,계기04,명사,,사건의 계기,중급,,nhân dịp xảy ra sự việc
2206.0,계단04,명사,階段,을 오르다,초급,B,leo
6951.0,계란,명사,鷄卵,을 먹다,초급,A,ăn
1827.0,계산01,명사,計算,이 정확하다,초급,B,điều này đúng
3390.0,계산기,명사,計算器,로 계산하다,중급,B,tính toán với
,계산대,명사,,에서 계산하다,중급,,tính toán từ
2916.0,계산하다,동사,計算-,,,B,
,계속04,명사,,계속 달리다,초급,,tiếp tục chạy
405.0,계속04,부사,繼續,계속 달리다,초급,A,tiếp tục chạy
1075.0,계속되다02,동사,繼續-,,,B,
1149.0,계속하다03,동사,繼續-,,,B,
1163.0,계시다,동사,,한국에,초급,A,ở hàn quốc
1432.0,계시다,보조 용언,,,,A,
2350.0,계약,명사,契約,을 체결하다,중급,B,kết luận
,계약금,명사,,을 받다,중급,,nhận được
,계약서,명사,,를 쓰다,중급,,viết
2520.0,계절01,명사,季節,이 바뀌다,초급,A,thay đổi
3138.0,계좌02,명사,計座,계좌 번호,중급,C,số tài khoản
2054.0,계층,명사,階層,상류 계층,중급,C,tầng lớp thượng lưu
400.0,계획01,명사,計劃,을 세우다,초급,A,cài đặt
4862.0,계획하다01,동사,計劃-,,,B,
403.0,고개01,명사,,~를 돌리다; 를 들다,초급,B,quay ; thang máy
5857.0,고개02,명사,,~ 너머,,C,~ xa hơn
1717.0,고객04,명사,顧客,을 맞다,중급,B,đánh
3968.0,고교04,명사,高校,,,B,
,고구려,고유 명사,高句麗,,,C,
7996.0,고구마,명사,,를 캐다,중급,B,đào lên
,고국02,명사,,으로 돌아가다,중급,,quay trở lại
11578.0,고궁01,명사,古宮,을 산책하다,중급,C,đi dạo
1915.0,고급02,명사,高級,고급 시계,중급,B,đồng hồ sang trọng
8305.0,고급스럽다,형용사,高級-,자동차가,중급,C,chiếc xe
1055.0,고기01,명사,,를 먹다,초급,A,ăn
,고대04,명사,,고대와 현대,중급,,cổ xưa và hiện đại
,고독02,명사,,을 느끼다,중급,,cảm thấy
,고등02,명사,,고등 지식,중급,,kiến thức cao hơn
,고등어,명사,,고등어 구이,중급,,Cá thu nướng
1337.0,고등학교,명사,高等學校,에 입학하다,초급,A,đăng ký vào
7445.0,고등학생,명사,高等學生,이 되다,초급,A,trở nên
,고래01,명사,,가 헤엄치다,중급,,đi bơi
,고려,고유 명사,高麗,,,C,
,고려01,명사,,고려 사항,중급,,Cân nhắc
1490.0,고려하다01,동사,考慮-,,,B,
1496.0,고르다01,동사,,뽑다; 선물을,초급,B,rút ra; một món quà
5175.0,고르다03,형용사,,차이가 없다,,B,không có sự khác biệt
,고마워하다,동사,,부모님에게,중급,,gửi bố mẹ tôi
857.0,고맙다01,형용사,,마음이,초급,A,trái tim
1848.0,고모01,명사,姑母,친척,초급,B,liên quan đến
8668.0,고모부,명사,姑母夫,,,B,
,고무01,명사,,로 만들다,중급,,làm với
9911.0,고무신,명사,,,,C,
1748.0,고민,명사,苦悶,을 나누다,초급,B,chia
3104.0,고민하다,동사,苦悶-,,,B,
,고백,명사,,사랑 고백,중급,,lời tỏ tình
1916.0,고생,명사,苦生,을 참다,중급,B,chịu đựng
3065.0,고생하다,동사,苦生-,,,B,
8307.0,고소하다01,형용사,,맛이 ~,중급,C,Hương vị~
6178.0,고속02,명사,高速,으로 달리다,중급,B,chạy tới
5176.0,고속도로,명사,高速道路,,,B,
11580.0,고속버스,명사,高速,bus; 를 타다,초급,B,xe buýt; lái
1987.0,고양이,명사,,를 기르다,초급,A,nâng lên
,고요01,명사,,를 깨트리다,중급,,phá vỡ
3851.0,고요하다,형용사,,,,C,
,고유03,명사,,고유 음식,중급,,món ăn độc đáo
3175.0,고작02,부사,,,,C,
1480.0,고장01,명사,,우리 고장; 지역,중급,B,quê hương của chúng tôi; vùng đất
3625.0,고장11,명사,故障,이 나다,초급,B,Đây là tôi
2733.0,고전02,명사,古典,고전 소설,중급,C,tiểu thuyết cổ điển
,고정06,명사,,고정 수입,중급,,thu nhập cố định
5316.0,고집02,명사,固執,을 부리다,중급,C,trình diễn
3969.0,고집하다,동사,固執-,,,C,
2126.0,고추01,명사,,를 따다,중급,B,nhặt
6014.0,고추장,명사,-醬,을 넣다,초급,B,đưa vào
9916.0,고춧가루,명사,,를 넣다,중급,B,đưa vào
,고층,명사,,고층 빌딩,중급,,tòa nhà chọc trời
1503.0,고치다01,동사,,컴퓨터를,초급,B,máy tính
986.0,고통,명사,苦痛,을 견디다,중급,B,chịu đựng
3674.0,고통스럽다,형용사,苦痛-,고통스러운 표정,중급,C,biểu hiện đau đớn
5860.0,고프다,형용사,,배가,초급,A,nhân đôi
4181.0,고함01,명사,高喊,,,C,
593.0,고향02,명사,故鄕,에 가다,초급,A,đi tới
3459.0,곡02,명사,曲,쇼팽의 곡,중급,C,bài hát của Chopin
