"expression","reading","meaning","tags","guid","meaning_vi"
"折る","おる","to snap, to break; to bend","JLPT JLPT_N4","yVVu7>5}8_","gãy, gãy; uốn cong"
"～会","～かい","~ meeting","JLPT JLPT_N4","q`5&BgJq(Y","~ cuộc họp"
"うかがう","うかがう","to ask","JLPT JLPT_N4","i(<6VU5W9O","hỏi"
"聞こえる","きこえる","to be heard, to be audible","JLPT JLPT_N4","quf~I<>p>","có thể nghe được, có thể nghe được"
"僕","ぼく","I (used by men towards those of equal or lower status)","Genki Genki_Ln.5 JLPT JLPT_N4","sZrMWgN[D[","Tôi (được đàn ông sử dụng đối với những người có địa vị ngang bằng hoặc thấp hơn)"
"必ず","かならず","surely, certainly","Intermediate_Japanese_Ln.8 JLPT JLPT_N4","t=>{J>bIy^","chắc chắn, chắc chắn"
"壊す","こわす","to break, to break down","JLPT JLPT_N4","d^9}5OH`;*","phá vỡ, phá vỡ"
"怒る","おこる","to get angry; to scold angrily","Genki Genki_Ln.19 JLPT JLPT_N4","Ib^RmCfT#f","tức giận; mắng mỏ một cách giận dữ"
"床屋","とこや","barber's (shop)","Genki Genki_Ln.10 Intermediate_Japanese_Ln.6 JLPT JLPT_N4","t^jDr`iefA","tiệm cắt tóc (cửa hàng)"
"オートバイ","オートバイ","motorcycle (lit: auto-bi(ke))","JLPT JLPT_N4","Pt[L]fX^FJ","xe máy (sáng: auto-bi(ke))"
"運動","うんどうする","exercise","JLPT JLPT_N4","=pK+M[-/J","bài tập"
"止む","やむ","to cease, to stop","JLPT JLPT_N4","i[hf?*~a)V","chấm dứt, dừng lại"
"もし","もし","if","JLPT JLPT_N4","oLI2n{GVOs","nếu như"
"表","おもて","surface; front; outside","JLPT JLPT_N4","qP[jTS0$-o","bề mặt; đằng trước; ngoài"
"大学生","だいがくせい","college student, university student","Genki Genki_Ln.1 Genki_Ln.8 JLPT JLPT_N4","cCEA>;7p%n","sinh viên đại học, sinh viên đại học"
"運転手","うんてんしゅ","driver (by occupation)","Intermediate_Japanese_Ln.6 JLPT JLPT_N4","c=1Zd>L>/{","lái xe (theo nghề nghiệp)"
"予習","よしゅう","preparation of lessons (for class)","Genki Genki_Ln.22 Intermediate_Japanese_Ln.5 JLPT JLPT_N4","A$348:bL<R","chuẩn bị bài học (cho lớp)"
"心配","しんぱいする","worry, concern","JLPT JLPT_N4","reB^;ntMm;","lo lắng, quan tâm"
"別","べつ","distinction, different","JLPT JLPT_N4","pvVM*k}K*D","sự phân biệt, khác biệt"
"非常に","ひじょうに","extremely; very","Intermediate_Japanese_Ln.2 JLPT JLPT_N4","Ih.~ep.W8C","vô cùng; rất"
"お宅","おたく","(someone else's) house; home -- polite word for 家 (いえ) --","Genki Genki_Ln.13 Intermediate_Japanese_Ln.7 JLPT JLPT_N4","G:h,g@5k[b","nhà (của người khác); nhà -- từ lịch sự dành cho 家 (いえ) --"
"柔らかい","やわらかい","soft (in reference to texture), tender","JLPT JLPT_N4","Mb;<89jf/c","mềm (liên quan đến kết cấu), dịu dàng"
"拾う","ひろう","to pick up (something), to find","Genki Genki_Ln.22 JLPT JLPT_N4","A7mxJIkuGg","nhặt (cái gì), tìm"
"～ございます","～ございます","to be (polite), to exist","JLPT JLPT_N4","kMO?quX[B$","là (lịch sự), tồn tại"
"気","き","spirit, mood","JLPT JLPT_N4","N`FU2bb#2c","tinh thần, tâm trạng"
"比べる","くらべる","to compare","JLPT JLPT_N4","OXHWkwV:?8","để so sánh"
"ほとんど","ほとんど","mostly, almost","Intermediate_Japanese_Ln.7 JLPT JLPT_N4","nQ>_aG@b-U","hầu hết, gần như"
"つもり","つもり","intention, plan","JLPT JLPT_N4","fOH84**JB]","ý định, kế hoạch"
"郊外","こうがい","suburb, outskirts","JLPT JLPT_N4","m[#TphS~Yp","vùng ngoại ô, vùng ngoại ô"
"だめ","だめ","useless, no good, hopeless","JLPT JLPT_N4","F`}=@;2gGr","vô ích, không tốt, vô vọng"
"売り場","うりば","place where things are sold","JLPT JLPT_N4","g8Zs2)0MYs","nơi bán đồ"
"正月","しょうがつ","New Year, New Year's Day","JLPT JLPT_N4","z?cV&4IRT$","Năm mới, ngày đầu năm mới"
"規則","きそく","rule, regulation","JLPT JLPT_N4","fX,<9qoCbI","quy tắc, quy định"
"うん","うん","yes (informal), all right (ok)","Genki Genki_Ln.8 JLPT JLPT_N4","AU=4aGU<;g","vâng (thân mật), được rồi (ok)"
"発音","はつおん","pronunciation","JLPT JLPT_N4","ij2OK3T1KH","cách phát âm"
"焼く","やく","to bake, to grill","Genki Genki_Ln.21 JLPT JLPT_N4","ze5y7QDk;*","nướng, nướng"
"屋上","おくじょう","rooftop","JLPT JLPT_N4","dNyWHH2le2","mái nhà"
"失礼","しつれい","discourtesy, impoliteness; Excuse me","JLPT JLPT_N4","i}rJ2aUEQY","bất lịch sự, bất lịch sự; Xin lỗi"
"ごみ","ごみ","trash, garbage","Genki Genki_Ln.16 JLPT JLPT_N4","l0zGWz;u*B","rác, rác"
"アフリカ","アフリカ","Africa","JLPT JLPT_N4","s(eSC66i0(","Châu phi"
"点","てん","mark, score, grade; point, dot","Intermediate_Japanese_Ln.5 JLPT JLPT_N4","xl]z9.M3ii","điểm, điểm, thứ hạng; điểm, dấu chấm"
"一生懸命","いっしょうけんめい","very hard (as in ""to work hard""), with utmost effort","Intermediate_Japanese_Ln.5 JLPT JLPT_N4","x}#WG:x<B%","rất chăm chỉ (như trong “làm việc chăm chỉ”), với nỗ lực tối đa"
"今度","こんど","now, this time, near future, one of these days, next time","Genki Genki_Ln.9 JLPT JLPT_N4","c3M,%sgpuH","bây giờ, lúc này, tương lai gần, một ngày nào đó, lần sau"
"機会","きかい","chance, opportunity","JLPT JLPT_N4","QN(r}6a#1P","cơ hội, cơ hội"
"建てる","たてる","to build","JLPT JLPT_N4","p>?r}3Zl{s","xây dựng"
"複雑","ふくざつ","complexity, complication","JLPT JLPT_N4","CH}=lqHM1.","sự phức tạp, sự phức tạp"
"彼","かれ","he, boyfriend","Genki Genki_Ln.12 Intermediate_Japanese_Ln.8 JLPT JLPT_N4","t}ZPEKulM{","anh ấy, bạn trai"
"いらっしゃる","いらっしゃる","-- honorific expression for いく, くる, and いる --","Genki Genki_Ln.19 JLPT JLPT_N4","q4xt(yor`^","-- cách biểu thị kính trọng đối với いく, くる, và いる --"
"布団","ふとん","futon","JLPT JLPT_N4","o9cl6;pq_D","nệm futon"
"大事","だいじ","important, valuable, serious matter","JLPT JLPT_N4","K-;(kx?ed|","vấn đề quan trọng, có giá trị, nghiêm trọng"
"贈り物","おくりもの","a gift; a present","Intermediate_Japanese_Ln.9 JLPT JLPT_N4","ea]7XukKd^","một món quà; một món quà"
"泥棒","どろぼう","thief; burglar","Genki Genki_Ln.21 JLPT JLPT_N4","q/[sonb>SP","tên trộm; tên trộm"
"～製","～せい","made in ~","JLPT JLPT_N4","I|]_Gf;YLD","được thực hiện tại ~"
"注意","ちゅうい","caution, attention","JLPT JLPT_N4","tSqn:MggQx","sự thận trọng, sự chú ý"
"台風","たいふう","typhoon","Genki Genki_Ln.16 JLPT JLPT_N4","uFiu<};|%T","cơn bão"
"日","ひ","sun, sunshine, day","Genki Genki_Ln.16 JLPT JLPT_N4","Ap$ELNr5>B","mặt trời, ánh nắng mặt trời, ngày"
"～軒","～けん","counter for houses","JLPT JLPT_N4","KbFf,NH{5y","quầy cho ngôi nhà"
"そう","そう","really, (is that) so; yes, right","JLPT JLPT_N4","wr0#d-auwR","thực sự, (là vậy) vậy; vâng, đúng rồi"
"通る","とおる","to pass (by), to go through","JLPT JLPT_N4","z?tZP}u#Ea","đi ngang qua, đi qua"
"過ぎる","すぎる","to exceed, to go beyond","JLPT JLPT_N4","O_}jg<!z1-","vượt quá, vượt xa"
"レポート; リポート","レポート; リポート","report","JLPT JLPT_N4","xai}>:G-4a","báo cáo"
"葉","は","leaf","JLPT JLPT_N4","xQbxW<V1k4","lá cây"
"必要","ひつよう","necessary","JLPT JLPT_N4","ty_M]/QA_N","cần thiết"
"課長","かちょう","section manager","Intermediate_Japanese_Ln.7 JLPT JLPT_N4","Q;5M-:Rtr;","người quản lý bộ phận"
"地震","じしん","earthquake","Genki Genki_Ln.15 JLPT JLPT_N4","DGTtnnC4Nd","trận động đất"
"すると","すると","and, then","JLPT JLPT_N4","Fz>2(<Q3D%","và sau đó"
"止める","やめる","to end, to stop","JLPT JLPT_N4","w08D;C[*x`","kết thúc, dừng lại"
"ガラス","ガラス","glass, pane","JLPT JLPT_N4","Wl!XdU*F<","kính, ô"
"～学部","～がくぶ","department of a university","JLPT JLPT_N4","qq2at6CGnZ","khoa của một trường đại học"
"厳しい","きびしい","hard; rigorous; strict","Genki Genki_Ln.13 Intermediate_Japanese_Ln.5 JLPT JLPT_N4","pjG^I!L.;w","cứng; nghiêm ngặt; nghiêm ngặt"
"エスカレーター","エスカレーター","escalator","JLPT JLPT_N4","y6e9BNnN(6","thang cuốn"
"人口","じんこう","population","Intermediate_Japanese_Ln.4 JLPT JLPT_N4","h:04.`><%U","dân số"
"月","つき","moon","Genki Genki_Ln.20 JLPT JLPT_N4","g.!8Tz-L0l","mặt trăng"
"絹","きぬ","silk","JLPT JLPT_N4","tNV0})jEsh","lụa"
"ちっとも","ちっとも","not at all (neg. verb)","JLPT JLPT_N4","p(lsw|$R1V","không hề (phủ định động từ)"
"深い","ふかい","deep, profound","JLPT JLPT_N4","N%G$/Va72i","sâu sắc, sâu sắc"
"壊れる","こわれる","to be broken, to break","JLPT JLPT_N4","PH#eB=.[|i","bị phá vỡ, bị phá vỡ"
"揺れる","ゆれる","to shake, to sway","JLPT JLPT_N4","CJT@S-rGcq","lắc lư, lắc lư"
"落る","おちる","to fall, to drop","JLPT JLPT_N4","QEWE{hX5.8","rơi, rơi"
"できるだけ","できるだけ","if at all possible, as much as possible","JLPT JLPT_N4","z|27hHgqS.","nếu có thể, càng nhiều càng tốt"
"悲しい","かなしい","sad, sorrowful","Genki Genki_Ln.13 JLPT JLPT_N4","P[6ROxur[z","buồn, buồn"
"中学校","ちゅうがっこう","junior high school pupil","JLPT JLPT_N4","o@F6a}&sDT","học sinh trung học cơ sở"
"ガス","ガス","gas","JLPT JLPT_N4","J0vS6#XFQP","khí đốt"
"祈る","いのる","to pray; to wish","JLPT JLPT_N4","gOVf)x5I|I","cầu nguyện; ước"
"盛ん","さかん","prosperous, active, thriving","JLPT JLPT_N4","iN0&Vv}z1G","thịnh vượng, năng động, thịnh vượng"
"アルバイト","アルバイト","part-time job","Genki Genki_Ln.4 JLPT JLPT_N4","uhbB_H_zmK","công việc bán thời gian"
"起こす","おこす","to wake (someone) up","Genki Genki_Ln.16 JLPT JLPT_N4","e)?&!q93%0","đánh thức (ai đó) dậy"
"致す","いたす","-- extra-modest expression for する --","Genki Genki_Ln.20 JLPT JLPT_N4","s{uMBFr}QR","-- cách diễn đạt hết sức khiêm tốn của する --"
"噛む","かむ","to bite, to chew","JLPT JLPT_N4","E0N_YXN>-x","cắn, nhai"
"赤ちゃん","あかちゃん","baby, infant","Genki Genki_Ln.21 JLPT JLPT_N4","s09]7w9[]D","em bé, trẻ sơ sinh"
"浅い","あさい","shallow, superficial","JLPT JLPT_N4","Bq97rav-&k","nông cạn, hời hợt"
"嘘","うそ","lie","JLPT JLPT_N4","dDVZZUX$0%","nói dối"
"小説","しょうせつ","novel","Genki Genki_Ln.20 JLPT JLPT_N4","k;Wm8^zP:1","cuốn tiểu thuyết"
"親","おや","a parent","Genki Genki_Ln.16 Intermediate_Japanese_Ln.6 JLPT JLPT_N4","EM~YxWr$Fw","cha mẹ"
"それに","それに","moreover; besides","Intermediate_Japanese_Ln.2 JLPT JLPT_N4","q*Vh;RO@9L","Hơn thế nữa; bên cạnh đó"
"西洋","せいよう","the West, Western countries","JLPT JLPT_N4","CYHizo6/]:","phương Tây, các nước phương Tây"
"思う","おもう","to think, to feel","Genki Genki_Ln.8 JLPT JLPT_N4","bu>M]5SnGX","suy nghĩ, cảm nhận"
"パート (タイム)","パート (タイム)","part time (esp. female part time employees)","JLPT JLPT_N4","v_m4?zP2.9","bán thời gian (đặc biệt là nhân viên nữ bán thời gian)"
"時代","じだい","age, period, epoch, era","JLPT JLPT_N4","L?Q&>175XG","thời đại, thời kỳ, thời đại, thời đại"
"申し上げる","もうしあげる","(humble)to say, to tell","JLPT JLPT_N4","GF+@f2CV$T","(khiêm tốn) nói, kể lại"
"～式","～しき","~ ceremony; ~ style","JLPT JLPT_N4","r&5Ybsff,l","~ buổi lễ; ~ phong cách"
"出席","しゅっせきする","attendance","JLPT JLPT_N4","veUCYD:#[?","sự tham dự"
"～家","～か","person who is specialized in ~","JLPT JLPT_N4","jmL@^X(3xD","người chuyên về ~"
"迎える","むかえる","to welcome; to meet; to greet","JLPT JLPT_N4","c)r?fC@d`X","chào đón ; gặp gỡ ; chào hỏi"
"触る","さわる","to touch, to feel","JLPT JLPT_N4","EE}]!?vk-o","chạm vào, cảm nhận"
"建て","～だて","~ storied, separate housing","JLPT JLPT_N4","O;BgWj4xcP","~ nhà ở nhiều tầng, riêng biệt"
"社長","しゃちょう","president of a company","Genki Genki_Ln.11 JLPT JLPT_N4","esu`;_q%~}","chủ tịch của một công ty"
"動物園","どうぶつえん","zoo","JLPT JLPT_N4","LA>0An]TpD","sở thú"
"捕まえる","つかまえる","to catch, to arrest","JLPT JLPT_N4","dxA,$K8Jjo","bắt, bắt giữ"
"季節","きせつ","season (in reference to weather)","Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4","H-HO2,.Mf&","mùa (liên quan đến thời tiết)"
"寄る","よる","to stop by","Genki Genki_Ln.19 Intermediate_Japanese_Ln.3 JLPT JLPT_N4","wowQrA=!@I","dừng lại"
"決まる","きまる","to be set; fixed (v.i.)","Intermediate_Japanese_Ln.2 JLPT JLPT_N4","ftU/w6Rm9)","được thiết lập; đã sửa (v.i.)"
"開く","ひらく","to open; to hold (an event)","JLPT JLPT_N4","EqW3}ML(%4","để mở; tổ chức (một sự kiện)"
"逃げる","にげる","to escape, to run away","JLPT JLPT_N4","olt^H[(k%k","trốn thoát, chạy trốn"
"だから","だから","so; therefore","Genki Genki_Ln.4 JLPT JLPT_N4","l,%/>C{Y}S","Vì thế; Vì vậy"
"残念","ざんねん","regret; regrettable","Intermediate_Japanese_Ln.7 JLPT JLPT_N4","u8P;}KnN>M","hối tiếc; đáng tiếc"
"畳","たたみ","tatami mat (Japanese straw mat)","JLPT JLPT_N4","K6&+!%&]%g","Thảm tatami (thảm rơm Nhật Bản)"
"丁寧","ていねい","polite, courteous, careful","JLPT JLPT_N4","y#[3yo1.4|","lịch sự, nhã nhặn, cẩn thận"
"地理","ちり","geography","JLPT JLPT_N4","L>P&NZL8Ln","địa lý"
"さっき","さっき","a little while ago","Genki Genki_Ln.4 JLPT JLPT_N4","K6.[:IAM|.","cách đây ít lâu"
"怖い","こわい","scary, frightening","Genki Genki_Ln.5 JLPT JLPT_N4","oO+f.U&hT(","đáng sợ, đáng sợ"
"包む","つつむ","to wrap, to cover","Genki Genki_Ln.21 JLPT JLPT_N4","j.kjH)CP:g","để bọc, để che"
"なるべく","なるべく","if possible, as much as possible","Intermediate_Japanese_Ln.3 JLPT JLPT_N4","N|K[$y_r^[","nếu có thể, càng nhiều càng tốt"
"無理","むり","unreasonable, impossible","JLPT JLPT_N4","i]oOmAHlg9","vô lý, không thể"
"サンドイッチ","サンドイッチ","sandwich","JLPT JLPT_N4","Lah$0,$FHs","sandwich"
"会議室","かいぎしつ","conference room","JLPT JLPT_N4","oxHUFdCY;/","phòng họp"
"品物","しなもの","goods","JLPT JLPT_N4","kiGyZq*rIU","hàng hóa"
"人形","にんぎょう","doll, figure","JLPT JLPT_N4","vPlJ&v75[Q","búp bê, hình"
"利用","りよう","use, utilization","JLPT JLPT_N4","Rh@8N~e0eQ","sử dụng, tận dụng"
"飾る","かざる","to decorate, to adorn","JLPT JLPT_N4","OaqvYHn98,","để trang trí, tô điểm"
"止める","とめる","to stop (something)","JLPT JLPT_N4","uL2<QDM;W:","dừng lại (cái gì đó)"
"恥ずかしい","はずかしい","ashamed, embarrassed","Genki Genki_Ln.18 JLPT JLPT_N4","e$Mth*I+Cg","xấu hổ, xấu hổ"
"いくら～ても","いくら～ても","however much one may ~","JLPT JLPT_N4","I]og(vfh}t","dù người ta có thể bao nhiêu đi nữa ~"
"用事","ようじ","business to take care of; tasks; errands","Genki Genki_Ln.12 JLPT JLPT_N4","p$RznpfpCY","kinh doanh để chăm sóc; nhiệm vụ; việc vặt"
"ビル","ビル","(abbr.) building","JLPT JLPT_N4","H[!Yph0[mz","(viết tắt) tòa nhà"
"けんかする","けんかする","quarrel","JLPT JLPT_N4","Oc14`ELpiF","cãi nhau"
"頑張る","がんばる","to try one's best, to try hard, to persist","Genki Genki_Ln.13 JLPT JLPT_N4","Mz@9d9PizL","cố gắng hết sức, cố gắng hết sức, kiên trì"
"投げる","なげる","to pitch, to cast away","Intermediate_Japanese_Ln.7 JLPT JLPT_N4","A%8%S+mN,O","ném đi, ném đi"
"故障","こしょうする","breakdown","JLPT JLPT_N4","mP~NCidGL7","sự cố"
"力","ちから","strength, power","JLPT JLPT_N4","t<Fy!4ZXqc","sức mạnh, quyền lực"
"受ける","うける","to take (an examination, interview, etc.); to receive","JLPT JLPT_N4","d#N;{6r~iD","tham gia (kiểm tra, phỏng vấn, v.v.); để nhận"
"気分","きぶん","feeling, mood","JLPT JLPT_N4","GJl$1:;vCi","cảm giác, tâm trạng"
"間違える","まちがえる","to make a mistake","Genki Genki_Ln.21 JLPT JLPT_N4","Q5b~VM7IRc","phạm sai lầm"
"そんな","そんな","such, like that, that sort of","JLPT JLPT_N4","ei/O3MuiLE","như thế, như thế, kiểu đó"
"星","ほし","star","JLPT JLPT_N4","h=LT];WutA","ngôi sao"
"場合","ばあい","case, situation","JLPT JLPT_N4","qV-2<HJ$$5","trường hợp, tình huống"
"やっと","やっと","at last, finally","JLPT JLPT_N4","Qf-Nk|9F8D","cuối cùng, cuối cùng"
"足りる","たりる","to be sufficient; to be enough","Genki Genki_Ln.17 Intermediate_Japanese_Ln.4 JLPT JLPT_N4","tSHDO2cb1M","là đủ; là đủ"
"行う","おこなう","to carry out; to conduct (typically used in written language)","Intermediate_Japanese_Ln.3 JLPT JLPT_N4","kSwpIk>RTo","để thực hiện; để tiến hành (thường được sử dụng trong ngôn ngữ viết)"
"ぶどう","ぶどう","grapes","JLPT JLPT_N4","qtf+q-Z+n]","quả nho"
"無くなる","なくなる","to disappear, to get lost","JLPT JLPT_N4","QEFsGzu!|/","biến mất, bị lạc"
"準備","じゅんびする","prepare","JLPT JLPT_N4","h&P$N~U6-[","chuẩn bị"
"世界","せかい","world","Genki Genki_Ln.10 JLPT JLPT_N4","e<Tae_jQo4","thế giới"
"住所","じゅうしょ","address; place of residence","JLPT JLPT_N4","fPoS$h^c(u","Địa chỉ; nơi cư trú"
"再来月","さらいげつ","the month after next","JLPT JLPT_N4","Zux^JW=t?","tháng sau tiếp theo"
"林","はやし","woods, forest","JLPT JLPT_N4","@LWUXw-^>","rừng, rừng"
"倍","ばい","double","JLPT JLPT_N4","k.0mCWDs+|","gấp đôi"
"痩せる","やせる","to lose weight","Genki Genki_Ln.7 JLPT JLPT_N4","A[Q-]LV0S:","để giảm cân"
"線","せん","line, wire","JLPT JLPT_N4","dK0yR1DBK`","đường dây, dây điện"
"戦争","せんそう","war","JLPT JLPT_N4","l@;Cq/&#91","chiến tranh"
"決める","きめる","to decide (v.t.)","Genki Genki_Ln.10 Intermediate_Japanese_Ln.9 JLPT JLPT_N4","p(qb/m`R:b","quyết định (v.t.)"
"調べる","しらべる","to check; to look up; to inquire; to search","JLPT JLPT_N4","Ov6y=mBwgM","để kiểm tra; tra cứu; để hỏi ; tìm kiếm"
"寝坊","ねぼう","sleeping in late","JLPT JLPT_N4","B(>pXN{@@q","ngủ muộn"
"パパ","パパ","papa, daddy","JLPT JLPT_N4","v.-(XP=XJY","bố, bố"
"光る","ひかる","to shine, to glitter","JLPT JLPT_N4","xp|/7BLK40","tỏa sáng, lấp lánh"
"夫","おっと","husband","JLPT JLPT_N4","zDF$wWIUs8","chồng"
"雲","くも","cloud","JLPT JLPT_N4","C3Z1{X<H,4","đám mây"
"坂","さか","slope, hill","JLPT JLPT_N4","fMGrCf7XcB","độ dốc, đồi"
"～(て) しまう","～(て) しまう","to end up ~","JLPT JLPT_N4","us+Z5ns><g","để kết thúc ~"
"飛行場","ひこうじょう","airport","JLPT JLPT_N4","A2O=3b{hXI","sân bay"
"柔道","じゅうどう","judo","JLPT JLPT_N4","d[2qz9jnc7","judo"
"決して","けっして","never","JLPT JLPT_N4","Kd9N)Izj!4","không bao giờ"
"事務所","じむしょ","office","JLPT JLPT_N4","wxgf%k:fc2","văn phòng"
"連絡","れんらく","communication, contact, connection","JLPT JLPT_N4","v[($g<|S,F","giao tiếp, liên lạc, kết nối"
"小学校","しょうがっこう","elementary school","Genki Genki_Ln.23 JLPT JLPT_N4","f^*MMB(l>o","trường tiểu học"
"客","きゃく","guest, customer","Intermediate_Japanese_Ln.2 JLPT JLPT_N4","xF)V^}awc{","khách, khách hàng"
"昔","むかし","old days; past","Genki Genki_Ln.21 JLPT JLPT_N4","hUjfJU~9){","ngày xưa; quá khứ"
"美しい","うつくしい","beautiful, lovely","JLPT JLPT_N4","OB^[>@2T05","đẹp, đáng yêu"
"捨てる","すてる","throw away (trash), dump, discard","Genki Genki_Ln.15 JLPT JLPT_N4","G;1IJzl`jC","vứt (rác), vứt, vứt đi"
"なさる","なさる","-- honorific expression for する --","Genki Genki_Ln.19 JLPT JLPT_N4","zj*av$=2pO","-- cách biểu thị kính trọng đối với する --"
"事","こと","thing(s), matter(s), fact","Genki Genki_Ln.21 JLPT JLPT_N4","ca&G<Ve~Nx","sự việc, vấn đề, sự thật"
"どんどん","どんどん","quickly and steadily; at a rapid pace","JLPT JLPT_N4","q0h/etzyxE","nhanh chóng và đều đặn; với tốc độ nhanh chóng"
"試合","しあい","match, game, competition","Genki Genki_Ln.12 Intermediate_Japanese_Ln.7 JLPT JLPT_N4","Hv/PI<4cqa","trận đấu, trò chơi, cuộc thi"
"適当","てきとう","fitness, suitability","JLPT JLPT_N4","HX3el]3jvP","sự phù hợp, sự phù hợp"
"素晴らしい","すばらしい","wonderful; terrific","Intermediate_Japanese_Ln.4 JLPT JLPT_N4","Mq|7Xt}rKi","tuyệt vời; tuyệt vời"
"美術館","びじゅつかん","art gallery, art museum","Genki Genki_Ln.11 JLPT JLPT_N4","Lovq=LkX$G","phòng trưng bày nghệ thuật, bảo tàng nghệ thuật"
"文法","ぶんぽう","grammar","Genki Genki_Ln.13 JLPT JLPT_N4","h2m8,%coR8","ngữ pháp"
"終わり","おわり","end","JLPT JLPT_N4","j1fvX?gG0M","kết thúc"
"壁","かべ","wall","JLPT JLPT_N4","um!T&Q*O[?","tường"
"一度","いちど","once, one time","JLPT JLPT_N4","z3&2cN)6^e","một lần, một lần"
"お礼","おれい","expression of gratitude; thanking; gift of appreciation; bow","Genki Genki_Ln.19 Intermediate_Japanese_Ln.9 JLPT JLPT_N4","IzFCHK5nu1","bày tỏ lòng biết ơn; cảm ơn; món quà đánh giá cao; cây cung"
"親切","しんせつ","kindness","JLPT JLPT_N4","lZWRz?K3ET","lòng tốt"
"知らせる","しらせる","to notify","JLPT JLPT_N4","mORr*vy|g/","để thông báo"
"歯医者","はいしゃ","dentist","JLPT JLPT_N4","<G@n,w<8p","nha sĩ"
"熱心","ねっしん","enthusiasm","JLPT JLPT_N4","bLrU`I|/*{","sự nhiệt tình"
"始める","はじめる","to start, to begin","Genki Genki_Ln.8 JLPT JLPT_N4","g,>$G?*/Q&","bắt đầu, bắt đầu"
"もらう","もらう","to receive","JLPT JLPT_N4","MhXS3i[O39","để nhận"
"泣く","なく","to cry","Genki Genki_Ln.13 JLPT JLPT_N4","wS:0`lVju$","khóc"
"治る","なおる","to get better; to recover from illness (v.i.)","JLPT JLPT_N4","J-V8gKft=&","để trở nên tốt hơn; khỏi bệnh (v.i.)"
"熱","ねつ","fever, temperature","Intermediate_Japanese_Ln.3 JLPT JLPT_N4","D9dKTYQi:O","sốt, nhiệt độ"
"お祭り","おまつり","festival","JLPT JLPT_N4","n=i-:`LzjX","lễ hội"
"水道","すいどう","water service, water line","JLPT JLPT_N4","FV`Tc-%-nK","dịch vụ cấp nước, đường nước"
"匂い","におい","odor, smell","JLPT JLPT_N4","P&q^w6d0fO","mùi, mùi"
"ベル","ベル","bell","JLPT JLPT_N4","D!1f]e)iSX","chuông"
"赤ん坊","あかんぼう","baby","JLPT JLPT_N4","I>S)eTr_]B","Đứa bé"
"おかしい","おかしい","strange; odd; funny","Intermediate_Japanese_Ln.2 JLPT JLPT_N4","O9;m#]XEB2","lạ lùng; số lẻ; buồn cười"
"事故","じこ","accident","JLPT JLPT_N4","K(yw!r=B:1","tai nạn"
"変","へん","strange, odd","JLPT JLPT_N4","e/SMd06F!x","kỳ lạ, kỳ quặc"
"辞典","じてん","encyclopedia, reference book","JLPT JLPT_N4","brNC9/_sI`","bách khoa toàn thư, sách tham khảo"
"残る","のこる","to remain (v.i.), to be left","JLPT JLPT_N4","INR^BBo=#J","ở lại (v.i.), bị bỏ lại"
"立てる","たてる","to stand (something) up, to erect (something)","JLPT JLPT_N4","O9fk.~k_.E","đứng (cái gì) lên, dựng lên (cái gì)"
