"expression","reading","meaning","tags","guid","meaning_vi"
"危ない","あぶない","dangerous, critical","Intermediate_Japanese Intermediate_Japanese_Ln.15 JLPT JLPT_5 JLPT_N5","kjgRC;INvI","nguy hiểm, nguy kịch"
"甘い","あまい","generous, sweet","Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5","jcM!HlCL`<","hào phóng, ngọt ngào"
"余り","あまり","not very; surplus","JLPT JLPT_3 JLPT_5 JLPT_N5","l$B(J(k,y1","không hẳn; dư thừa"
"雨","あめ","rain","Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5","PaXlv})<8_","cơn mưa"
"飴","あめ","(hard) candy","JLPT JLPT_5 JLPT_N5","v}dp1l^X:W","(cứng) kẹo"
"洗う","あらう","to wash","Genki Genki_Ln.8 Intermediate_Japanese Intermediate_Japanese_Ln.10 JLPT JLPT_5 JLPT_N5","H=[cc$xhzR","rửa"
"在る","ある","to be, to have","JLPT JLPT_3 JLPT_5 JLPT_N5","w$Yz{uB@-`","được, có"
"有る","ある","to be, to have","JLPT JLPT_3 JLPT_5 JLPT_N5","v`6i&kQMJj","được, có"
"歩く","あるく","to walk","Genki Genki_Ln.20 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","Kkagn,fSTU","đi bộ"
"あれ","あれ","that one (over there)","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","Co(PaI(^/_","cái đó (ở đằng kia)"
"いい; よい","いい; よい","good","JLPT JLPT_5 JLPT_N5","O(#?WJE%7H","Tốt"
"いいえ","いいえ","no, not at all","JLPT JLPT_5 JLPT_N5","iO`r],Af`o","không, không hề"
"言う","いう","to say","Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5","iurNhMLEpv","để nói"
"家","いえ","house, home","Genki Genki_Ln.3 JLPT JLPT_2 JLPT_3 JLPT_5 JLPT_N5","QGc`#y1e97","nhà, nhà"
"いかが","いかが","how, in what way","JLPT JLPT_5 JLPT_N5","r5L~xW!JP9","như thế nào, bằng cách nào"
"行く","いく; ゆく","to go","JLPT JLPT_5 JLPT_N5","kJnXhXxW0)","đi"
"いくつ","いくつ","how many, how old","JLPT JLPT_3 JLPT_5 JLPT_N5","mxf9)ZwbLi","bao nhiêu, bao nhiêu tuổi"
"いくら","いくら","how much, how many","Genki Genki_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5","G7]VF2LkZL","bao nhiêu, bao nhiêu"
"池","いけ","pond","JLPT JLPT_5 JLPT_N5","u8]?l[G,7&","ao"
"医者","いしゃ","doctor; physician","Genki Genki_Ln.1 Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5","f&|8.,xzY9","bác sĩ; bác sĩ"
"椅子","いす","chair","JLPT JLPT_3 JLPT_5 JLPT_N5","Nxw^e{dZp(","cái ghế"
"忙しい","いそがしい","busy (people, days)","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","pTORshR]m|","bận (người, ngày)"
"痛い","いたい","hurt; painful; sore","Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.5 JLPT JLPT_5 JLPT_N5","O@@jk^&oQ8","đau; đau đớn; đau"
"一","いち","one","JLPT JLPT_3 JLPT_5 JLPT_N5","C57gy_Lcmo","một"
"一日","いちにち","one day (duration)","Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5","Q/Fb^F]yhk","một ngày (thời gian)"
"一番","いちばん","best (most), first, number one","Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5","y&ds7j((mb","tốt nhất (hầu hết), đầu tiên, số một"
"いつ","いつ","when","Genki Genki_Ln.3 JLPT JLPT_2 JLPT_5 JLPT_N5","oGX1~x%YQo","khi"
"五日","いつか","five days; fifth day of the month","Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5","iii]i;bYjg","năm ngày; ngày thứ năm của tháng"
"一緒","いっしょ","together","Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5","D>uK5dFJy^","cùng nhau"
"五つ","いつつ","five things","Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5","Q!*H:Q_rHO","năm điều"
"いつも","いつも","always, usually, every time, never (with neg. verb)","Genki Genki_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5","BM|Xrf53.p","luôn luôn, thường xuyên, mọi lúc, không bao giờ (với động từ phủ định)"
"犬","いぬ","dog","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","ktH(<>,fX+","chó"
"今","いま","now","Genki Genki_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5","N{Ld-iFO]H","Hiện nay"
"意味","いみ","meaning, significance","Genki Genki_Ln.12 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5","xQ(-U#d9Tp","ý nghĩa, tầm quan trọng"
"妹","いもうと","younger sister (humble)","Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5","BL_XI^txw+","em gái (khiêm tốn)"
"嫌","いや","disagreeable, detestable, unpleasant","JLPT JLPT_3 JLPT_5 JLPT_N5","pj6@51cCNZ","khó chịu, đáng ghét, khó ưa"
"入口","いりぐち","entrance","JLPT JLPT_5 JLPT_N5","E5~,8$6,oj","cổng vào"
"居る","いる","(humble) to be (animate), to exist","JLPT JLPT_5 JLPT_N5","wfzvV]4NOO","(khiêm tốn) là (sống), tồn tại"
"要る","いる","to need","JLPT JLPT_5 JLPT_N5","j|TF$iBC;9","cần"
"入れる","いれる","to put in","JLPT JLPT_5 JLPT_N5","swmy/(v]Eb","để đưa vào"
"色","いろ","color","Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5","Epa;v6=%P,","màu sắc"
"色々","いろいろ","various","JLPT JLPT_5 JLPT_N5","jV7cB[WgxE","nhiều"
"上","うえ","above (up, top, etc.), over, on top of","JLPT JLPT_2 JLPT_5 JLPT_N5","j3j@,T!uH>","ở trên (lên, trên cùng, v.v.), trên, trên cùng"
"後ろ","うしろ","back, behind, rear","JLPT JLPT_3 JLPT_5 JLPT_N5","s:DnwS1iNM","sau, đằng sau, phía sau"
"薄い","うすい","thin, weak","JLPT JLPT_3 JLPT_5 JLPT_N5","pRrb<$bzH|","gầy, yếu"
"歌","うた","a song","Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5","JJN9**Hn8A","một bài hát"
"歌う","うたう","to sing","Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5","AN4yH;7MHR","hát"
"うち","うち","home; house; my place","Genki Genki_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5","u5l2?%hKEd","trang chủ; căn nhà; chỗ của tôi"
"生まれる","うまれる","to be born","JLPT JLPT_3 JLPT_5 JLPT_N5","i{d6CiQ#iK","được sinh ra"
"海","うみ","sea, beach","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","Cla&e~|Y6P","biển, bãi biển"
"売る","うる","to sell (v.t.)","Genki Genki_Ln.15 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_3 JLPT_5 JLPT_N5","nqk=gYOr|$","để bán (v.t.)"
"うるさい","うるさい","noisy; annoying","Genki Genki_Ln.22 JLPT JLPT_3 JLPT_5 JLPT_N5","fsH/V)BWD4","ồn ào; khó chịu"
"上着","うわぎ","coat, jacket","JLPT JLPT_5 JLPT_N5","nv?u]<OhhN","áo khoác, áo khoác"
"絵","え","a painting; a picture; a drawing","Genki Genki_Ln.15 JLPT JLPT_3 JLPT_5 JLPT_N5","E6H3mWmPF1","một bức tranh; một bức tranh; một bản vẽ"
"映画","えいが","movie, film","Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.7 JLPT JLPT_5 JLPT_N5","Q842_8x`<%","phim, phim"
"映画館","えいがかん","movie theater, cinema","Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5","tKa%gU>tYk","rạp chiếu phim, rạp chiếu phim"
"英語","えいご","English (language)","Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5","l~kTfp|Na~","Tiếng Anh (ngôn ngữ)"
"ええ","ええ","yes","Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5","K4f;DsCIdC","Đúng"
"駅","えき","station","Genki Genki_Ln.10 JLPT JLPT_5 JLPT_N5","EP[wTa2Y![","ga tàu"
"エレベーター","エレベーター","elevator","JLPT JLPT_2 JLPT_5 JLPT_N5","GomZ-xrho6","thang máy"
"～円","～えん","Yen","JLPT JLPT_5 JLPT_N5","rY,[_6)@&p","Yên"
"鉛筆","えんぴつ","pencil","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","ArKUTnLoi2","bút chì"
"お～","お～","honorable ~ (honorific)","JLPT JLPT_5 JLPT_N5","Q1z/@I6[X=","đáng kính ~ (kính trọng)"
"美味しい","おいしい","delicious, tasty","JLPT JLPT_5 JLPT_N5","f%Oz)hC{aH","ngon, ngon"
"多い","おおい","many; there are a lot","Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","CS_ZJ+i5[)","nhiều; có rất nhiều"
"大きい","おおきい","big, large","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","N*s[nF-<Om","lớn, lớn"
"大きな","おおきな","big","JLPT JLPT_5 JLPT_N5","C@,$F5(H&S","to lớn"
"大勢","おおぜい","great number of people","JLPT JLPT_5 JLPT_N5","d_f[=H{F{<","số lượng lớn người"
"お母さん","おかあさん","mother (formal)","Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5","JmU7?0Aw7)","mẹ (trang trọng)"
"お菓子","おかし","confections, sweets, snack","Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5","iY2$$8!fW<","bánh kẹo, đồ ngọt, đồ ăn nhẹ"
"お金","おかね","money","Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5","uh%`nh}D?M","tiền bạc"
"起きる","おきる","to get up (e.g., from sleeping); to happen","Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5","i~#f<a525w","thức dậy (ví dụ: sau khi ngủ); xảy ra"
"置く","おく","to put; to lay; to place","Genki Genki_Ln.21 JLPT JLPT_3 JLPT_5 JLPT_N5","KTJ,/<Sfw7","đặt ; nằm; đặt"
"奥さん","おくさん","(someone else's) wife (hon.)","Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.9 JLPT JLPT_5 JLPT_N5","raj<Z6u7R]","vợ (của người khác) (hon.)"
"お酒","おさけ","sake; alcohol","Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5","BPnYG]G`g3","lợi ích; rượu bia"
"お皿","おさら","plate, dish","JLPT JLPT_5 JLPT_N5","lNBs!SV,D!","đĩa, món ăn"
"伯父; 叔父さん","おじさん","uncle, middle-aged man","JLPT JLPT_5 JLPT_N5","s$4&3o9W|{","chú, người đàn ông trung niên"
"おじいさん","おじいさん","grandfather, male senior citizen","Genki Genki_Ln.13 JLPT JLPT_3 JLPT_5 JLPT_N5","OnBGSorIYO","ông nội, nam công dân cao tuổi"
"教える","おしえる","to teach, to inform, to instruct","Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","&(rx8HabP","để dạy, để thông báo, để hướng dẫn"
"押す","おす","to push, to press, to stamp (e.g., a passport)","Genki Genki_Ln.18 JLPT JLPT_5 JLPT_N5","O7S.k1^4+9","đẩy, ấn, đóng dấu (ví dụ: hộ chiếu)"
"遅い","おそい","slow; (to be) late","Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5","e`TVG4aTiS","chậm; (đến) muộn"
"お茶","おちゃ","(green) tea","Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5","o|6tDcd,cL","(xanh) trà"
"お手洗い","おてあらい","toilet, restroom, bathroom (lit., a place to wash one's hands)","Genki Genki_Ln.2 Intermediate_Japanese Intermediate_Japanese_Ln.13 JLPT JLPT_5 JLPT_N5","jX+//z~!X8","nhà vệ sinh, nhà vệ sinh, phòng tắm (chỗ rửa tay)"
"お父さん","おとうさん","father (formal)","Genki Genki_Ln.1 Genki_Ln.2 JLPT JLPT_5 JLPT_N5","Kh?V(6)C|2","cha (trang trọng)"
"弟","おとうと","younger brother","Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5","ht,o]F,GkV","em trai"
"男","おとこ","man, male","Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5","QC9-<k]D|G","người đàn ông, nam giới"
"男の子","おとこのこ","boy","Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5","mDCUq=3c&Y","con trai"
"一昨日","おととい","the day before yesterday","Genki Genki_Ln.19 JLPT JLPT_5 JLPT_N5","n^WNNS^t5D","ngày hôm kia"
"おととし","おととし","year before last","JLPT JLPT_5 JLPT_N5","i$lVvl^Y,~","năm trước năm ngoái"
"大人","おとな","adult","Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5","F~j9Wag0^x","người lớn"
"お腹","おなか","stomach","JLPT JLPT_3 JLPT_5 JLPT_N5","GVf+XC=Lx4","cái bụng"
"同じ","おなじ","same, identical","Genki Genki_Ln.14 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","FT1U+`d~$u","giống nhau, giống hệt nhau"
"お兄さん","おにいさん","(someone else's) older brother (formal)","Genki Genki_Ln.1 Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5","c-e]c9shpL","anh trai (của người khác) (trang trọng)"
"お姉さん","おねえさん","older sister (formal)","Genki Genki_Ln.1 Genki_Ln.7 JLPT JLPT_5 JLPT_N5","Q,2s6~F,9F","chị gái (trang trọng)"
"伯母さん; 叔母さん","おばさん","aunt","JLPT JLPT_5 JLPT_N5","fk]_fvvw.h","dì"
"おばあさん","おばあさん","grandmother, female senior-citizen","Genki Genki_Ln.6 JLPT JLPT_5 JLPT_N5","K7L64Zdx7D","bà ngoại, nữ công dân cao tuổi"
"お風呂","おふろ","a bath","JLPT_N5","btJ^oH!>Ob","một bồn tắm"
"お弁当","おべんとう","a boxed lunch","Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5","ou=Mxez95b","một bữa trưa đóng hộp"
"覚える","おぼえる","to learn, to commit to memory, to remember, to memorize","Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_5 JLPT_N5","k*NiP6Je8n","học, ghi nhớ, ghi nhớ, ghi nhớ"
"おまわりさん","おまわりさん","policeman (friendly term)","JLPT JLPT_5 JLPT_N5","kI/erxg?st","cảnh sát (thuật ngữ thân thiện)"
"重い","おもい","heavy; serious","Genki Genki_Ln.20 JLPT JLPT_3 JLPT_5 JLPT_N5","n(}tZ@Uv29","nặng; nghiêm trọng"
"面白い","おもしろい","interesting, amusing","Genki Genki_Ln.5 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5","J&$%9x,#?>","thú vị, thú vị"
"泳ぐ","およぐ","to swim","Genki Genki_Ln.5 JLPT JLPT_5 JLPT_N5","bxmTHH/R3s","bơi lội"
"降りる","おりる","to get off","JLPT JLPT_3 JLPT_5 JLPT_N5","hM4FhZWg_/","xuống xe"
"終る","おわる","to finish, to close","JLPT JLPT_5 JLPT_N5","D_J6!H@vf*","kết thúc, kết thúc"
"音楽","おんがく","Music","Genki Genki_Ln.3 Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5","fcOO[?V993","Âm nhạc"
"女","おんな","woman, female","Genki Genki_Ln.17 JLPT JLPT_5 JLPT_N5","d3!7^Z7+&i","phụ nữ, nữ"
"女の子","おんなのこ","girl","Genki Genki_Ln.11 JLPT JLPT_5 JLPT_N5","n^ma[3kYmi","con gái"
"～回","～かい","counter for occurrences (~ times)","JLPT JLPT_1 JLPT_5 JLPT_N5","dwW`SX||PF","bộ đếm số lần xuất hiện (~ lần)"
"～階","～かい","counter for stories (floors) of a building","JLPT JLPT_4 JLPT_5 JLPT_N5","x]4mRhDP?0","quầy đếm tầng (tầng) của tòa nhà"
"外国","がいこく","foreign country; abroad","Genki Genki_Ln.11 Intermediate_Japanese Intermediate_Japanese_Ln.6 JLPT JLPT_5 JLPT_N5","K:<1s^}$O$","nước ngoài; ở nước ngoài"
"外国人","がいこくじん","foreigner","Genki Genki_Ln.15 JLPT JLPT_5 JLPT_N5","mxObbkK7.-","người nước ngoài"
"会社","かいしゃ","company, corporation","Genki Genki_Ln.7 JLPT JLPT_5 JLPT_N5","owc{ezB4?4","công ty, tập đoàn"
"階段","かいだん","stairs","JLPT JLPT_5 JLPT_N5","ui<=#{,<U^","cầu thang"
"買い物","かいもの","shopping","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","uV:`-T%Eq~","mua sắm"
"買う","かう","to buy","JLPT JLPT_3 JLPT_5 JLPT_N5","Q.3jlQZyvW","mua"
"返す","かえす","to return something","JLPT JLPT_3 JLPT_5 JLPT_N5","b+[+YOY+dv","trả lại cái gì đó"
"帰る","かえる","to go back, to go home, to return","Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5","HBCAN.he?j","trở về, về nhà, trở về"
"顔","かお","face (body part)","Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.2 JLPT JLPT_3 JLPT_5 JLPT_N5","MGLL{4`mK@","khuôn mặt (bộ phận cơ thể)"
"かかる","かかる","it takes (amount of time, money) (v.i.)","Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_3 JLPT_5 JLPT_N5","yajlZ<1W@=","phải mất (lượng thời gian, tiền bạc) (v.i.)"
"鍵","かぎ","a lock; a key","Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5","CBifo1C?=d","một cái khóa; một chiếc chìa khóa"
"書く","かく","to write","JLPT JLPT_3 JLPT_5 JLPT_N5","ytOa}oy+zO","viết"
"学生","がくせい","student","Genki Genki_Ln.1 JLPT JLPT_5 JLPT_N5","JC,(K4dD==","học sinh"
"～か月","～かげつ","(number of) months","JLPT JLPT_5 JLPT_N5","p^^qFJHF)[","(số) tháng"
"掛ける","かける","to put on (e.g., glasses); to hang (e.g., on a wall)","JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5","J@I.fZoEvE","đeo vào (ví dụ: kính); treo (ví dụ: trên tường)"
"かける","かける","to dial/call (e.g., phone); to sit down","Genki Genki_Ln.19 JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5","j[@hZ&;%2u","để quay số/gọi (ví dụ: điện thoại); ngồi xuống"
"傘","かさ","umbrella, parasol","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","p_LV=Cf?pc","ô, dù che nắng"
"貸す","かす","to lend","Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_5 JLPT_N5","yag&XA]F86","cho vay"
"風","かぜ","wind, breeze","Genki Genki_Ln.22 JLPT JLPT_5 JLPT_N5","wPz(SGuAqF","gió, gió nhẹ"
"風邪","かぜ","cold, flu","Genki Genki_Ln.12 JLPT JLPT_5 JLPT_N5","G#zadB[Bd,","cảm lạnh, cúm"
"方","かた","-- honorific form for 人 (ひと) --; way of doing","Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_4 JLPT_5 JLPT_N5","GtdTiap.Os","-- dạng kính ngữ của 人 (ひと) --; cách làm"
"家族","かぞく","family, members of a family","Genki Genki_Ln.7 Intermediate_Japanese Intermediate_Japanese_Ln.1 JLPT JLPT_5 JLPT_N5","jwBW:Yf?[N","gia đình, các thành viên trong gia đình"
"片仮名","かたかな","katakana","JLPT JLPT_5 JLPT_N5","y%B]18.T{|","katakana"
"～月","～がつ","month of year","JLPT JLPT_5 JLPT_N5","x[qBqm:mer","tháng trong năm"
"学校","がっこう","a school","Genki Genki_Ln.3 JLPT JLPT_5 JLPT_N5","jMUlk]n4bL","một trường học"
"カップ","カップ","cup","JLPT JLPT_1 JLPT_5 JLPT_N5","N>J.3DDIIf","tách"
"家庭","かてい","home; family","Intermediate_Japanese Intermediate_Japanese_Ln.3 JLPT JLPT_3 JLPT_5 JLPT_N5","K=/LkA^bE5","trang chủ; gia đình"
"角","かど","corner (e.g., desk, pavement)","Genki Genki_Ln.20 JLPT JLPT_5 JLPT_N5","NblB:vgsi`","góc (ví dụ: bàn, vỉa hè)"
"かばん","かばん","bag, basket","Genki Genki_Ln.2 JLPT JLPT_5 JLPT_N5","M4T~@ehWYB","túi, giỏ"
"花瓶","かびん","(flower) vase","JLPT JLPT_5 JLPT_N5","m<:4xC~U|%","(hoa) bình"
"かぶる","かぶる","to wear, to put on (e.g., a hat on the head)","Genki Genki_Ln.7 JLPT JLPT_3 JLPT_5 JLPT_N5","v~,/++9.ks","đội, đội (ví dụ: đội mũ trên đầu)"
"紙","かみ","paper","Genki Genki_Ln.17 JLPT JLPT_3 JLPT_5 JLPT_N5","BZj5w]P?W@","giấy"
"カメラ","カメラ","camera","Genki Genki_Ln.8 JLPT JLPT_5 JLPT_N5","m@gkXGnk1!","máy ảnh"
"火曜日","かようび","Tuesday","Genki Genki_Ln.4 JLPT JLPT_5 JLPT_N5","rx9;D%FE+1","Thứ ba"
"辛い","からい","hot and spicy; salty","Genki Genki_Ln.13 JLPT JLPT_5 JLPT_N5","EjaGe<]5<&","nóng và cay; mặn"
"体","からだ","body; health","Genki Genki_Ln.23 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_5 JLPT_N5","x=d[R_7msH","thân hình; sức khỏe"
"借りる","かりる","to borrow, to owe","JLPT JLPT_5 JLPT_N5","EV_.CiOUqY","mượn, nợ"
"～がる","～がる","feel","JLPT JLPT_5 JLPT_N5","e--3P:#0au","cảm thấy"
"軽い","かるい","light, non-serious, minor","JLPT JLPT_5 JLPT_N5","Q?,F=N/]i*","nhẹ, không nghiêm trọng, nhỏ"
"カレー","カレー","curry (abbr. for curry and rice)","Genki Genki_Ln.13 JLPT JLPT_1 JLPT_5 JLPT_N5","l)iLA}_6t!","cà ri (viết tắt của cà ri và cơm)"
"カレンダー","カレンダー","calendar","JLPT JLPT_5 JLPT_N5","H,vNs@Ml~$","lịch"
