"expression","reading","meaning","tags","guid","meaning_vi"
"工学","こうがく","engineering","JLPT_1 JLPT","nLBSX>%S~{","kỹ thuật"
"抗議","こうぎ","protest, objection","JLPT_1 JLPT","N%yl^:99*x","phản đối, phản đối"
"合議","ごうぎ","consultation, conference","JLPT_1 JLPT","g]f7CW]TnO","tư vấn, hội thảo"
"皇居","こうきょ","Imperial Palace","JLPT_1 JLPT","s3?rVk?BGD","Cung điện Hoàng gia"
"好況","こうきょう","prosperous conditions, healthy economy","JLPT_1 JLPT","w5c/V*0:/6","điều kiện thịnh vượng, nền kinh tế lành mạnh"
"鉱業","こうぎょう","mining industry","JLPT_1 JLPT","w)+*p6qI~s","công nghiệp khai thác mỏ"
"興業","こうぎょう","starting a business; industry","JLPT_1 JLPT","qy~me*:#E{","bắt đầu kinh doanh; ngành công nghiệp"
"高原","こうげん","tableland, plateau","JLPT_1 JLPT","GF2Ak`BNv1","cao nguyên, cao nguyên"
"交互","こうご","mutual, reciprocal, alternate","JLPT_1 JLPT","i<WWSGhMtl","lẫn nhau, lẫn nhau, thay thế"
"煌々と","こうこうと","brightly","JLPT_1 JLPT","wYY;?*yl=I","rực rỡ"
"考古学","こうこがく","archeology","JLPT_1 JLPT","CYD1fRQ8EC","khảo cổ học"
"工作","こうさく","handicraft, maneuvering","JLPT_1 JLPT","wzz*)FRo9<","thủ công, thủ công"
"耕作","こうさく","cultivation, farming","JLPT_1 JLPT","hB|/|8Uy}2","trồng trọt, trồng trọt"
"鉱山","こうざん","mine","JLPT_1 JLPT","KT!enF:=,%","của tôi"
"講習","こうしゅう","short course, training","JLPT_1 JLPT","g(z7%o&?^","khóa học ngắn hạn, đào tạo"
"口述","こうじゅつ","verbal statement","JLPT_1 JLPT","C~8oU(cK0?","tuyên bố bằng lời nói"
"控除","こうじょ","subsidy, deduction","JLPT_1 JLPT","s2uW?Na1t%","trợ cấp, khấu trừ"
"交渉","こうしょう","negotiation","JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese","uv@U[?I@AF","đàm phán"
"高尚","こうしょう","high, noble, refined","JLPT_1 JLPT","Ndw<}.:V2o","cao, quý phái, tinh tế"
"向上","こうじょう","rise, improvement, progress","JLPT_1 JLPT","Qcz@t2UD0)","tăng lên, cải thiện, tiến bộ"
"行進","こうしん","march, parade","JLPT_1 JLPT","A=w}ZE@917","diễu hành, diễu hành"
"香辛料","こうしんりょう","spices","JLPT_1 JLPT","ce!{r.1}~3","gia vị"
"降水","こうすい","rainfall, precipitation","JLPT_1 JLPT","pb1#Y263n,","lượng mưa, lượng mưa"
"洪水","こうずい","flood","JLPT_1 JLPT","wakC-uKaq}","lụt"
"合成","ごうせい","synthetic, mixed","JLPT_1 JLPT","c^4E@A0[92","tổng hợp, hỗn hợp"
"公然","こうぜん","openly","JLPT_1 JLPT","M(>QOkIhfA","công khai"
"抗争","こうそう","dispute, resistance","JLPT_1 JLPT","Ayw{S[ULVi","tranh chấp, phản kháng"
"構想","こうそう","plan, plot, idea, conception","JLPT_1 JLPT","HJ3]TaFI5x","kế hoạch, âm mưu, ý tưởng, quan niệm"
"後退","こうたい","retreat, backspace","JLPT_1 JLPT","Hg(g(Ch73j","rút lui, lùi lại"
"光沢","こうたく","luster, glossy finish (of photographs)","JLPT_1 JLPT","sz+BIfx<J$","độ bóng, độ bóng (của ảnh)"
"公団","こうだん","public corporation","JLPT_1 JLPT","C&5}~^z)ts","công ty đại chúng"
"好調","こうちょう","satisfactory, in good shape","JLPT_1 JLPT","fn+k2uN^.*","đạt yêu cầu, trong tình trạng tốt"
"口頭","こうとう","oral","JLPT_1 JLPT","mWZ1nL&l+A","miệng"
"講読","こうどく","reading","JLPT_1 JLPT","cbt]L<,==)","đọc"
"購読","こうどく","subscription","JLPT_1 JLPT","BPBnR~`=Cm","đăng ký"
"購入","こうにゅう","purchase, buy","JLPT_1 JLPT","mN.]${Ep@o","mua, mua"
"公認","こうにん","official recognition, authorization","JLPT_1 JLPT","f=;(Z+KSn*","sự công nhận, ủy quyền chính thức"
"光熱費","こうねつひ","cost of fuel and light","JLPT_1 JLPT","CBInEbAiwn","chi phí nhiên liệu và ánh sáng"
"購買","こうばい","purchase, buy","JLPT_1 JLPT","m|%voYE^yW","mua, mua"
"好評","こうひょう","popularity, favorable reputation","JLPT_1 JLPT","PN?X>r5#3$","sự nổi tiếng, danh tiếng thuận lợi"
"交付","こうふ","delivering, furnishing (with copies)","JLPT_1 JLPT","iWHq@iV7/S","giao hàng, trang bị nội thất (có bản sao)"
"公募","こうぼ","public appeal, public contribution","JLPT_1 JLPT","zuO/%#|pw9","sự kêu gọi của công chúng, sự đóng góp của công chúng"
"巧妙","こうみょう","ingenious, skillful, clever","JLPT_1 JLPT","K0cz7g4lOn","khéo léo, khéo léo, thông minh"
"公用","こうよう","government business, public use, public expense","JLPT_1 JLPT","E{n/tl9=Ih","kinh doanh của chính phủ, sử dụng công cộng, chi tiêu công"
"小売","こうり","retail","JLPT_1 JLPT","c_Z6-bZ>!E","bán lẻ"
"効率","こうりつ","efficiency","JLPT_1 JLPT","zkc6-]4~)6","hiệu quả"
"公立","こうりつ","public institution","JLPT_1 JLPT","FUSldz(S$f","tổ chức công cộng"
"護衛","ごえい","guard, convoy, escort","JLPT_1 JLPT","Bs7a.5p1{r","bảo vệ, đoàn xe, hộ tống"
"コーナー","コーナー","corner","JLPT_1 JLPT","n/T(.dj~.j","góc"
"小柄","こがら","small, diminutive","JLPT_1 JLPT","p|m2.?zBm2","nhỏ bé, nhỏ bé"
"小切手","こぎって","cheque, check","JLPT_1 JLPT","vh>Pgi:y!n","séc, séc"
"国産","こくさん","domestic products","JLPT_1 JLPT","NVGuI`wyWr","sản phẩm trong nước"
"国定","こくてい","state-sponsored, national","JLPT_1 JLPT","K:.NA{MA#","được nhà nước bảo trợ, quốc gia"
"告白","こくはく","confession, acknowledgment","JLPT_1 JLPT","D/-Yon@zj7","sự thú nhận, sự thừa nhận"
"国防","こくぼう","national defense","JLPT_1 JLPT","gB_-ioo>5E","quốc phòng"
"国有","こくゆう","national ownership","JLPT_1 JLPT","qhprC(Et1a","quyền sở hữu quốc gia"
"極楽","ごくらく","paradise","JLPT_1 JLPT","MY-u/w:|X`","thiên đường"
"国連","こくれん","U.N., United Nations","JLPT_1 JLPT","PWdSCAXCS{","Liên Hiệp Quốc, Liên Hiệp Quốc"
"焦げ茶","こげちゃ","dark brown","JLPT_1 JLPT","z#D(l+D|+d","nâu sẫm"
"語源","ごげん","word root, word derivation, etymology","JLPT_1 JLPT","wW7;mB,H-n","gốc từ, nguồn gốc từ, từ nguyên"
"心地","ここち","feeling, sensation, mood","JLPT_1 JLPT","HRZ-ZZ((63","cảm giác, cảm giác, tâm trạng"
"心得","こころえ","knowledge, information","JLPT_1 JLPT","r]B:&#9/Oj","kiến thức, thông tin"
"心掛け","こころがけ","readiness, intention, aim","JLPT_1 JLPT","v|gKw*kSA<","sự sẵn sàng, ý định, mục tiêu"
"心掛ける","こころがける","to bear in mind, to aim to do","JLPT_1 JLPT","xF|-#cu_O[","ghi nhớ, nhằm mục đích làm"
"志","こころざし","will, intention, motive","JLPT_1 JLPT","J^EH*N|S>D","ý chí, ý định, động cơ"
"志す","こころざす","to plan, to intend, to aspire to","JLPT_1 JLPT","zc/071N?*?","lên kế hoạch, dự định, khao khát"
"心強い","こころづよい","heartening, reassuring","JLPT_1 JLPT","K>pZg]2z_[","sảng khoái, yên tâm"
"心細い","こころぼそい","helpless, hopeless, discouraging","JLPT_1 JLPT","ve[sU52iIO","bất lực, vô vọng, chán nản"
"試み","こころみ","trial, experiment","JLPT_1 JLPT","LnQ-7#~J-i","thử nghiệm, thử nghiệm"
"試みる","こころみる","to try, to test","JLPT_1 JLPT","qG!ugw]O{9","để thử, để kiểm tra"
"快い","こころよい","pleasant, agreeable","JLPT_1 JLPT","eXTY5f2Ubn","dễ chịu, dễ chịu"
"誤差","ごさ","error","JLPT_1 JLPT","bE*}iimu/k","lỗi"
"ございます (かん)","ございます (かん)","to be (polite, to exist)","JLPT_1 JLPT","g2<)LlaRj=","là (lịch sự, tồn tại)"
"孤児","こじ","orphan","JLPT_1 JLPT","Nru>c@<pc2","mồ côi"
"こじれる","こじれる","to get complicated, to grow worse","JLPT_1 JLPT","jQE(/ITykr","trở nên phức tạp, trở nên tồi tệ hơn"
"こす (みずを～)","こす (みずを～)","to strain, to filter","JLPT_1 JLPT","P2WNAwMh[2","làm căng, lọc"
"梢","こずえ","treetop","JLPT_1 JLPT","P{..MI,|Mb","ngọn cây"
"個性","こせい","individuality, personality, idiosyncrasy","JLPT_1 JLPT","EsL6l#sj?m","cá tính, cá tính, cá tính"
"戸籍","こせき","census, family register","JLPT_1 Intermediate_Japanese_Ln.14 JLPT Intermediate_Japanese","JOc{[NV4x8","điều tra dân số, sổ hộ khẩu"
"古代","こだい","ancient times","JLPT_1 JLPT","s_N1oO.lmA","thời cổ đại"
"こたつ","こたつ","table with heater, (originally) charcoal brazier in a floor well","JLPT_1 JLPT","O}EMl{I]K-","bàn có lò sưởi, lò than (ban đầu) đặt trong giếng dưới sàn"
"こだわる","こだわる","to fuss over, to be particular about","JLPT_1 JLPT","Dw-&[Gy8N`","làm ầm ĩ lên, đặc biệt về"
"誇張","こちょう","exaggeration","JLPT_1 JLPT","c]NsRC|}O%","cường điệu"
"こつ (をつかむ)","こつ (をつかむ)","secret, trick, hang","JLPT_1 JLPT","qPHur}V8b$","bí mật, lừa, treo"
"滑稽","こっけい","funny, humorous, comical","JLPT_1 JLPT","v>_m`mFbvz","hài hước, hài hước, hài hước"
"国交","こっこう","diplomatic relations","JLPT_1 JLPT","d-(zI.D]7}","quan hệ ngoại giao"
"骨董品","こっとうひん","curio","JLPT_1 JLPT","Dr0mqScf_b","đồ cổ"
"固定","こてい","fixation, fixing (e.g., salary, capital)","JLPT_1 JLPT","g$6E|N|S:$","cố định, cố định (ví dụ: tiền lương, vốn)"
"事柄","ことがら","matter, thing, affair, circumstance","JLPT_1 JLPT","F=ad!I0A}O","sự việc, sự việc, sự việc, hoàn cảnh"
"孤独","こどく","isolation, loneliness, solitude","JLPT_1 JLPT","cT&=x,mI2c","sự cô lập, sự cô đơn, sự cô đơn"
"ことごとく","ことごとく","altogether, entirely","JLPT_1 JLPT","dR[Sxf+^Ps","hoàn toàn, hoàn toàn"
"言付け","ことづけ","to leave a message","JLPT_1 JLPT","kU+Y{Q}2@W","để lại tin nhắn"
"殊に","ことに","especially, above all","JLPT_1 JLPT","en/8|n9S0h","đặc biệt, trên hết"
"粉々","こなごな","in very small pieces","JLPT_1 JLPT","Kmg$=%neFc","thành từng mảnh rất nhỏ"
"好ましい","このましい","nice, likable, desirable","JLPT_1 JLPT","x#LKH<P4pQ","tốt đẹp, đáng yêu, mong muốn"
"碁盤","ごばん","Go board","JLPT_1 JLPT","zlA@Kkn)Y","Lên tàu"
"個別","こべつ","particular case","JLPT_1 JLPT","IS>`l#g_rF","trường hợp cụ thể"
"ごまかす","ごまかす","to deceive, to falsify, to misrepresent","JLPT_1 JLPT","p$tB:Q(vZY","lừa dối, xuyên tạc, xuyên tạc"
"細やか","こまやか","meager, modest","JLPT_1 JLPT","w6sGv9Z]7>","ít ỏi, khiêm tốn"
"コマーシャル","コマーシャル","a commercial","JLPT_1 JLPT","pmxm=&|P?L","một thương mại"
"込める","こめる","to include, to put into","JLPT_1 JLPT","FCbb2pT+SZ","bao gồm, đưa vào"
"コメント","コメント","comment","JLPT_1 JLPT","cplDpvT[1o","bình luận"
"籠もる","こもる","to seclude oneself, to be confined in","JLPT_1 JLPT","KBSxgcpn$F","tách mình ra, bị giam giữ trong"
"固有","こゆう","characteristic, tradition, peculiar","JLPT_1 JLPT","yXV:}D_ozd","đặc trưng, ​​truyền thống, đặc biệt"
"暦","こよみ","calendar, almanac","JLPT_1 JLPT","jx:{}3HoK:","lịch, niên giám"
"凝らす","こらす","to concentrate, to devote, to peer into","JLPT_1 JLPT","oJEMYEm^we","tập trung, cống hiến, nhìn vào"
"ごらんなさい (かん)","ごらんなさい (かん)","look, (please) try to do","JLPT_1 JLPT","N1BBvCZ=AZ","nhìn này, (làm ơn) cố gắng làm"
"孤立","こりつ","isolation, helplessness","JLPT_1 JLPT","xYDSYkNe4i","sự cô lập, bất lực"
"懲りる","こりる","to learn by experience, to be disgusted with","JLPT_1 JLPT","vbJg<?=y%j","học bằng kinh nghiệm, chán ghét"
"凝る","こる","to stiffen, to harden","JLPT_1 JLPT","p)T=z%i7F[","làm cứng lại, làm cứng lại"
"根気","こんき","patience; perseverance, energy","JLPT_1 JLPT","GDCM!r*##2","tính kiên nhẫn; sự kiên trì, nghị lực"
"根拠","こんきょ","basis, foundation","JLPT_1 JLPT","Grg-T-@C<M","cơ sở, nền tảng"
"混血","こんけつ","mixed race, mixed parentage","JLPT_1 JLPT","saDmLPZfe~","chủng tộc hỗn hợp, nguồn gốc hỗn hợp"
"コンタクト (レンズ)","コンタクト (レンズ)","contact; contact lens","JLPT_1 JLPT","DU{l0`Yee%","liên hệ; kính áp tròng"
"昆虫","こんちゅう","insect, bug","JLPT_1 JLPT","P^F+-mx?ec","côn trùng, bọ"
"根底","こんてい","root, basis, foundation","JLPT_1 JLPT","g6v%#_YbHK","gốc, cơ sở, nền tảng"
"混同","こんどう","confusion, mixing, merger","JLPT_1 JLPT","M?|],Xch]L","sự nhầm lẫn, sự trộn lẫn, sự sáp nhập"
"コントラスト","コントラスト","contrast","JLPT_1 JLPT","m2RkdF5Kfg","sự tương phản"
"コントロール","コントロール","control","JLPT_1 JLPT","hZ|i&d%@k8","điều khiển"
"コンパス","コンパス","compass","JLPT_1 JLPT","L6kv/h{mWx","la bàn"
"根本","こんぽん","foundation, root, base","JLPT_1 JLPT","I>Va~AQW*%","nền tảng, gốc rễ, cơ sở"
"財","ざい","fortune, riches","JLPT_1 JLPT","Lg^]^#Fui$","vận may, sự giàu có"
"再会","さいかい","meeting again, reunion","JLPT_1 JLPT","nK{EZH)j58","gặp lại, đoàn tụ"
"災害","さいがい","calamity, disaster, misfortune","JLPT_1 JLPT","s/:E%{jbbX","tai họa, thảm họa, bất hạnh"
"細菌","さいきん","bacillus, bacterium, germ","JLPT_1 JLPT","I!s+/_djx3","trực khuẩn, vi khuẩn, vi trùng"
"細工","さいく","work, craftsmanship, trick","JLPT_1 JLPT","ouX.|>$33M","công việc, sự khéo léo, thủ thuật"
"採掘","さいくつ","mining","JLPT_1 JLPT","Qb&n#ag5.U","khai thác mỏ"
"サイクル","サイクル","cycle","JLPT_1 JLPT","CwR.:*^K)]","xe đạp"
"採決","さいけつ","vote, roll call","JLPT_1 JLPT","dGyNtnPzfu","bỏ phiếu, điểm danh"
"再建","さいけん","(temple or shrine) rebuilding","JLPT_1 JLPT","oY^(hGDwBB","(chùa, miếu) xây dựng lại"
"再現","さいげん","reproduction, return, revival","JLPT_1 JLPT","j$Iu*3{(HU","sinh sản, trở lại, hồi sinh"
"財源","ざいげん","source of funds, resources, finances","JLPT_1 JLPT","gD`:Vm3DD=","nguồn vốn, nguồn lực, tài chính"
"在庫","ざいこ","stockpile, stock","JLPT_1 JLPT","I`6&P}MLhB","kho dự trữ, kho hàng"
"採算","さいさん","profit","JLPT_1 JLPT","z3sqnTBL(n","lợi nhuận"
"サイズ","サイズ","size","JLPT_1 JLPT","J0]k_!eDR<","kích cỡ"
"再生","さいせい","playback, regeneration, resuscitation","JLPT_1 JLPT","hGl1Th{bx@","phát lại, tái sinh, hồi sức"
"財政","ざいせい","economy, financial affairs","JLPT_1 JLPT","PbUztxpH:]","kinh tế, tài chính"
"最善","さいぜん","the very best","JLPT_1 JLPT","M-1H]L<~pq","điều tuyệt vời nhất"
"採択","さいたく","adoption, selection, choice","JLPT_1 JLPT","e+cLZEXhDr","sự chấp nhận, sự lựa chọn, sự lựa chọn"
"栽培","さいばい","cultivation","JLPT_1 JLPT","uC68c<~cH)","trồng trọt"
"再発","さいはつ","return, relapse, reoccurrence","JLPT_1 JLPT","CS^Rshk:|8","trở lại, tái diễn, tái diễn"
"細胞","さいぼう","cell","JLPT_1 JLPT","CzyHns{dm!","tế bào"
"採用","さいよう","use, adopt","JLPT_1 JLPT","vMLF5(iO,d","sử dụng, chấp nhận"
"遮る","さえぎる","to interrupt, to intercept, to obstruct","JLPT_1 JLPT","QMaal]q?M$","làm gián đoạn, ngăn chặn, cản trở"
"さえずる","さえずる","to sing, to chirp, to twitter","JLPT_1 JLPT","r@Q>;L$}V-","hát, hót líu lo, tweet"
"冴える","さえる","to be clear, to be bright, to be skillful","JLPT_1 JLPT","F_K.fXalP!","rõ ràng, sáng suốt, khéo léo"
"竿","さお","rod, pole (e.g., for drying laundry)","JLPT_1 JLPT","v^.R1:=Y[p","que, cột (ví dụ: để sấy quần áo)"
"栄える","さかえる","to flourish, to prosper, to thrive","JLPT_1 JLPT","w`<;(n%DdJ","phát triển mạnh, thịnh vượng, thịnh vượng"
"差額","さがく","balance, difference, margin","JLPT_1 JLPT","gAXt@5CeYh","số dư, chênh lệch, lề"
"杯","さかずき","wine cup","JLPT_1 JLPT","QIw#3oSw.:","cốc rượu"
"逆立ち","さかだち","handstand, headstand","JLPT_1 JLPT","ec~&YKW}51","trồng cây chuối bằng tay, trồng cây chuối bằng đầu"
"さきに (いぜん)","さきに (いぜん)","before, earlier than, previously","JLPT_1 JLPT","uh`5:/)TWv","trước đây, sớm hơn, trước đó"
"詐欺","さぎ","fraud, swindle","JLPT_1 JLPT","w6]yB.g{E!","lừa đảo, lừa đảo"
"削減","さくげん","cut, reduction","JLPT_1 JLPT","k7zRyZ_D=o","cắt, giảm"
"錯誤","さくご","mistake","JLPT_1 JLPT","IDfkC-Cw&L","sai lầm"
"作戦","さくせん","military operations, tactics, strategy","JLPT_1 JLPT","s$Xs?1nQ+e","hoạt động quân sự, chiến thuật, chiến lược"
"叫び","さけび","shout, scream, outcry","JLPT_1 JLPT","nqYX]L]Y*r","la hét, la hét, la hét"
"捧げる","ささげる","to lift up, to give, to offer","JLPT_1 JLPT","KhanDj}|vd","nâng lên, đưa ra, dâng hiến"
"差し掛かる","さしかかる","to come near to, to approach","JLPT_1 JLPT","IM%WW[zOZk","đến gần, đến gần"
"指図","さしず","instruction, mandate","JLPT_1 JLPT","N1]Ah`4~bh","chỉ thị, ủy quyền"
"差し出す","さしだす","to present, to submit, to hold out","JLPT_1 JLPT","A&xf;%;bo<","trình bày, trình bày, đưa ra"
"差し支える","さしつかえる","to interfere, to hinder","JLPT_1 JLPT","ve>x:VMBVJ","can thiệp, cản trở"
"授ける","さずける","to grant, to award, to teach","JLPT_1 JLPT","h.+pAO9bEu","cấp, trao giải, giảng dạy"
"摩する","さする","to rub, to stroke","JLPT_1 JLPT","yQu&Wz5|+#","chà xát, vuốt ve"
"さぞ (さぞや。さぞかし)","さぞ (さぞや。さぞかし)","I am sure, certainly, no doubt","JLPT_1 JLPT","FE`C@V&t[f","Tôi chắc chắn, chắc chắn, không còn nghi ngờ gì nữa"
"定まる","さだまる","to become settled, to be fixed","JLPT_1 JLPT","Ly=j.,,]V@","trở nên ổn định, được cố định"
"定める","さだめる","to decide, to determine","JLPT_1 JLPT","MNqx6`F)B2","quyết định, quyết định"
"座談会","ざだんかい","symposium, round-table discussion","JLPT_1 JLPT","d!+{3%PNo}","hội nghị chuyên đề, thảo luận bàn tròn"
"雑","ざつ","rough, crude","JLPT_1 JLPT","PqMu^a?1a^","thô, thô"
"雑貨","ざっか","miscellaneous goods, general goods","JLPT_1 JLPT","r5VCxxHAy|","hàng tạp hóa, hàng tổng hợp"
"殺人","さつじん","murder","JLPT_1 JLPT","tM%DouVsND","giết người"
"察する","さっする","to guess, to sense, to judge","JLPT_1 JLPT","LGG(>{BjoV","đoán, cảm nhận, đánh giá"
"雑談","ざつだん","chatting, idle talk","JLPT_1 JLPT","DK#>y3UE4B","trò chuyện, nói chuyện phiếm"
"さっと","さっと","suddenly, smoothly","JLPT_1 JLPT","EKYb(VaO4Q","đột ngột, suôn sẻ"
"さっぱりする","さっぱりする","to refresh","JLPT_1 JLPT","H|ANTa=Wl{","để làm mới"
"悟る","さとる","to attain enlightenment, to understand","JLPT_1 JLPT","v:Q4euCfA7","đạt đến giác ngộ, hiểu biết"
"最中","さなか","in the middle of, midst","JLPT_1 JLPT","A!j+&nF3Wn","ở giữa, giữa"
"座標","ざひょう","coordinates","JLPT_1 JLPT","B0L0!.A0?}","tọa độ"
"さほど","さほど","not so, not that much","JLPT_1 JLPT","Eqh)/a:JaN","không phải vậy, không nhiều đến thế"
"サボる","サボる","to cut (skip) classes; to loaf on the job; to idle away one's time","JLPT Genki_Ln.11 Intermediate_Japanese JLPT_1 Intermediate_Japanese_Ln.13 Genki","AVLvOaz~KF","cắt (bỏ qua) lớp học; lười biếng trong công việc; lãng phí thời gian của mình"
"様","さま","state; way (a person does something); Mr. or Mrs.","JLPT_1 JLPT Intermediate_Japanese Intermediate_Japanese_Ln.11","lj0_)hI7Ez","tình trạng; cách (một người làm điều gì đó); Ông hoặc bà"
"寒気","さむけ","chill, shiver, cold","JLPT_1 JLPT","N#;$qw^KPE","ớn lạnh, rùng mình, lạnh"
"侍","さむらい","samurai","JLPT_1 JLPT Intermediate_Japanese_Ln.7 Intermediate_Japanese","g}?p(/xug4","samurai"
"さも","さも","with gusto, with satisfaction","JLPT_1 JLPT","Gm-[^5Ln&h","với sự thích thú, với sự hài lòng"
"作用","さよう","operation, effect, function","JLPT_1 JLPT","Oof8u=,|uS","hoạt động, tác dụng, chức năng"
"さらう (こどもを～)","さらう (こどもを～)","to kidnap","JLPT_1 JLPT","B@RtBWjh/W","bắt cóc"
"障る","さわる","to hinder, to interfere with, to affect","JLPT_1 JLPT","Di(J(kaH;V","cản trở, can thiệp vào, ảnh hưởng"
"酸","さん","acid","JLPT_1 JLPT","k/LaLYL|r#","axit"
"山岳","さんがく","mountains","JLPT_1 JLPT","nJs0S#DzgO","núi"
"参議院","さんぎいん","House of Councilors","JLPT_1 JLPT","O7n.x?;S]&","Hạ viện"
"産休","さんきゅう","maternity leave","JLPT_1 JLPT","k`Pzt}i$UW","nghỉ thai sản"
"サンキュー","サンキュー","thank you","JLPT_1 JLPT","rQ2myGNLp<","Cảm ơn"
"残金","ざんきん","remaining money","JLPT_1 JLPT","E</lr>b527","số tiền còn lại"
"産後","さんご","postpartum, after childbirth","JLPT_1 JLPT","Pge/h!,u.x","sau sinh, sau khi sinh con"
"残酷","ざんこく","cruelty, harshness","JLPT_1 JLPT","snLE.]5(UV","sự tàn ác, khắc nghiệt"
"産出","さんしゅつ","yield, produce","JLPT_1 JLPT","AItAE0vKn;","sản lượng, sản xuất"
"参照","さんしょう","reference, consultation, consultation","JLPT_1 JLPT","Q=29PP)W-_","sự tham khảo, sự tư vấn, sự tư vấn"
"参上","さんじょう","calling on, visiting","JLPT_1 JLPT","w#SP~u0yM;","kêu gọi, thăm viếng"
"残高","ざんだか","(bank) balance, remainder","JLPT_1 JLPT","K4gXaj[Vyi","(ngân hàng) số dư, số dư"
"サンタクロース","サンタクロース","Santa Claus","JLPT_1 JLPT Intermediate_Japanese_Ln.8 Intermediate_Japanese","f/QC`5/{Un","Ông già Noel"
"桟橋","さんばし","wharf, jetty, pier","JLPT_1 JLPT","qY2!_v~;bZ","cầu cảng, cầu cảng, bến tàu"
"賛美","さんび","praise, adoration, glorification","JLPT_1 JLPT","e.-RuHb{48","ca ngợi, tôn thờ, tôn vinh"
"山腹","さんぷく","hillside, mountainside","JLPT_1 JLPT","o2ZZ0`v<eS","sườn đồi, sườn núi"
"産婦人科","さんふじんか","maternity and gynecology department","JLPT_1 JLPT","C-(.5yIOQP","khoa sản phụ khoa"
"産物","さんぶつ","product, result, fruit","JLPT_1 JLPT","E~s#%JNaV$","sản phẩm, kết quả, trái cây"
"山脈","さんみゃく","mountain range","JLPT_1 JLPT","x1O?:5^y|C","dãy núi"
"仕上がり","しあがり","finish, end, completion","JLPT_1 JLPT","yea;?+baU4","kết thúc, kết thúc, hoàn thành"
"仕上","しあげ","end, finishing touches","JLPT_1 JLPT","oEx[)E@iYE","sự kết thúc, sự hoàn tất"
"仕上げる","しあげる","to finish up, to complete","JLPT_1 JLPT","hK4h`Zw:aS","để kết thúc, để hoàn thành"
"飼育","しいく","breeding, raising, rearing","JLPT_1 JLPT","e5/Z)LI]cr","chăn nuôi, chăn nuôi, nuôi dưỡng"
"強いて","しいて","to dare, to insist","JLPT_1 JLPT","Bomwd0N#[6","dám, nhấn mạnh"
"シート","シート","seat; sheet","JLPT_1 JLPT","u]dm-2Z@p[","ghế; tờ giấy"
"ジーパン","ジーパン","jeans","JLPT_1 JLPT","HXr(ew@{F#","quần jean"
"仕入れる","しいれる","to lay in stock, to replenish stock, to procure","JLPT_1 JLPT","IFIIG{$W)<","dự trữ, bổ sung hàng, mua sắm"
"強いる","しいる","to force, to compel, to coerce","JLPT_1 JLPT","mim3NgV!o^","ép buộc, ép buộc, ép buộc"
